,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2005-11-02,2,CHA,CHI,2,105,109,38,93,0.409,2,12,0.167,27,35,0.771,18,56,22,13,3,18,31,39,91,0.429,8,21,0.381,23,33,0.697,13,43,30,8,6,18,25,99.6,103.3,95.5,0.376,0.129,0.484,56.6,57.9,12.3,4.3,0.419,14.2,37.5,0.29,0.473,14.6,74.5,0.253,2006,-4,-1,2,-0.020000000000000018,-6,-9,-0.214,4,2,0.07400000000000007,5,13,-8,5,-3,0,6
1,2,2005-11-04,2,CHA,PHI,1,110,93,41,88,0.466,4,8,0.5,24,32,0.75,15,48,30,7,3,12,25,34,79,0.43,1,8,0.125,24,37,0.649,12,38,16,9,3,13,25,116.8,98.7,94.2,0.364,0.091,0.539,55.8,73.2,7.4,4.2,0.489,10.5,36.6,0.273,0.437,12.0,73.3,0.304,2006,17,7,9,0.03600000000000003,3,0,0.375,0,-5,0.10099999999999998,3,10,14,-2,0,-1,0
2,3,2005-11-05,1,CHA,BOS,1,107,105,34,79,0.43,3,9,0.333,36,47,0.766,12,39,20,15,3,22,25,39,86,0.453,5,15,0.333,22,30,0.733,15,42,22,11,8,24,39,102.4,100.5,94.7,0.595,0.114,0.537,48.1,58.8,14.4,4.2,0.449,18.1,30.8,0.456,0.483,19.5,64.3,0.256,2006,2,-5,-7,-0.02300000000000002,-2,-6,0.0,14,17,0.03300000000000003,-3,-3,-2,4,-5,-2,-14
3,4,2005-11-07,1,CHA,UTA,2,91,95,31,89,0.348,2,12,0.167,27,36,0.75,18,44,17,12,4,12,37,34,76,0.447,4,12,0.333,23,40,0.575,17,51,20,3,11,22,32,95.7,99.9,86.1,0.404,0.135,0.434,46.3,54.8,12.6,6.3,0.36,10.3,34.6,0.303,0.474,19.0,60.5,0.303,2006,-4,-3,13,-0.09900000000000003,-2,0,-0.166,4,-4,0.17500000000000004,1,-7,-3,9,-7,-10,5
4,5,2005-11-09,1,CHA,SAS,2,86,94,37,90,0.411,1,7,0.143,11,19,0.579,12,38,16,14,5,12,23,37,75,0.493,4,13,0.308,16,20,0.8,10,44,16,6,5,20,20,92.2,100.8,93.3,0.211,0.078,0.437,46.3,43.2,15.0,8.1,0.417,10.9,26.1,0.122,0.52,19.3,72.2,0.213,2006,-8,0,15,-0.08200000000000002,-3,-6,-0.165,-5,-1,-0.22100000000000009,2,-6,0,8,0,-8,3
5,6,2005-11-11,1,CHA,DAL,2,88,98,24,67,0.358,2,9,0.222,38,52,0.731,10,36,12,10,3,12,28,34,75,0.453,5,13,0.385,25,30,0.833,10,45,19,8,3,16,35,97.6,108.7,90.2,0.776,0.134,0.49,44.4,50.0,11.1,4.8,0.373,11.8,22.2,0.567,0.487,15.4,72.2,0.333,2006,-10,-10,-8,-0.09500000000000003,-3,-4,-0.163,13,22,-0.10199999999999998,0,-9,-7,2,0,-4,-7
6,7,2005-11-12,2,CHA,MIA,2,99,108,34,87,0.391,6,14,0.429,25,36,0.694,8,28,21,20,5,8,23,42,74,0.568,9,19,0.474,15,24,0.625,11,56,26,3,7,26,25,99.9,108.9,99.1,0.414,0.161,0.481,33.3,61.8,20.2,9.1,0.425,7.2,15.1,0.287,0.628,23.5,64.5,0.203,2006,-9,-8,13,-0.17699999999999994,-3,-5,-0.044999999999999984,10,12,0.06899999999999995,-3,-28,-5,17,-2,-18,-2
7,8,2005-11-15,2,CHA,ORL,2,77,85,30,79,0.38,3,10,0.3,14,17,0.824,10,37,20,7,2,10,28,30,72,0.417,2,5,0.4,23,35,0.657,16,50,11,6,6,12,16,93.2,102.9,82.6,0.215,0.127,0.445,42.5,66.7,8.5,3.0,0.399,10.4,22.7,0.177,0.431,12.1,62.8,0.319,2006,-8,0,7,-0.03699999999999998,1,5,-0.10000000000000003,-9,-18,0.16699999999999993,-6,-13,9,1,-4,-2,12
8,9,2005-11-16,1,CHA,IND,1,122,90,41,78,0.526,11,18,0.611,29,32,0.906,5,35,23,17,5,10,25,32,64,0.5,6,16,0.375,20,36,0.556,7,32,21,4,5,26,23,127.0,93.7,96.1,0.41,0.231,0.662,52.2,56.1,17.7,10.4,0.596,9.8,16.7,0.372,0.547,24.6,81.1,0.313,2006,32,9,14,0.026000000000000023,5,2,0.236,9,-4,0.35,-2,3,2,13,0,-16,2
9,10,2005-11-18,2,CHA,IND,2,85,93,35,93,0.376,5,15,0.333,10,14,0.714,20,44,18,12,7,19,28,28,67,0.418,3,14,0.214,34,44,0.773,14,50,17,10,6,22,20,91.1,99.6,93.3,0.151,0.161,0.429,46.8,51.4,12.9,13.2,0.403,16.1,35.7,0.108,0.44,20.3,63.2,0.507,2006,-8,7,26,-0.04199999999999998,2,1,0.11900000000000002,-24,-30,-0.05900000000000005,6,-6,1,2,1,-3,8
