,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2005-11-02,2,LAC,SEA,1,101,93,39,78,0.5,4,12,0.333,19,26,0.731,15,42,23,8,10,18,23,33,80,0.413,10,27,0.37,17,25,0.68,12,36,21,9,4,19,22,109.9,101.2,91.9,0.333,0.154,0.565,53.8,59.0,8.7,18.9,0.526,16.8,38.5,0.244,0.475,17.3,69.2,0.213,2006,8,6,-2,0.08700000000000002,-6,-15,-0.03699999999999998,2,1,0.050999999999999934,3,6,2,-1,6,-1,1
1,2,2005-11-04,1,LAC,ATL,1,92,77,34,77,0.442,1,7,0.143,23,34,0.676,17,51,18,10,11,18,27,24,69,0.348,6,10,0.6,23,34,0.676,13,40,19,8,6,21,25,101.6,85.0,90.6,0.442,0.091,0.5,56.0,52.9,11.0,18.6,0.448,16.4,38.6,0.299,0.391,20.0,72.3,0.333,2006,15,10,8,0.09400000000000003,-5,-3,-0.45699999999999996,0,0,0.0,4,11,-1,2,5,-3,2
2,3,2005-11-05,1,LAC,MIN,1,100,99,39,89,0.438,4,8,0.5,18,22,0.818,12,49,22,3,5,10,28,38,83,0.458,3,10,0.3,20,29,0.69,8,40,21,3,6,6,22,108.0,106.9,83.9,0.247,0.09,0.507,55.1,56.4,3.2,6.8,0.461,9.2,27.3,0.202,0.476,5.9,82.2,0.241,2006,1,1,6,-0.020000000000000018,1,-2,0.2,-2,-7,0.128,4,9,1,0,-1,4,6
3,4,2005-11-07,2,LAC,MIN,2,78,93,30,75,0.4,0,13,0.0,18,24,0.75,9,39,16,4,3,16,20,38,72,0.528,1,11,0.091,16,21,0.762,5,34,22,7,9,12,23,88.4,105.4,88.2,0.32,0.173,0.456,53.4,53.3,4.5,4.9,0.4,15.8,23.7,0.24,0.535,12.9,85.7,0.222,2006,-15,-8,3,-0.128,-1,2,-0.091,2,3,-0.01200000000000001,4,5,-6,-3,-6,4,-3
4,5,2005-11-09,2,LAC,WAS,1,102,97,41,82,0.5,2,5,0.4,18,21,0.857,12,45,26,2,5,12,25,35,94,0.372,4,17,0.235,23,29,0.793,18,45,20,5,3,8,19,113.2,107.6,90.1,0.256,0.061,0.559,50.0,63.4,2.2,6.5,0.512,11.6,30.8,0.22,0.394,7.0,64.7,0.245,2006,5,6,-12,0.128,-2,-12,0.16500000000000004,-5,-8,0.06399999999999995,-6,0,6,-3,2,4,6
5,6,2005-11-10,2,LAC,ATL,1,102,95,36,75,0.48,3,6,0.5,27,35,0.771,10,47,18,8,7,17,26,37,91,0.407,1,9,0.111,20,27,0.741,17,42,19,4,6,12,23,107.5,100.2,94.8,0.467,0.08,0.564,52.8,50.0,8.4,8.5,0.5,15.8,28.6,0.36,0.412,10.4,68.5,0.22,2006,7,-1,-16,0.07300000000000001,2,-3,0.389,7,8,0.030000000000000027,-7,5,-1,4,1,5,3
6,7,2005-11-13,2,LAC,PHI,2,108,113,37,79,0.468,7,20,0.35,27,32,0.844,10,39,25,9,4,20,31,39,82,0.476,4,8,0.5,31,38,0.816,11,40,22,9,5,14,26,108.6,113.7,99.4,0.405,0.253,0.58,49.4,67.6,9.1,5.4,0.513,17.7,25.6,0.342,0.5,12.4,72.5,0.378,2006,-5,-2,-3,-0.007999999999999952,3,12,-0.15000000000000002,-4,-6,0.028000000000000025,-1,-1,3,0,-1,6,5
7,8,2005-11-15,1,LAC,MIL,1,109,85,35,73,0.479,5,12,0.417,34,37,0.919,11,38,22,9,7,17,25,30,77,0.39,3,7,0.429,22,27,0.815,11,35,12,10,6,17,28,119.6,93.3,91.1,0.507,0.164,0.61,52.1,62.9,9.9,10.0,0.514,16.0,31.4,0.466,0.409,16.1,71.1,0.286,2006,24,5,-4,0.08899999999999997,2,5,-0.01200000000000001,12,10,0.10400000000000009,0,3,10,-1,1,0,-3
8,9,2005-11-18,2,LAC,LAL,1,97,91,32,72,0.444,3,10,0.3,30,35,0.857,6,43,17,4,9,12,22,33,85,0.388,2,14,0.143,23,30,0.767,13,41,22,6,3,9,20,106.6,100.0,91.0,0.486,0.139,0.555,51.2,53.1,4.4,12.7,0.465,12.1,17.6,0.417,0.4,8.4,74.0,0.271,2006,6,-1,-13,0.055999999999999994,1,-4,0.157,7,5,0.08999999999999997,-7,2,-5,-2,6,3,2
9,10,2005-11-20,1,LAC,GSW,1,113,101,39,76,0.513,5,13,0.385,30,35,0.857,8,48,22,4,2,15,20,37,95,0.389,7,35,0.2,20,21,0.952,12,39,25,7,2,9,27,116.5,104.1,97.0,0.461,0.171,0.618,55.2,56.4,4.1,3.3,0.546,14.1,22.9,0.395,0.426,7.9,76.9,0.211,2006,12,2,-19,0.124,-2,-22,0.185,10,14,-0.09499999999999997,-4,9,-3,-3,0,6,-7
10,11,2005-11-23,1,LAC,TOR,1,103,100,39,68,0.574,2,7,0.286,23,29,0.793,4,39,22,2,12,15,25,33,87,0.379,8,24,0.333,26,32,0.813,15,39,21,4,1,5,24,116.0,112.6,88.8,0.426,0.103,0.638,50.0,56.4,2.3,19.0,0.588,15.7,14.3,0.338,0.425,4.7,70.0,0.299,2006,3,6,-19,0.19499999999999995,-6,-17,-0.04700000000000004,-3,-3,-0.019999999999999907,-11,0,1,-2,11,10,1
11,12,2005-11-25,2,LAC,DEN,2,95,105,33,76,0.434,2,15,0.133,27,35,0.771,7,44,15,7,8,16,29,35,76,0.461,4,8,0.5,31,42,0.738,6,37,24,6,5,11,30,97.3,107.6,97.6,0.461,0.197,0.52,54.3,45.5,7.2,11.8,0.447,14.9,18.4,0.355,0.487,10.4,86.0,0.408,2006,-10,-2,0,-0.027000000000000024,-2,7,-0.367,-4,-7,0.03300000000000003,1,7,-9,1,3,5,-1
12,13,2005-11-27,1,LAC,IND,2,92,97,32,70,0.457,3,7,0.429,25,27,0.926,5,44,16,6,6,17,22,34,84,0.405,8,20,0.4,21,28,0.75,13,42,18,10,3,9,22,100.7,106.2,91.3,0.386,0.1,0.562,51.2,50.0,6.6,9.4,0.479,17.2,14.7,0.357,0.452,8.5,75.0,0.25,2006,-5,-2,-14,0.05199999999999999,-5,-13,0.02899999999999997,4,-1,0.17600000000000005,-8,2,-2,-4,3,8,0
13,14,2005-11-29,2,LAC,MIN,1,93,84,40,83,0.482,3,7,0.429,10,17,0.588,10,50,22,6,8,12,22,31,79,0.392,4,12,0.333,18,26,0.692,9,45,20,7,4,10,18,102.3,92.4,90.9,0.205,0.084,0.514,52.6,55.0,6.6,11.9,0.5,11.7,21.7,0.12,0.418,10.0,81.6,0.228,2006,9,9,4,0.08999999999999997,-1,-5,0.09599999999999997,-8,-9,-0.10399999999999998,1,5,2,-1,4,2,4
14,15,2005-11-30,2,LAC,CLE,2,105,112,37,91,0.407,6,14,0.429,25,28,0.893,13,43,20,8,5,15,34,33,81,0.407,6,21,0.286,40,47,0.851,10,47,20,8,4,14,24,103.4,110.3,92.0,0.308,0.154,0.508,47.8,54.1,7.9,8.3,0.44,12.7,26.0,0.275,0.444,12.1,75.0,0.494,2006,-7,4,10,0.0,0,-7,0.14300000000000002,-15,-19,0.04200000000000004,3,-4,0,0,1,1,10
15,16,2005-12-03,1,LAC,CLE,1,102,90,41,79,0.519,4,10,0.4,16,22,0.727,9,52,22,2,7,14,23,31,89,0.348,9,19,0.474,19,27,0.704,16,42,15,8,3,5,20,113.8,100.4,89.7,0.278,0.127,0.575,55.3,53.7,2.2,10.0,0.544,13.6,25.7,0.203,0.399,4.7,72.9,0.213,2006,12,10,-10,0.17100000000000004,-5,-9,-0.07399999999999995,-3,-5,0.02300000000000002,-7,10,7,-6,4,9,3
