,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2005-11-02,1,MEM,MIA,2,78,97,29,85,0.341,4,17,0.235,16,26,0.615,14,44,16,8,6,15,21,37,78,0.474,7,18,0.389,16,21,0.762,9,50,19,7,7,18,29,82.4,102.4,94.7,0.306,0.2,0.404,46.8,55.2,8.4,10.0,0.365,13.5,25.5,0.188,0.519,17.1,76.9,0.205,2006,-19,-8,7,-0.13299999999999995,-3,-1,-0.15400000000000003,0,5,-0.14700000000000002,5,-6,-3,1,-1,-3,-8
1,2,2005-11-04,2,MEM,ORL,1,94,85,32,68,0.471,10,22,0.455,20,26,0.769,5,33,17,4,2,13,20,33,71,0.465,1,10,0.1,18,25,0.72,11,36,15,6,2,12,24,112.9,102.1,83.3,0.382,0.324,0.592,47.8,53.1,4.8,3.3,0.544,14.1,16.7,0.294,0.472,12.8,71.8,0.254,2006,9,-1,-3,0.00599999999999995,9,12,0.355,2,1,0.049000000000000044,-6,-3,2,-2,0,1,-4
2,3,2005-11-05,1,MEM,CLE,1,113,106,38,66,0.576,11,18,0.611,26,35,0.743,7,41,24,4,9,14,24,40,87,0.46,7,19,0.368,19,23,0.826,12,35,21,6,6,8,25,126.9,119.0,89.0,0.53,0.273,0.694,53.9,63.2,4.5,13.2,0.659,14.7,23.3,0.394,0.5,7.6,73.9,0.218,2006,7,-2,-21,0.11599999999999994,4,-1,0.243,7,12,-0.08299999999999996,-5,6,3,-2,3,6,-1
3,4,2005-11-08,1,MEM,SEA,1,94,69,37,75,0.493,8,17,0.471,12,23,0.522,10,43,25,9,5,14,21,23,70,0.329,5,24,0.208,18,26,0.692,12,45,14,8,1,19,21,107.6,79.0,87.4,0.307,0.227,0.552,48.9,67.6,10.3,10.9,0.547,14.1,23.3,0.16,0.364,18.9,73.3,0.257,2006,25,14,5,0.16399999999999998,3,-7,0.263,-6,-3,-0.16999999999999993,-2,-2,11,1,4,-5,0
4,5,2005-11-09,2,MEM,BOS,2,98,99,38,74,0.514,10,23,0.435,12,26,0.462,12,33,25,12,3,16,24,36,61,0.59,7,9,0.778,20,26,0.769,4,32,26,13,3,18,24,112.7,113.8,87.0,0.351,0.311,0.574,50.8,65.8,13.8,5.8,0.581,15.8,30.0,0.162,0.648,19.9,84.0,0.328,2006,-1,2,13,-0.07599999999999996,3,14,-0.343,-8,0,-0.307,8,1,-1,-1,0,-2,0
5,6,2005-11-11,2,MEM,CLE,2,70,89,27,75,0.36,7,23,0.304,9,17,0.529,10,29,20,8,5,19,20,34,73,0.466,4,14,0.286,17,19,0.895,14,49,19,10,7,20,21,81.3,103.3,86.1,0.227,0.307,0.424,37.2,74.1,9.3,8.5,0.407,18.7,22.2,0.12,0.493,19.7,57.6,0.233,2006,-19,-7,2,-0.10600000000000004,3,9,0.018000000000000016,-8,-2,-0.366,-4,-20,1,-2,-2,-1,-1
6,7,2005-11-12,2,MEM,ATL,1,85,84,29,72,0.403,7,23,0.304,20,26,0.769,10,38,16,6,7,12,19,33,83,0.398,4,12,0.333,14,19,0.737,16,45,23,7,5,12,26,102.6,101.4,82.9,0.361,0.319,0.509,45.8,55.2,7.2,9.9,0.451,12.6,25.6,0.278,0.422,11.6,63.6,0.169,2006,1,-4,-11,0.0050000000000000044,3,11,-0.029000000000000026,6,7,0.03200000000000003,-6,-7,-7,-1,2,0,-7
7,8,2005-11-14,1,MEM,LAL,1,85,73,31,82,0.378,4,15,0.267,19,25,0.76,18,50,14,8,11,14,22,25,77,0.325,4,11,0.364,19,23,0.826,15,45,12,5,12,17,20,99.4,85.4,85.5,0.305,0.183,0.457,52.6,45.2,9.4,16.7,0.402,13.1,37.5,0.232,0.351,16.3,68.1,0.247,2006,12,6,5,0.05299999999999999,0,4,-0.09699999999999998,0,2,-0.06599999999999995,3,5,2,3,-1,-3,2
8,9,2005-11-16,2,MEM,PHO,1,115,103,44,84,0.524,10,24,0.417,17,24,0.708,9,42,21,8,1,12,14,40,84,0.476,12,30,0.4,11,11,1.0,9,37,30,6,6,14,20,122.7,109.9,93.8,0.286,0.286,0.608,53.2,47.7,8.5,1.9,0.583,11.3,24.3,0.202,0.548,13.6,78.6,0.131,2006,12,4,0,0.04800000000000004,-2,-6,0.01699999999999996,6,13,-0.29200000000000004,0,5,-9,2,-5,-2,-6
9,10,2005-11-19,2,MEM,UTA,1,80,72,27,66,0.409,7,20,0.35,19,30,0.633,12,43,17,5,10,12,16,30,81,0.37,4,16,0.25,8,11,0.727,17,41,24,6,7,9,24,105.8,95.3,75.6,0.455,0.303,0.505,51.2,63.0,6.6,15.4,0.462,13.2,33.3,0.288,0.395,9.5,64.6,0.099,2006,8,-3,-15,0.03899999999999998,3,4,0.09999999999999998,11,19,-0.09399999999999997,-5,2,-7,-1,3,3,-8
10,11,2005-11-20,2,MEM,DEN,2,83,99,32,86,0.372,4,25,0.16,15,20,0.75,11,43,13,6,4,9,22,39,87,0.448,2,13,0.154,19,29,0.655,18,55,25,7,12,10,18,92.3,110.1,89.9,0.233,0.291,0.438,43.9,40.6,6.7,5.4,0.395,8.7,22.9,0.174,0.46,9.1,64.0,0.218,2006,-16,-7,-1,-0.07600000000000001,2,12,0.006000000000000005,-4,-9,0.09499999999999997,-7,-12,-12,-1,-8,-1,4
11,12,2005-11-22,1,MEM,POR,2,87,95,35,90,0.389,7,21,0.333,10,15,0.667,18,43,18,8,7,12,22,34,73,0.466,1,7,0.143,26,33,0.788,12,45,18,7,8,12,16,101.2,110.5,85.9,0.167,0.233,0.45,48.9,51.4,9.3,10.6,0.428,11.0,35.3,0.111,0.473,12.1,67.6,0.356,2006,-8,1,17,-0.07700000000000001,6,14,0.19000000000000003,-16,-18,-0.121,6,-2,0,1,-1,0,6
12,13,2005-11-25,1,MEM,HOU,1,86,81,32,78,0.41,7,23,0.304,15,21,0.714,11,39,20,6,6,12,20,24,60,0.4,8,17,0.471,25,31,0.806,7,37,20,8,4,18,22,102.4,96.5,83.9,0.269,0.295,0.493,51.3,62.5,7.1,14.0,0.455,12.1,26.8,0.192,0.467,19.6,80.0,0.417,2006,5,8,18,0.009999999999999953,-1,6,-0.16699999999999998,-10,-10,-0.09200000000000008,4,2,0,-2,2,-6,-2
13,14,2005-11-26,2,MEM,DAL,1,112,92,41,74,0.554,7,15,0.467,23,32,0.719,11,39,23,10,4,15,28,31,71,0.437,5,14,0.357,25,35,0.714,17,39,11,11,4,17,28,127.4,104.6,87.9,0.432,0.203,0.636,50.0,56.1,11.4,7.0,0.601,14.6,33.3,0.311,0.472,16.4,62.2,0.352,2006,20,10,3,0.11700000000000005,2,1,0.11000000000000004,-2,-3,0.0050000000000000044,-6,0,12,-1,0,-2,0
14,15,2005-11-30,2,MEM,TOR,1,92,66,37,73,0.507,7,13,0.538,11,15,0.733,7,41,20,8,2,18,19,25,72,0.347,1,13,0.077,15,16,0.938,9,35,16,8,4,18,23,105.3,75.6,87.4,0.205,0.178,0.578,53.9,54.1,9.2,3.4,0.555,18.4,21.2,0.151,0.354,18.5,79.1,0.208,2006,26,12,1,0.16000000000000003,6,0,0.461,-4,-1,-0.20499999999999996,-2,6,4,0,-2,0,-4
15,16,2005-12-02,1,MEM,ORL,1,91,69,31,59,0.525,6,14,0.429,23,34,0.676,5,39,21,6,7,13,22,28,74,0.378,2,7,0.286,11,18,0.611,11,37,13,7,5,13,27,111.7,84.7,81.5,0.576,0.237,0.615,51.3,67.7,7.4,10.4,0.576,14.9,16.1,0.39,0.392,13.7,75.6,0.149,2006,22,3,-15,0.14700000000000002,4,7,0.14300000000000002,12,16,0.06500000000000006,-6,2,8,-1,2,0,-5
16,17,2005-12-03,2,MEM,HOU,1,90,75,33,72,0.458,15,32,0.469,9,14,0.643,9,31,24,12,4,15,18,31,68,0.456,3,15,0.2,10,16,0.625,12,36,20,11,5,21,14,110.7,92.2,81.3,0.194,0.444,0.576,46.3,72.7,14.8,7.5,0.563,16.1,27.3,0.125,0.478,21.9,64.7,0.147,2006,15,2,4,0.0020000000000000018,12,17,0.26899999999999996,-1,-2,0.018000000000000016,-3,-5,4,1,-1,-6,4
17,18,2005-12-06,1,MEM,NOK,1,89,73,30,66,0.455,6,17,0.353,23,31,0.742,7,41,15,5,9,9,22,31,80,0.388,2,11,0.182,9,17,0.529,12,38,17,6,2,12,26,108.3,88.8,82.2,0.47,0.258,0.559,51.9,50.0,6.1,13.0,0.5,10.2,21.2,0.348,0.4,12.1,73.9,0.113,2006,16,-1,-14,0.067,4,6,0.17099999999999999,14,14,0.21299999999999997,-5,3,-2,-1,7,-3,-4
18,19,2005-12-09,1,MEM,DAL,2,83,90,24,70,0.343,5,16,0.313,30,45,0.667,14,38,15,8,8,12,26,33,75,0.44,3,7,0.429,21,28,0.75,14,50,17,5,11,16,30,96.6,104.7,85.9,0.643,0.229,0.462,43.2,62.5,9.3,11.8,0.379,11.8,28.0,0.429,0.46,15.5,63.2,0.28,2006,-7,-9,-5,-0.09699999999999998,2,9,-0.11599999999999999,9,17,-0.08299999999999996,0,-12,-2,3,-3,-4,-4
19,20,2005-12-10,2,MEM,IND,2,66,80,24,71,0.338,7,12,0.583,11,20,0.55,8,39,17,9,6,12,17,30,69,0.435,4,16,0.25,16,19,0.842,6,47,20,10,9,15,18,78.7,95.5,83.8,0.282,0.169,0.414,45.3,70.8,10.7,11.3,0.387,13.1,16.3,0.155,0.464,16.2,83.8,0.232,2006,-14,-6,2,-0.09699999999999998,3,-4,0.33299999999999996,-5,1,-0.2919999999999999,2,-8,-3,-1,-3,-3,-1
52,21,2005-12-14,1,MEM,LAL,2,79,94,33,77,0.429,4,15,0.267,9,17,0.529,10,38,20,7,7,12,22,36,75,0.48,6,15,0.4,16,26,0.615,15,48,20,7,4,15,22,92.6,110.1,85.3,0.221,0.195,0.468,44.2,60.6,8.2,11.7,0.455,12.4,23.3,0.117,0.52,14.8,65.1,0.213,2006,-15,-3,2,-0.05099999999999999,-2,0,-0.133,-7,-9,-0.08599999999999997,-5,-10,0,0,3,-3,0
