,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2005-11-02,2,MIA,MEM,1,97,78,37,78,0.474,7,18,0.389,16,21,0.762,9,50,19,7,7,18,29,29,85,0.341,4,17,0.235,16,26,0.615,14,44,16,8,6,15,21,102.4,82.4,94.7,0.269,0.231,0.556,53.2,51.4,7.4,10.3,0.519,17.1,23.1,0.205,0.365,13.5,74.5,0.188,2006,19,8,-7,0.13299999999999995,3,1,0.15400000000000003,0,-5,0.14700000000000002,-5,6,3,-1,1,3,8
1,2,2005-11-03,1,MIA,IND,2,102,105,36,75,0.48,3,16,0.188,27,42,0.643,10,41,19,5,8,16,27,37,77,0.481,5,10,0.5,26,33,0.788,9,39,17,8,2,11,30,108.0,111.1,94.5,0.56,0.213,0.546,51.3,52.8,5.3,11.9,0.5,14.6,25.0,0.36,0.513,10.7,77.5,0.338,2006,-3,-1,-2,-0.0010000000000000009,-2,6,-0.312,1,9,-0.14500000000000002,1,2,2,-3,6,5,-3
2,3,2005-11-05,2,MIA,MIL,2,100,105,37,76,0.487,10,25,0.4,16,25,0.64,10,36,22,7,6,17,21,40,81,0.494,7,13,0.538,18,23,0.783,11,36,22,11,2,12,18,111.0,116.5,90.1,0.329,0.329,0.575,50.0,59.5,7.8,8.8,0.553,16.3,28.6,0.211,0.537,11.6,70.3,0.222,2006,-5,-3,-5,-0.007000000000000006,3,12,-0.138,-2,2,-0.14300000000000002,-1,0,0,-4,4,5,3
3,4,2005-11-07,1,MIA,NJN,1,90,89,34,70,0.486,5,19,0.263,17,24,0.708,9,33,21,7,9,11,21,34,76,0.447,3,9,0.333,18,25,0.72,16,40,12,5,3,14,23,111.0,109.8,81.1,0.343,0.271,0.559,45.2,61.8,8.6,13.4,0.521,12.0,27.3,0.243,0.467,13.9,60.0,0.237,2006,1,0,-6,0.03899999999999998,2,10,-0.07,-1,-1,-0.01200000000000001,-7,-7,9,2,6,-3,-2
4,5,2005-11-09,2,MIA,IND,2,90,95,34,74,0.459,3,11,0.273,19,28,0.679,14,47,19,7,8,21,30,32,75,0.427,4,10,0.4,27,38,0.711,9,40,20,9,2,13,24,96.7,102.0,93.1,0.378,0.149,0.521,54.0,55.9,7.5,12.3,0.48,19.6,31.1,0.257,0.453,12.4,78.6,0.36,2006,-5,2,-1,0.03200000000000003,-1,1,-0.127,-8,-10,-0.03199999999999992,5,7,-1,-2,6,8,6
5,6,2005-11-10,1,MIA,HOU,1,88,84,34,78,0.436,7,22,0.318,13,21,0.619,13,43,15,4,4,14,24,32,76,0.421,4,17,0.235,16,26,0.615,14,46,19,9,2,13,25,102.8,98.1,85.6,0.269,0.282,0.504,48.3,44.1,4.7,6.8,0.481,13.8,28.9,0.167,0.447,12.9,68.2,0.211,2006,4,2,2,0.015000000000000013,3,5,0.08300000000000002,-3,-5,0.0040000000000000036,-1,-3,-4,-5,2,1,-1
6,7,2005-11-12,1,MIA,CHA,1,108,99,42,74,0.568,9,19,0.474,15,24,0.625,11,56,26,3,7,26,25,34,87,0.391,6,14,0.429,25,36,0.694,8,28,21,20,5,8,23,108.9,99.9,99.1,0.324,0.257,0.639,66.7,61.9,3.0,9.6,0.628,23.5,35.5,0.203,0.425,7.2,84.9,0.287,2006,9,8,-13,0.17699999999999994,3,5,0.044999999999999984,-10,-12,-0.06899999999999995,3,28,5,-17,2,18,2
7,8,2005-11-15,1,MIA,NOK,1,109,102,37,84,0.44,11,26,0.423,24,28,0.857,8,40,23,6,6,11,20,41,93,0.441,4,15,0.267,16,25,0.64,18,54,21,7,2,13,23,112.9,105.7,87.4,0.333,0.31,0.566,42.6,62.2,6.2,7.7,0.506,10.2,18.2,0.286,0.462,11.1,64.0,0.172,2006,7,-4,-9,-0.0010000000000000009,7,11,0.15599999999999997,8,3,0.21699999999999997,-10,-14,2,-1,4,-2,-3
8,9,2005-11-18,1,MIA,PHI,1,106,96,39,78,0.5,9,20,0.45,19,26,0.731,16,46,20,6,5,17,24,34,78,0.436,4,13,0.308,24,32,0.75,11,35,13,6,5,11,19,119.2,107.9,88.9,0.333,0.256,0.593,56.8,51.3,6.7,7.7,0.558,16.0,40.0,0.244,0.462,10.7,73.2,0.308,2006,10,5,0,0.064,5,7,0.14200000000000002,-5,-6,-0.019000000000000017,5,11,7,0,0,6,5
9,10,2005-11-20,2,MIA,TOR,2,94,107,37,83,0.446,8,27,0.296,12,18,0.667,9,39,20,5,4,13,27,37,82,0.451,8,21,0.381,25,35,0.714,15,47,24,4,5,12,21,102.0,116.1,92.2,0.217,0.325,0.517,45.3,54.1,5.4,6.6,0.494,12.5,22.0,0.145,0.5,11.0,66.7,0.305,2006,-13,0,1,-0.0050000000000000044,0,6,-0.08500000000000002,-13,-17,-0.04699999999999993,-6,-8,-4,1,-1,1,6
