,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2005-11-01,1,NOK,SAC,1,93,67,35,73,0.479,4,11,0.364,19,22,0.864,6,52,21,7,4,20,21,25,80,0.313,3,13,0.231,14,19,0.737,10,36,13,8,5,18,25,98.3,70.8,94.6,0.301,0.151,0.562,59.1,60.0,7.4,6.0,0.507,19.5,18.8,0.26,0.331,16.9,82.1,0.175,2006,26,10,-7,0.16599999999999998,1,-2,0.13299999999999998,5,3,0.127,-4,16,8,-1,-1,2,-4
1,2,2005-11-02,2,NOK,CLE,2,87,109,32,78,0.41,4,12,0.333,19,25,0.76,10,33,17,8,6,12,24,37,69,0.536,13,21,0.619,22,30,0.733,9,43,22,8,3,16,27,98.8,123.7,88.1,0.321,0.154,0.489,43.4,53.1,9.1,12.5,0.436,11.9,22.7,0.244,0.63,16.3,71.9,0.319,2006,-22,-5,9,-0.12600000000000006,-9,-9,-0.286,-3,-5,0.027000000000000024,1,-10,-5,0,3,-4,-3
2,3,2005-11-05,2,NOK,HOU,1,91,84,32,81,0.395,3,15,0.2,24,32,0.75,13,43,23,11,3,8,22,26,74,0.351,7,22,0.318,25,28,0.893,11,47,17,3,8,17,29,103.2,95.3,88.2,0.395,0.185,0.479,47.8,71.9,12.5,5.8,0.414,7.8,26.5,0.296,0.399,16.5,73.2,0.338,2006,7,6,7,0.04400000000000004,-4,-7,-0.118,-1,4,-0.14300000000000002,2,-4,6,8,-5,-9,-7
3,4,2005-11-09,1,NOK,ORL,2,83,88,34,77,0.442,0,8,0.0,15,18,0.833,8,33,15,11,3,13,25,28,63,0.444,4,6,0.667,28,33,0.848,10,43,15,2,3,20,24,95.6,101.3,86.9,0.234,0.104,0.489,43.4,44.1,12.7,5.3,0.442,13.3,19.5,0.195,0.476,20.5,71.4,0.444,2006,-5,6,14,-0.0020000000000000018,-4,2,-0.667,-13,-15,-0.015000000000000013,-2,-10,0,9,0,-7,1
4,5,2005-11-12,1,NOK,DAL,2,103,109,39,70,0.557,4,11,0.364,21,25,0.84,8,36,21,4,2,15,27,38,74,0.514,8,19,0.421,25,30,0.833,10,29,18,8,0,11,23,119.7,126.7,86.0,0.357,0.157,0.636,55.4,53.8,4.7,3.6,0.586,15.6,29.6,0.3,0.568,11.2,73.7,0.338,2006,-6,1,-4,0.04300000000000004,-4,-8,-0.056999999999999995,-4,-5,0.007000000000000006,-2,7,3,-4,2,4,4
5,6,2005-11-15,2,NOK,MIA,2,102,109,41,93,0.441,4,15,0.267,16,25,0.64,18,54,21,7,2,13,23,37,84,0.44,11,26,0.423,24,28,0.857,8,40,23,6,6,11,20,105.7,112.9,87.4,0.269,0.161,0.49,57.4,51.2,7.3,3.4,0.462,11.1,36.0,0.172,0.506,10.2,81.8,0.286,2006,-7,4,9,0.0010000000000000009,-7,-11,-0.15599999999999997,-8,-3,-0.21699999999999997,10,14,-2,1,-4,2,3
6,7,2005-11-16,1,NOK,DEN,2,81,91,29,79,0.367,0,13,0.0,23,34,0.676,14,46,17,8,1,20,27,35,73,0.479,1,6,0.167,20,27,0.741,6,44,18,13,4,16,28,84.6,95.0,95.8,0.43,0.165,0.431,51.1,58.6,8.4,1.5,0.367,17.6,26.9,0.291,0.486,15.9,84.2,0.274,2006,-10,-6,6,-0.11199999999999999,-1,7,-0.167,3,7,-0.06499999999999995,8,2,-1,-5,-3,4,-1
7,8,2005-11-18,1,NOK,ATL,1,95,92,33,83,0.398,8,16,0.5,21,32,0.656,17,43,20,13,4,16,24,35,74,0.473,7,16,0.438,15,24,0.625,11,41,10,11,7,22,29,102.3,99.1,92.8,0.386,0.193,0.489,51.2,60.6,14.0,6.9,0.446,14.1,36.2,0.253,0.52,20.6,70.3,0.203,2006,3,-2,9,-0.07499999999999996,1,0,0.062,6,8,0.031000000000000028,6,2,10,2,-3,-6,-5
8,9,2005-11-19,2,NOK,ORL,1,98,95,35,64,0.547,3,6,0.5,25,38,0.658,10,34,17,5,3,13,23,37,73,0.507,6,16,0.375,15,22,0.682,7,31,20,4,3,15,27,114.5,111.0,85.6,0.594,0.094,0.607,52.3,48.6,5.8,5.3,0.57,13.9,29.4,0.391,0.548,15.4,77.4,0.205,2006,3,-2,-9,0.040000000000000036,-3,-10,0.125,10,16,-0.02400000000000002,3,3,-3,1,0,-2,-4
9,10,2005-11-21,2,NOK,PHI,2,91,103,31,78,0.397,2,13,0.154,27,36,0.75,14,38,24,10,2,13,20,38,79,0.481,6,15,0.4,21,26,0.808,17,50,25,5,3,17,25,101.9,115.3,89.3,0.462,0.167,0.485,43.2,77.4,11.2,3.1,0.41,12.2,29.8,0.346,0.519,15.8,58.5,0.266,2006,-12,-7,-1,-0.08399999999999996,-4,-2,-0.24600000000000002,6,10,-0.05800000000000005,-3,-12,-1,5,-1,-4,-5
