,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2007-10-31,2,DAL,CLE,1,92,74,33,69,0.478,9,18,0.5,17,20,0.85,5,36,23,6,8,16,17,28,77,0.364,3,12,0.25,15,25,0.6,16,47,13,11,2,15,21,107.1,86.1,85.9,0.29,0.261,0.591,43.4,69.7,7.0,12.3,0.543,17.1,13.9,0.246,0.383,14.6,66.0,0.195,2008,18,5,-8,0.11399999999999999,6,6,0.25,2,-5,0.25,-11,-11,10,-5,6,1,-4
1,2,2007-11-02,2,DAL,ATL,2,94,101,35,80,0.438,4,24,0.167,20,25,0.8,7,38,14,4,10,10,25,36,79,0.456,4,15,0.267,25,31,0.806,14,52,20,6,4,15,23,101.8,109.4,92.3,0.313,0.3,0.516,42.2,40.0,4.3,15.6,0.463,9.9,15.6,0.25,0.481,13.9,68.9,0.316,2008,-7,-1,1,-0.018000000000000016,0,9,-0.1,-5,-6,-0.006000000000000005,-7,-14,-6,-2,6,-5,2
2,3,2007-11-03,1,DAL,SAC,1,123,102,45,69,0.652,7,14,0.5,26,29,0.897,7,31,29,5,5,14,22,35,70,0.5,3,7,0.429,29,32,0.906,11,27,14,8,0,15,21,142.3,118.0,86.4,0.42,0.203,0.752,53.4,64.4,5.8,7.9,0.703,14.6,30.4,0.377,0.521,15.1,68.6,0.414,2008,21,10,-1,0.15200000000000002,4,7,0.07100000000000001,-3,-3,-0.009000000000000008,-4,4,15,-3,5,-1,1
3,4,2007-11-05,1,DAL,HOU,1,107,98,36,77,0.468,8,18,0.444,27,28,0.964,8,43,23,5,6,12,20,37,88,0.42,5,21,0.238,19,21,0.905,11,38,20,6,7,10,23,116.6,106.8,91.8,0.364,0.234,0.599,53.1,63.9,5.4,9.0,0.519,11.8,22.9,0.351,0.449,9.3,76.1,0.216,2008,9,-1,-11,0.04800000000000004,3,-3,0.20600000000000002,8,7,0.05899999999999994,-3,5,3,-1,-1,2,-3
4,5,2007-11-08,2,DAL,GSW,1,120,115,42,84,0.5,10,24,0.417,26,30,0.867,10,49,25,1,5,12,29,44,89,0.494,11,25,0.44,16,30,0.533,8,38,23,4,5,7,23,122.1,117.0,98.3,0.357,0.286,0.617,56.3,59.5,1.0,7.8,0.56,11.0,25.0,0.31,0.556,6.4,83.0,0.18,2008,5,-2,-5,0.006000000000000005,-1,-1,-0.02300000000000002,10,0,0.33399999999999996,2,11,2,-3,0,5,6
5,6,2007-11-10,2,DAL,POR,2,82,91,29,82,0.354,4,16,0.25,20,21,0.952,14,45,13,3,2,13,24,35,70,0.5,7,12,0.583,14,25,0.56,6,41,28,4,2,16,24,92.6,102.8,88.6,0.256,0.195,0.449,52.3,44.8,3.4,3.4,0.378,12.5,28.6,0.244,0.55,16.5,83.8,0.2,2008,-9,-6,12,-0.14600000000000002,-3,4,-0.33299999999999996,6,-4,0.3919999999999999,8,4,-15,-1,0,-3,0
6,7,2007-11-13,1,DAL,PHI,1,99,84,37,83,0.446,6,19,0.316,19,27,0.704,11,47,25,9,8,12,17,33,82,0.402,5,10,0.5,13,18,0.722,12,47,21,4,5,18,27,105.3,89.3,94.1,0.325,0.229,0.522,50.0,67.6,9.6,11.1,0.482,11.2,23.9,0.229,0.433,16.7,75.0,0.159,2008,15,4,1,0.043999999999999984,1,9,-0.184,6,9,-0.018000000000000016,-1,0,4,5,3,-6,-10
7,8,2007-11-15,1,DAL,SAS,1,105,92,38,73,0.521,7,16,0.438,22,30,0.733,9,41,20,11,4,13,26,32,80,0.4,6,15,0.4,22,28,0.786,15,38,17,7,1,14,25,119.1,104.4,88.1,0.411,0.219,0.609,51.9,52.6,12.5,6.2,0.568,13.1,28.1,0.301,0.438,13.2,68.1,0.275,2008,13,6,-7,0.121,1,1,0.03799999999999998,0,2,-0.05300000000000005,-6,3,3,4,3,-1,1
8,9,2007-11-17,1,DAL,MEM,1,108,105,39,82,0.476,2,8,0.25,28,40,0.7,14,46,19,10,6,14,22,39,84,0.464,7,19,0.368,20,23,0.87,11,40,22,7,5,18,23,110.3,107.2,98.0,0.488,0.098,0.542,53.5,48.7,10.2,9.2,0.488,12.3,32.6,0.341,0.506,16.1,74.4,0.238,2008,3,0,-2,0.011999999999999955,-5,-11,-0.118,8,17,-0.17000000000000004,3,6,-3,3,1,-4,-1
9,10,2007-11-20,1,DAL,TOR,1,105,99,37,75,0.493,8,21,0.381,23,28,0.821,9,41,17,4,5,8,20,36,80,0.45,8,19,0.421,19,23,0.826,11,40,19,4,2,9,16,123.0,116.0,85.4,0.373,0.28,0.601,50.6,45.9,4.7,8.2,0.547,8.4,23.7,0.307,0.5,9.1,74.4,0.238,2008,6,1,-5,0.04299999999999998,0,2,-0.03999999999999998,4,5,-0.0050000000000000044,-2,1,-2,0,3,-1,4
