,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2007-10-31,2,SEA,DEN,2,103,120,40,96,0.417,7,17,0.412,16,27,0.593,14,52,27,9,5,19,27,42,91,0.462,11,27,0.407,25,35,0.714,13,50,31,11,10,15,21,95.4,111.1,108.0,0.281,0.177,0.477,51.0,67.5,8.3,7.8,0.453,15.0,27.5,0.167,0.522,12.4,74.5,0.275,2008,-17,-2,5,-0.04500000000000004,-4,-10,0.0050000000000000044,-9,-8,-0.121,1,2,-4,-2,-5,4,6
1,2,2007-11-01,1,SEA,PHO,2,99,106,41,99,0.414,5,13,0.385,12,15,0.8,11,50,24,10,2,18,17,42,84,0.5,11,33,0.333,11,17,0.647,5,44,31,11,2,19,14,92.5,99.0,107.0,0.152,0.131,0.469,53.2,58.5,9.3,3.9,0.439,14.6,22.0,0.121,0.565,17.2,88.6,0.131,2008,-7,-1,15,-0.08600000000000002,-6,-20,0.05199999999999999,1,-2,0.15300000000000002,6,6,-7,-1,0,-1,3
2,3,2007-11-04,2,SEA,LAC,2,101,115,39,83,0.47,5,13,0.385,18,22,0.818,10,47,25,6,4,22,24,41,89,0.461,7,18,0.389,26,34,0.765,12,48,25,14,5,12,22,98.3,111.9,102.8,0.265,0.157,0.545,49.5,64.1,5.8,5.6,0.5,19.2,21.7,0.217,0.5,10.3,75.5,0.292,2008,-14,-2,-6,0.008999999999999952,-2,-5,-0.0040000000000000036,-8,-12,0.052999999999999936,-2,-1,0,-8,-1,10,2
3,4,2007-11-06,2,SEA,SAC,2,98,104,38,79,0.481,8,21,0.381,14,18,0.778,12,42,19,11,4,25,29,35,78,0.449,5,17,0.294,29,37,0.784,13,41,16,14,4,17,19,101.1,107.3,97.0,0.228,0.266,0.564,50.6,50.0,11.3,6.6,0.532,22.3,30.0,0.177,0.481,15.3,69.8,0.372,2008,-6,3,1,0.03199999999999997,3,4,0.08700000000000002,-15,-19,-0.006000000000000005,-1,1,3,-3,0,8,10
4,5,2007-11-07,1,SEA,MEM,2,98,105,39,85,0.459,3,12,0.25,17,19,0.895,13,45,18,10,9,18,29,35,93,0.376,10,25,0.4,25,32,0.781,21,53,18,5,5,18,16,100.2,107.4,97.8,0.224,0.141,0.525,45.9,46.2,10.2,13.2,0.476,16.2,28.9,0.2,0.43,14.4,60.4,0.269,2008,-7,4,-8,0.08300000000000002,-7,-13,-0.15000000000000002,-8,-13,0.11399999999999999,-8,-8,0,5,4,0,13
5,6,2007-11-09,1,SEA,UTA,2,101,103,40,85,0.471,2,13,0.154,19,29,0.655,12,38,19,9,6,17,23,42,86,0.488,1,8,0.125,18,27,0.667,13,44,32,11,8,18,20,101.4,103.4,99.6,0.341,0.153,0.517,46.3,47.5,9.0,7.7,0.482,14.8,27.9,0.224,0.494,15.5,66.7,0.209,2008,-2,-2,-1,-0.017000000000000015,1,5,0.028999999999999998,1,2,-0.01200000000000001,-1,-6,-13,-2,-2,-1,3
6,7,2007-11-11,1,SEA,DET,2,103,107,37,86,0.43,3,9,0.333,26,29,0.897,11,47,21,7,2,13,25,38,88,0.432,8,23,0.348,23,33,0.697,12,49,27,10,1,11,25,104.4,108.4,98.7,0.337,0.105,0.521,49.0,56.8,7.1,3.1,0.448,11.6,22.9,0.302,0.477,9.7,75.0,0.261,2008,-4,-1,-2,-0.0020000000000000018,-5,-14,-0.014999999999999958,3,-4,0.20000000000000007,-1,-2,-6,-3,1,2,0
7,8,2007-11-13,2,SEA,ORL,2,76,103,33,96,0.344,2,10,0.2,8,14,0.571,12,44,16,14,5,17,23,38,82,0.463,10,25,0.4,17,22,0.773,10,58,24,6,4,26,16,72.1,97.8,105.4,0.146,0.104,0.372,43.1,48.5,13.3,8.8,0.354,14.3,20.0,0.083,0.524,22.1,76.2,0.207,2008,-27,-5,14,-0.11900000000000005,-8,-15,-0.2,-9,-8,-0.20200000000000007,2,-14,-8,8,1,-9,7
8,9,2007-11-14,2,SEA,MIA,1,104,95,37,75,0.493,10,19,0.526,20,25,0.8,12,52,23,5,2,22,22,32,83,0.386,7,26,0.269,24,33,0.727,11,34,15,14,3,12,18,109.8,100.3,94.7,0.333,0.253,0.605,60.5,62.2,5.3,3.5,0.56,20.4,34.3,0.267,0.428,11.0,78.4,0.289,2008,9,5,-8,0.10699999999999998,3,-7,0.257,-4,-8,0.07300000000000006,1,18,8,-9,-1,10,4
9,10,2007-11-16,2,SEA,ATL,1,126,123,47,99,0.475,6,16,0.375,26,31,0.839,12,43,23,6,4,13,28,45,99,0.455,6,23,0.261,27,33,0.818,13,47,24,6,7,12,30,116.1,113.4,89.8,0.313,0.162,0.559,47.8,48.9,5.5,5.3,0.505,10.3,26.1,0.263,0.485,9.6,70.5,0.273,2008,3,2,0,0.019999999999999962,0,-7,0.11399999999999999,-1,-2,0.02100000000000002,-1,-4,-1,0,-3,1,-2
