,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2009-10-28,1,OKC,SAC,1,102,89,39,76,0.513,8,14,0.571,16,20,0.8,8,41,20,4,6,12,19,32,79,0.405,3,16,0.188,22,28,0.786,10,37,13,6,5,12,23,115.0,100.3,88.7,0.263,0.184,0.601,52.6,51.3,4.5,9.5,0.566,12.4,22.9,0.211,0.424,11.6,76.7,0.278,2010,13,7,-3,0.10799999999999998,5,-2,0.38299999999999995,-6,-8,0.014000000000000012,-2,4,7,-2,1,0,-4
1,2,2009-10-30,2,OKC,DET,1,91,83,33,76,0.434,2,11,0.182,23,30,0.767,9,45,23,6,5,11,28,26,70,0.371,5,17,0.294,26,34,0.765,9,43,12,6,5,15,27,101.9,93.0,89.3,0.395,0.145,0.51,51.1,69.7,6.7,9.4,0.447,11.0,20.9,0.303,0.407,15.0,80.0,0.371,2010,8,7,6,0.063,-3,-6,-0.11199999999999999,-3,-4,0.0020000000000000018,0,2,11,0,0,-4,1
2,3,2009-11-01,1,OKC,POR,2,74,83,24,70,0.343,3,14,0.214,23,32,0.719,14,39,6,5,7,16,25,28,69,0.406,8,21,0.381,19,25,0.76,10,40,16,9,4,14,26,90.5,101.5,81.8,0.457,0.2,0.44,49.4,25.0,6.1,14.6,0.364,16.0,31.8,0.329,0.464,14.9,71.4,0.275,2010,-9,-4,1,-0.063,-5,-7,-0.167,4,7,-0.041000000000000036,4,-1,-10,-4,3,2,-1
3,4,2009-11-03,1,OKC,LAL,2,98,101,38,88,0.432,6,23,0.261,16,19,0.842,13,37,23,14,7,21,23,38,73,0.521,5,11,0.455,20,28,0.714,7,36,19,16,2,25,27,97.6,100.6,90.9,0.216,0.261,0.509,50.7,60.5,13.9,11.3,0.466,17.9,31.0,0.182,0.555,22.7,77.4,0.274,2010,-3,0,15,-0.08900000000000002,1,12,-0.194,-4,-9,0.128,6,1,4,-2,5,-4,-4
4,5,2009-11-06,2,OKC,HOU,2,94,105,40,92,0.435,2,8,0.25,12,17,0.706,11,40,15,8,8,13,19,42,78,0.538,6,16,0.375,15,19,0.789,8,40,26,6,10,17,17,98.0,109.5,95.9,0.185,0.087,0.472,50.0,37.5,8.3,12.9,0.446,11.6,25.6,0.13,0.577,16.4,78.4,0.192,2010,-11,-2,14,-0.10300000000000004,-4,-8,-0.125,-3,-2,-0.08300000000000007,3,0,-11,2,-2,-4,2
5,6,2009-11-08,1,OKC,ORL,1,102,74,40,70,0.571,9,16,0.563,13,15,0.867,4,45,27,7,2,15,29,25,68,0.368,3,16,0.188,21,34,0.618,9,30,14,7,2,15,17,117.1,85.0,87.1,0.214,0.229,0.666,60.0,67.5,8.0,3.8,0.636,16.4,16.0,0.186,0.39,15.3,82.0,0.309,2010,28,15,2,0.20299999999999996,6,0,0.37499999999999994,-8,-19,0.249,-5,15,13,0,0,0,12
6,7,2009-11-10,2,OKC,SAC,2,98,101,31,78,0.397,6,17,0.353,30,35,0.857,8,36,15,12,7,15,28,34,76,0.447,2,14,0.143,31,36,0.861,15,51,17,10,5,21,27,101.3,104.3,96.8,0.449,0.218,0.525,41.4,48.4,12.4,11.3,0.436,13.8,18.2,0.385,0.461,18.6,65.1,0.408,2010,-3,-3,2,-0.04999999999999999,4,3,0.21,-1,-1,-0.0040000000000000036,-7,-15,-2,2,2,-6,1
7,8,2009-11-11,2,OKC,LAC,1,83,79,35,83,0.422,3,13,0.231,10,15,0.667,12,46,20,5,7,13,23,28,78,0.359,7,20,0.35,16,22,0.727,14,43,19,6,8,14,17,96.4,91.8,86.1,0.181,0.157,0.463,51.7,57.1,5.8,12.1,0.44,12.7,29.3,0.12,0.404,13.8,70.8,0.205,2010,4,7,5,0.063,-4,-7,-0.11899999999999997,-6,-7,-0.05999999999999994,-2,3,1,-1,-1,-1,6
8,9,2009-11-14,2,OKC,SAS,1,101,98,36,77,0.468,2,12,0.167,27,34,0.794,10,40,16,8,10,14,19,37,79,0.468,3,18,0.167,21,25,0.84,8,38,22,8,3,15,24,107.3,104.2,94.1,0.442,0.156,0.549,51.3,44.4,8.5,16.4,0.481,13.2,25.0,0.351,0.487,14.3,78.9,0.266,2010,3,-1,-2,0.0,-1,-6,0.0,6,9,-0.04599999999999993,2,2,-6,0,7,-1,-5
9,10,2009-11-15,1,OKC,LAC,2,93,101,33,85,0.388,3,20,0.15,24,29,0.828,18,48,13,7,1,12,25,38,79,0.481,5,17,0.294,20,28,0.714,12,42,17,9,4,12,21,104.8,113.9,88.7,0.341,0.235,0.476,53.3,39.4,7.9,1.6,0.406,10.9,37.5,0.282,0.513,11.6,71.4,0.253,2010,-8,-5,6,-0.09299999999999997,-2,3,-0.144,4,1,0.11399999999999999,6,6,-4,-2,-3,0,4
