,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2010-10-27,1,DEN,UTA,1,110,88,35,80,0.438,6,20,0.3,34,41,0.829,12,46,23,9,2,15,31,27,70,0.386,3,13,0.231,31,43,0.721,11,44,21,7,4,22,30,112.0,89.6,98.3,0.513,0.25,0.561,51.1,65.7,9.2,3.5,0.475,13.3,26.7,0.425,0.407,19.8,75.6,0.443,2011,22,8,10,0.05199999999999999,3,7,0.06899999999999998,3,-2,0.10799999999999998,1,2,2,2,-2,-7,1
1,2,2010-10-29,2,DEN,NOH,2,95,101,35,72,0.486,6,15,0.4,19,25,0.76,11,37,19,9,2,19,22,38,77,0.494,6,17,0.353,19,24,0.792,11,35,23,11,8,15,22,106.9,113.6,88.9,0.347,0.208,0.572,51.4,54.3,10.1,3.3,0.528,18.6,31.4,0.264,0.532,14.6,70.3,0.247,2011,-6,-3,-5,-0.008000000000000007,0,-2,0.04700000000000004,0,1,-0.03200000000000003,0,2,-4,-2,-6,4,0
2,3,2010-10-30,2,DEN,HOU,1,107,94,34,90,0.378,10,27,0.37,29,33,0.879,13,48,16,9,4,12,24,37,81,0.457,3,19,0.158,17,21,0.81,9,44,19,4,7,19,26,108.2,95.1,98.9,0.367,0.3,0.512,52.2,47.1,9.1,6.5,0.433,10.3,27.1,0.322,0.475,17.4,79.5,0.21,2011,13,-3,9,-0.07900000000000001,7,8,0.212,12,12,0.06899999999999995,4,4,-3,5,-3,-7,-2
3,4,2010-11-03,1,DEN,DAL,2,101,102,41,89,0.461,10,28,0.357,9,12,0.75,13,39,25,7,3,11,21,39,84,0.464,7,15,0.467,17,19,0.895,12,45,22,6,5,13,17,112.4,113.5,89.8,0.135,0.315,0.536,46.4,61.0,7.8,4.3,0.517,10.4,28.3,0.101,0.506,12.3,68.4,0.202,2011,-1,2,5,-0.0030000000000000027,3,13,-0.11000000000000004,-8,-7,-0.14500000000000002,1,-6,3,1,-2,-2,4
4,5,2010-11-05,1,DEN,LAC,1,111,104,43,83,0.518,5,21,0.238,20,22,0.909,8,37,26,6,3,9,17,43,86,0.5,2,15,0.133,16,25,0.64,11,41,28,6,2,10,16,119.9,112.3,92.6,0.265,0.253,0.599,47.4,60.5,6.5,4.2,0.548,8.9,21.1,0.241,0.512,9.3,72.5,0.186,2011,7,0,-3,0.018000000000000016,3,6,0.10499999999999998,4,-3,0.269,-3,-4,-2,0,1,-1,1
5,6,2010-11-06,2,DEN,DAL,1,103,92,37,82,0.451,13,21,0.619,16,21,0.762,9,38,21,16,2,12,17,34,76,0.447,4,15,0.267,20,26,0.769,11,46,12,7,5,21,16,109.8,98.1,93.8,0.256,0.256,0.564,45.2,56.8,17.1,3.3,0.53,11.6,20.5,0.195,0.474,19.4,72.5,0.263,2011,11,3,6,0.0040000000000000036,9,6,0.352,-4,-5,-0.007000000000000006,-2,-8,9,9,-3,-9,1
6,7,2010-11-08,2,DEN,CHI,2,92,94,34,78,0.436,7,18,0.389,17,24,0.708,6,44,15,8,7,18,21,34,82,0.415,5,13,0.385,21,33,0.636,8,47,20,6,12,15,19,91.7,93.7,100.3,0.308,0.231,0.519,48.4,44.1,8.0,10.1,0.481,16.9,13.3,0.218,0.445,13.5,82.6,0.256,2011,-2,0,-4,0.02100000000000002,2,5,0.0040000000000000036,-4,-9,0.07199999999999995,-2,-3,-5,2,-5,3,2
7,8,2010-11-09,2,DEN,IND,2,113,144,39,90,0.433,8,17,0.471,27,30,0.9,13,32,22,9,4,10,20,56,87,0.644,16,30,0.533,16,21,0.762,10,45,37,7,7,14,20,115.8,147.6,97.6,0.333,0.189,0.547,41.6,56.4,9.2,7.0,0.478,8.8,27.1,0.3,0.736,12.7,65.5,0.184,2011,-31,-17,3,-0.21100000000000002,-8,-13,-0.062000000000000055,11,9,0.138,3,-13,-15,2,-3,-4,0
8,9,2010-11-11,1,DEN,LAL,1,118,112,43,88,0.489,7,25,0.28,25,31,0.806,11,43,25,5,5,10,20,40,98,0.408,9,29,0.31,23,30,0.767,18,50,19,8,6,10,25,120.6,114.4,97.9,0.352,0.284,0.58,46.2,58.1,5.1,7.2,0.528,9.0,25.6,0.284,0.454,8.3,64.0,0.235,2011,6,3,-10,0.08100000000000002,-2,-4,-0.02999999999999997,2,1,0.039000000000000035,-7,-7,6,-3,-1,0,-5
9,10,2010-11-15,2,DEN,PHO,2,94,100,37,89,0.416,3,17,0.176,17,25,0.68,11,52,12,4,1,16,20,38,89,0.427,4,20,0.2,20,25,0.8,9,43,17,4,8,10,22,93.7,99.7,100.3,0.281,0.191,0.47,54.7,32.4,4.0,1.4,0.433,13.8,24.4,0.191,0.449,9.1,82.0,0.225,2011,-6,-1,0,-0.01100000000000001,-1,-3,-0.02400000000000002,-3,0,-0.12,2,9,-5,0,-7,6,-2
