,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2010-10-27,1,NOH,MIL,1,95,91,34,79,0.43,4,17,0.235,23,29,0.793,6,44,23,4,0,9,26,33,77,0.429,8,23,0.348,17,28,0.607,8,45,14,4,2,12,27,102.8,98.4,92.4,0.367,0.215,0.518,49.4,67.6,4.3,0.0,0.456,8.9,14.0,0.291,0.481,11.8,82.6,0.221,2011,4,1,2,0.0010000000000000009,-4,-6,-0.11299999999999999,6,1,0.18600000000000005,-2,-1,9,0,-2,-3,-1
1,2,2010-10-29,1,NOH,DEN,1,101,95,38,77,0.494,6,17,0.353,19,24,0.792,11,35,23,11,8,15,22,35,72,0.486,6,15,0.4,19,25,0.76,11,37,19,9,2,19,22,113.6,106.9,88.9,0.312,0.221,0.577,48.6,60.5,12.4,14.0,0.532,14.6,29.7,0.247,0.528,18.6,68.6,0.264,2011,6,3,5,0.008000000000000007,0,2,-0.04700000000000004,0,-1,0.03200000000000003,0,-2,4,2,6,-4,0
2,3,2010-10-30,2,NOH,SAS,1,99,90,39,78,0.5,7,11,0.636,14,17,0.824,3,40,20,7,5,14,18,33,85,0.388,6,26,0.231,18,21,0.857,11,41,24,7,6,13,19,105.0,95.4,94.3,0.218,0.141,0.579,49.4,51.3,7.4,8.5,0.545,14.1,9.1,0.179,0.424,12.1,77.1,0.212,2011,9,6,-7,0.11199999999999999,1,-15,0.405,-4,-4,-0.03300000000000003,-8,-1,-4,0,-1,1,-1
3,4,2010-11-03,2,NOH,HOU,1,107,99,36,79,0.456,5,13,0.385,30,42,0.714,12,45,20,9,11,8,22,39,93,0.419,8,24,0.333,13,18,0.722,11,45,22,4,6,12,26,112.9,104.5,94.8,0.532,0.165,0.549,50.0,55.6,9.5,15.9,0.487,7.6,26.1,0.38,0.462,10.6,75.0,0.14,2011,8,-3,-14,0.03700000000000003,-3,-11,0.05199999999999999,17,24,-0.008000000000000007,1,0,-2,5,5,-4,-4
4,5,2010-11-05,1,NOH,MIA,1,96,93,39,79,0.494,4,14,0.286,14,17,0.824,10,42,26,9,1,13,22,33,78,0.423,5,21,0.238,22,24,0.917,8,36,19,6,5,13,17,107.6,104.2,89.3,0.215,0.177,0.555,53.8,66.7,10.1,1.8,0.519,13.1,26.3,0.177,0.455,12.8,80.0,0.282,2011,3,6,1,0.07100000000000001,-1,-7,0.04799999999999999,-8,-7,-0.09300000000000008,2,6,7,3,-4,0,5
5,6,2010-11-06,2,NOH,MIL,1,87,81,31,69,0.449,7,17,0.412,18,22,0.818,10,47,17,6,5,19,22,32,83,0.386,4,16,0.25,13,20,0.65,11,42,17,8,0,10,20,99.2,92.4,87.7,0.319,0.246,0.553,52.8,54.8,6.8,7.5,0.5,19.5,24.4,0.261,0.41,9.8,77.1,0.157,2011,6,-1,-14,0.063,3,1,0.16199999999999998,5,2,0.16799999999999993,-1,5,0,-2,5,9,2
6,7,2010-11-09,1,NOH,LAC,1,101,82,39,77,0.506,8,16,0.5,15,21,0.714,5,33,29,11,7,13,24,31,67,0.463,5,16,0.313,15,18,0.833,7,39,19,4,2,25,21,109.5,88.9,92.2,0.273,0.208,0.586,45.8,74.4,11.9,13.7,0.558,13.1,13.5,0.195,0.5,25.0,80.0,0.224,2011,19,8,10,0.04299999999999998,3,0,0.187,0,3,-0.119,-2,-6,10,7,5,-12,3
7,8,2010-11-13,1,NOH,POR,1,107,87,37,77,0.481,8,24,0.333,25,27,0.926,10,40,23,8,5,11,20,33,81,0.407,4,17,0.235,17,19,0.895,13,38,15,6,7,13,24,124.0,100.8,86.3,0.351,0.312,0.602,51.3,62.2,9.3,7.8,0.532,11.0,28.6,0.325,0.432,12.7,69.8,0.21,2011,20,4,-4,0.07400000000000001,4,7,0.09800000000000003,8,8,0.031000000000000028,-3,2,8,2,-2,-2,-4
8,9,2010-11-15,2,NOH,DAL,2,95,98,34,77,0.442,11,25,0.44,16,24,0.667,12,42,20,9,3,13,26,34,69,0.493,11,27,0.407,19,27,0.704,8,38,21,3,3,15,18,109.6,113.1,86.7,0.312,0.325,0.542,52.5,58.8,10.4,7.1,0.513,12.9,28.6,0.208,0.572,15.6,78.9,0.275,2011,-3,0,8,-0.05099999999999999,0,-2,0.03300000000000003,-3,-3,-0.03699999999999992,4,4,-1,6,0,-2,8
9,10,2010-11-17,1,NOH,DAL,1,99,97,40,82,0.488,8,14,0.571,11,16,0.688,7,31,23,8,4,9,22,35,69,0.507,7,18,0.389,20,23,0.87,4,35,27,4,6,15,22,111.8,109.5,88.6,0.195,0.171,0.556,47.0,57.5,9.0,7.8,0.537,9.2,18.4,0.134,0.558,15.9,85.7,0.29,2011,2,5,13,-0.019000000000000017,1,-4,0.18199999999999994,-9,-7,-0.18200000000000005,3,-4,-4,4,-2,-6,0
