,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2012-11-03,1,BRK,TOR,1,107,100,37,81,0.457,6,15,0.4,27,37,0.73,9,41,20,6,5,17,19,37,82,0.451,7,18,0.389,19,25,0.76,10,37,23,8,5,14,31,109.4,102.3,97.8,0.457,0.185,0.55,52.6,54.1,6.1,7.8,0.494,14.9,25.0,0.333,0.494,13.1,76.2,0.232,2013,7,0,-1,0.006000000000000005,-1,-3,0.01100000000000001,8,12,-0.030000000000000027,-1,4,-3,-2,0,3,-12
1,2,2012-11-05,1,BRK,MIN,2,96,107,35,73,0.479,13,23,0.565,13,18,0.722,8,29,24,7,4,13,17,44,88,0.5,7,20,0.35,12,15,0.8,16,45,30,9,7,11,18,113.6,126.6,84.5,0.247,0.315,0.593,39.2,68.6,8.3,5.9,0.568,13.8,21.6,0.178,0.54,10.4,56.8,0.136,2013,-11,-9,-15,-0.02100000000000002,6,3,0.21499999999999997,1,3,-0.07800000000000007,-8,-16,-6,-2,-3,2,-1
2,3,2012-11-07,2,BRK,MIA,2,73,103,30,80,0.375,3,21,0.143,10,17,0.588,13,40,12,7,1,19,15,40,77,0.519,10,24,0.417,13,16,0.813,8,40,25,8,5,12,18,82.6,116.6,88.3,0.213,0.263,0.417,50.0,40.0,7.9,1.9,0.394,17.8,28.9,0.125,0.584,12.5,77.1,0.169,2013,-30,-10,3,-0.14400000000000002,-7,-3,-0.274,-3,1,-0.22499999999999998,5,0,-13,-1,-4,7,-3
3,4,2012-11-09,2,BRK,ORL,1,107,68,41,82,0.5,9,23,0.391,16,25,0.64,15,48,21,9,6,11,13,30,70,0.429,4,11,0.364,4,8,0.5,7,35,19,3,6,18,22,124.8,79.3,85.7,0.305,0.28,0.575,57.8,51.2,10.5,10.2,0.555,10.6,34.9,0.195,0.457,19.7,82.5,0.057,2013,39,11,12,0.07100000000000001,5,12,0.027000000000000024,12,17,0.14,8,13,2,6,0,-7,-9
4,5,2012-11-11,1,BRK,ORL,1,82,74,29,78,0.372,7,24,0.292,17,25,0.68,12,55,20,5,8,15,17,30,84,0.357,1,13,0.077,13,18,0.722,11,42,22,6,4,11,22,91.7,82.8,89.4,0.321,0.308,0.461,56.7,69.0,5.6,11.3,0.417,14.4,27.9,0.218,0.363,10.7,79.6,0.155,2013,8,-1,-6,0.015000000000000013,6,11,0.21499999999999997,4,7,-0.041999999999999926,1,13,-2,-1,4,4,-5
5,6,2012-11-13,1,BRK,CLE,1,114,101,42,77,0.545,5,22,0.227,25,31,0.806,12,39,27,5,10,13,23,38,87,0.437,3,14,0.214,22,26,0.846,16,35,16,10,0,12,26,128.2,113.6,88.9,0.403,0.286,0.629,52.7,64.3,5.6,13.7,0.578,12.5,38.7,0.325,0.454,10.9,62.8,0.253,2013,13,4,-10,0.10800000000000004,2,8,0.013000000000000012,3,5,-0.039999999999999925,-4,4,11,-5,10,1,-3
6,7,2012-11-15,1,BRK,BOS,1,102,97,36,85,0.424,8,22,0.364,22,28,0.786,18,47,19,7,7,11,18,35,75,0.467,7,13,0.538,20,25,0.8,12,44,17,8,3,13,24,117.4,111.6,86.9,0.329,0.259,0.524,51.6,52.8,8.1,11.3,0.471,10.2,36.0,0.259,0.513,13.1,70.7,0.267,2013,5,1,10,-0.04300000000000004,1,9,-0.17400000000000004,2,3,-0.014000000000000012,6,3,2,-1,4,-2,-6
7,8,2012-11-18,2,BRK,SAC,1,99,90,36,75,0.48,5,17,0.294,22,25,0.88,7,33,22,8,6,10,18,37,80,0.463,6,18,0.333,10,19,0.526,15,42,13,6,4,17,24,113.7,103.3,87.1,0.333,0.227,0.576,44.0,61.1,9.2,9.7,0.513,10.4,20.6,0.293,0.5,16.1,63.4,0.125,2013,9,-1,-5,0.01699999999999996,-1,-1,-0.039000000000000035,12,6,0.354,-8,-9,9,2,2,-7,-6
8,9,2012-11-20,2,BRK,LAL,2,90,95,34,82,0.415,7,23,0.304,15,21,0.714,14,46,24,7,3,13,26,35,73,0.479,6,21,0.286,19,37,0.514,8,43,23,5,5,11,18,100.3,105.9,89.7,0.256,0.28,0.493,51.7,70.6,7.8,5.8,0.457,12.5,28.6,0.183,0.521,11.0,80.0,0.26,2013,-5,-1,9,-0.064,1,2,0.018000000000000016,-4,-16,0.19999999999999996,6,3,1,2,-2,2,8
9,10,2012-11-21,2,BRK,GSW,2,93,102,38,83,0.458,6,23,0.261,11,15,0.733,14,35,26,7,6,8,16,40,75,0.533,7,15,0.467,15,19,0.789,12,43,24,3,1,15,17,112.0,122.9,83.0,0.181,0.277,0.519,44.9,68.4,8.4,10.0,0.494,8.2,31.1,0.133,0.58,15.3,63.6,0.2,2013,-9,-2,8,-0.07500000000000001,-1,8,-0.20600000000000002,-4,-4,-0.05600000000000005,2,-8,2,4,5,-7,-1
