,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2016-10-25,2,NYK,CLE,2,88,117,32,87,0.368,9,27,0.333,15,20,0.75,13,42,17,6,6,18,22,45,94,0.479,13,35,0.371,14,19,0.737,11,51,31,12,5,14,22,88.1,117.1,99.9,0.23,0.31,0.459,45.2,53.1,6.0,10.2,0.42,15.8,24.5,0.172,0.548,12.0,72.5,0.149,2017,-29,-13,-7,-0.11099999999999999,-4,-8,-0.03799999999999998,1,1,0.013000000000000012,2,-9,-14,-6,1,4,0
1,2,2016-10-29,1,NYK,MEM,1,111,104,40,76,0.526,6,21,0.286,25,39,0.641,6,41,24,4,4,12,25,37,86,0.43,9,25,0.36,21,26,0.808,11,40,19,3,2,12,30,115.1,107.9,96.4,0.513,0.276,0.596,50.6,60.0,4.1,6.6,0.566,11.4,17.1,0.329,0.483,11.0,76.1,0.244,2017,7,3,-10,0.09600000000000003,-3,-4,-0.07400000000000001,4,13,-0.16700000000000004,-5,1,5,1,2,0,-5
2,3,2016-11-01,2,NYK,DET,2,89,102,35,86,0.407,7,22,0.318,12,15,0.8,8,43,18,6,9,11,20,41,89,0.461,8,13,0.615,12,21,0.571,10,48,19,7,5,10,16,93.9,107.7,94.7,0.174,0.256,0.481,47.3,51.4,6.3,11.8,0.448,10.6,17.4,0.14,0.506,9.2,77.8,0.135,2017,-13,-6,-3,-0.05400000000000005,-1,9,-0.297,0,-6,0.2290000000000001,-2,-5,-1,-1,4,1,4
3,4,2016-11-02,1,NYK,HOU,2,99,118,37,85,0.435,8,20,0.4,17,25,0.68,7,34,18,10,6,16,22,42,89,0.472,15,40,0.375,19,27,0.704,19,54,25,12,8,19,21,98.8,117.7,100.2,0.294,0.235,0.516,38.6,48.6,10.0,12.2,0.482,14.3,16.7,0.2,0.556,15.8,58.7,0.213,2017,-19,-5,-4,-0.03699999999999998,-7,-20,0.025000000000000022,-2,-2,-0.02399999999999991,-12,-20,-7,-2,-2,-3,1
4,5,2016-11-04,2,NYK,CHI,1,117,104,46,89,0.517,9,21,0.429,16,21,0.762,11,40,32,7,2,5,23,37,84,0.44,8,23,0.348,22,27,0.815,15,42,15,4,4,12,16,130.9,116.4,89.4,0.236,0.236,0.595,48.8,69.6,7.8,3.3,0.567,4.8,28.9,0.18,0.488,11.1,65.9,0.262,2017,13,9,5,0.07700000000000001,1,-2,0.08100000000000002,-6,-6,-0.052999999999999936,-4,-2,17,3,-2,-7,7
5,6,2016-11-06,1,NYK,UTA,2,109,114,42,83,0.506,8,20,0.4,17,19,0.895,10,39,18,8,5,12,26,38,75,0.507,8,25,0.32,30,35,0.857,7,34,21,6,4,10,19,119.8,125.2,91.0,0.229,0.241,0.597,53.4,42.9,8.8,10.0,0.554,11.6,27.0,0.205,0.56,10.0,80.6,0.4,2017,-5,4,8,-0.0010000000000000009,0,-5,0.08000000000000002,-13,-16,0.038000000000000034,3,5,-3,2,1,2,7
6,7,2016-11-09,1,NYK,BRK,1,110,96,44,92,0.478,10,30,0.333,12,17,0.706,9,50,25,11,5,14,21,33,79,0.418,11,33,0.333,19,27,0.704,7,40,19,9,4,18,20,108.7,94.9,101.2,0.185,0.326,0.553,55.6,56.8,10.9,10.9,0.533,12.3,21.4,0.13,0.487,16.5,85.4,0.241,2017,14,11,13,0.06,-1,-3,0.0,-7,-10,0.0020000000000000018,2,10,6,2,1,-4,1
7,8,2016-11-11,2,NYK,BOS,2,87,115,33,94,0.351,6,23,0.261,15,17,0.882,21,57,19,7,11,25,26,35,90,0.389,11,27,0.407,34,43,0.791,19,53,23,16,3,15,18,85.8,113.4,101.4,0.181,0.245,0.429,51.8,57.6,6.9,17.5,0.383,19.8,38.2,0.16,0.45,12.1,65.5,0.378,2017,-28,-2,4,-0.038000000000000034,-5,-4,-0.14599999999999996,-19,-26,0.09099999999999997,2,4,-4,-9,8,10,8
8,9,2016-11-12,2,NYK,TOR,2,107,118,44,97,0.454,7,23,0.304,12,16,0.75,17,49,19,3,2,16,23,39,83,0.47,7,22,0.318,33,38,0.868,11,44,18,10,6,11,20,108.5,119.6,98.6,0.165,0.237,0.514,52.7,43.2,3.0,3.3,0.49,13.3,34.0,0.124,0.512,9.9,74.4,0.398,2017,-11,5,14,-0.01599999999999996,0,1,-0.014000000000000012,-21,-22,-0.118,6,5,1,-7,-4,5,3
9,10,2016-11-14,1,NYK,DAL,1,93,77,34,78,0.436,9,25,0.36,16,18,0.889,14,51,18,5,5,17,16,32,84,0.381,5,27,0.185,8,11,0.727,11,40,15,8,7,11,16,107.2,88.8,86.8,0.231,0.321,0.541,56.0,52.9,5.8,8.8,0.494,16.5,32.6,0.205,0.411,11.0,77.1,0.095,2017,16,2,-6,0.05499999999999999,4,-2,0.175,8,7,0.16200000000000003,3,11,3,-3,-2,6,0
