,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2017-10-18,2,NOP,MEM,2,91,103,30,79,0.38,7,25,0.28,24,29,0.828,16,51,15,4,12,17,31,39,92,0.424,9,29,0.31,16,28,0.571,15,45,19,9,8,11,29,97.6,110.4,93.3,0.367,0.316,0.496,53.1,50.0,4.3,19.0,0.424,15.6,34.8,0.304,0.473,9.5,70.0,0.174,2018,-12,-9,-13,-0.043999999999999984,-2,-4,-0.02999999999999997,8,1,0.257,1,6,-4,-5,4,6,2
1,2,2017-10-20,1,NOP,GSW,2,120,128,45,98,0.459,16,36,0.444,14,22,0.636,16,51,26,8,4,17,19,47,92,0.511,18,41,0.439,16,20,0.8,10,49,29,6,8,18,23,111.8,119.3,107.3,0.224,0.367,0.557,51.0,57.8,7.5,7.8,0.541,13.6,29.1,0.143,0.609,15.2,77.8,0.174,2018,-8,-2,6,-0.05199999999999999,-2,-5,0.0050000000000000044,-2,2,-0.16400000000000003,6,2,-3,2,-4,-1,-4
2,3,2017-10-22,2,NOP,LAL,1,119,112,47,83,0.566,10,32,0.313,15,21,0.714,6,42,26,14,5,18,20,44,90,0.489,9,27,0.333,15,20,0.75,9,38,27,7,6,17,24,114.4,107.7,104.0,0.253,0.386,0.645,52.5,55.3,13.5,7.9,0.627,16.3,17.1,0.181,0.539,14.7,80.0,0.167,2018,7,3,-7,0.07699999999999996,1,5,-0.020000000000000018,0,1,-0.03600000000000003,-3,4,-1,7,-1,1,-4
3,4,2017-10-24,2,NOP,POR,2,93,103,30,76,0.395,9,30,0.3,24,32,0.75,4,42,17,5,7,17,26,33,88,0.375,10,29,0.345,27,33,0.818,18,63,17,7,7,18,22,92.0,101.9,101.0,0.421,0.395,0.516,40.0,56.7,4.9,11.9,0.454,15.9,8.2,0.316,0.432,14.9,67.9,0.307,2018,-10,-3,-12,0.020000000000000018,-1,1,-0.044999999999999984,-3,-1,-0.06799999999999995,-14,-21,0,-2,0,-1,4
4,5,2017-10-26,2,NOP,SAC,1,114,106,42,86,0.488,13,32,0.406,17,23,0.739,10,47,22,5,3,15,24,38,81,0.469,7,20,0.35,23,25,0.92,5,34,25,7,5,12,17,116.5,108.4,97.8,0.267,0.372,0.593,58.0,52.4,5.1,4.9,0.564,13.5,25.6,0.198,0.512,11.5,88.1,0.284,2018,8,4,5,0.019000000000000017,6,12,0.05600000000000005,-6,-2,-0.18100000000000005,5,13,-3,-2,-2,3,7
5,6,2017-10-28,1,NOP,CLE,1,123,101,49,95,0.516,13,33,0.394,12,16,0.75,10,47,33,10,4,11,20,36,78,0.462,12,32,0.375,17,23,0.739,5,37,19,8,2,18,19,122.7,100.7,100.3,0.168,0.347,0.603,56.0,67.3,10.0,8.7,0.584,9.7,23.8,0.126,0.538,17.0,88.1,0.218,2018,22,13,17,0.05399999999999999,1,1,0.019000000000000017,-5,-7,0.01100000000000001,5,10,14,2,2,-7,1
6,7,2017-10-30,1,NOP,ORL,2,99,115,39,85,0.459,7,28,0.25,14,18,0.778,9,43,30,9,5,19,22,43,85,0.506,16,34,0.471,13,18,0.722,6,43,27,10,1,16,19,97.5,113.3,101.5,0.212,0.329,0.533,50.0,76.9,8.9,9.8,0.5,17.0,19.6,0.165,0.6,14.7,85.0,0.153,2018,-16,-4,0,-0.046999999999999986,-9,-6,-0.22099999999999997,1,0,0.05600000000000005,3,0,3,-1,4,3,3
7,8,2017-11-01,1,NOP,MIN,2,98,104,36,84,0.429,8,31,0.258,18,21,0.857,9,38,27,13,4,19,24,41,83,0.494,6,22,0.273,16,24,0.667,11,47,20,13,3,21,21,96.9,102.8,101.2,0.25,0.369,0.526,44.7,75.0,12.8,6.6,0.476,16.9,20.0,0.214,0.53,18.3,72.5,0.193,2018,-6,-5,1,-0.065,2,9,-0.015000000000000013,2,-3,0.18999999999999995,-2,-9,7,0,1,-2,3
8,9,2017-11-03,2,NOP,DAL,1,99,94,36,89,0.404,7,29,0.241,20,26,0.769,9,53,23,9,4,12,22,34,88,0.386,9,34,0.265,17,22,0.773,9,47,19,4,7,15,24,97.8,92.8,101.3,0.292,0.326,0.493,53.0,63.9,8.9,7.4,0.444,10.7,19.1,0.225,0.438,13.3,83.0,0.193,2018,5,2,1,0.018000000000000016,-2,-5,-0.02400000000000002,3,4,-0.0040000000000000036,0,6,4,5,-3,-3,-2
9,10,2017-11-04,2,NOP,CHI,1,96,90,35,87,0.402,9,31,0.29,17,22,0.773,5,52,23,9,4,13,9,35,99,0.354,11,42,0.262,9,12,0.75,16,58,23,10,5,17,19,93.1,87.3,93.4,0.253,0.356,0.496,47.3,65.7,8.7,7.0,0.454,11.9,10.6,0.195,0.409,14.0,74.6,0.091,2018,6,0,-12,0.04800000000000004,-2,-11,0.02799999999999997,8,10,0.02300000000000002,-11,-6,0,-1,-1,-4,-10
