,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2018-10-18,1,WAS,MIA,2,112,113,38,81,0.469,7,26,0.269,29,39,0.744,7,40,19,7,15,14,31,38,97,0.392,12,35,0.343,25,34,0.735,22,55,25,6,5,16,26,109.9,110.8,101.9,0.481,0.321,0.57,42.1,50.0,6.9,24.2,0.512,12.5,17.5,0.358,0.454,12.5,60.0,0.258,2019,-1,0,-16,0.07699999999999996,-5,-9,-0.07400000000000001,4,5,0.009000000000000008,-15,-15,-6,1,10,-2,5
1,2,2018-10-20,1,WAS,TOR,2,113,117,37,89,0.416,13,39,0.333,26,32,0.813,9,37,20,11,9,11,27,39,88,0.443,10,29,0.345,29,36,0.806,14,52,21,5,5,17,29,110.7,114.7,102.0,0.36,0.438,0.548,41.6,54.1,10.8,15.3,0.489,9.6,19.1,0.292,0.5,14.1,66.7,0.33,2019,-4,-2,1,-0.027000000000000024,3,10,-0.011999999999999955,-3,-4,0.006999999999999895,-5,-15,-1,6,4,-6,-2
2,3,2018-10-22,2,WAS,POR,1,125,124,46,110,0.418,15,37,0.405,18,26,0.692,12,54,23,6,7,10,27,43,108,0.398,11,39,0.282,27,31,0.871,17,70,22,6,4,19,22,105.4,104.6,107.4,0.236,0.336,0.515,43.5,50.0,5.1,10.1,0.486,7.6,18.5,0.164,0.449,13.5,71.2,0.25,2019,1,3,2,0.019999999999999962,4,-2,0.12300000000000005,-9,-5,-0.17900000000000005,-5,-16,1,0,3,-9,5
3,4,2018-10-24,2,WAS,GSW,2,122,144,42,93,0.452,12,42,0.286,26,28,0.929,7,34,22,7,1,12,24,53,92,0.576,15,33,0.455,23,25,0.92,10,48,37,6,5,15,22,114.3,134.9,106.7,0.301,0.452,0.579,41.5,52.4,6.6,1.7,0.516,10.2,15.6,0.28,0.658,12.7,73.0,0.25,2019,-22,-11,1,-0.12399999999999994,-3,9,-0.16900000000000004,3,3,0.009000000000000008,-3,-14,-15,1,-4,-3,2
4,5,2018-10-26,2,WAS,SAC,2,112,116,40,86,0.465,14,42,0.333,18,23,0.783,5,42,22,8,7,21,27,44,95,0.463,14,37,0.378,14,23,0.609,14,53,25,8,4,18,18,102.8,106.5,108.9,0.267,0.488,0.583,44.2,55.0,7.3,12.1,0.547,17.9,11.4,0.209,0.537,14.6,72.5,0.147,2019,-4,-4,-9,0.0020000000000000018,0,5,-0.044999999999999984,4,0,0.17400000000000004,-9,-11,-3,0,3,3,9
5,6,2018-10-28,2,WAS,LAC,2,104,136,38,97,0.392,5,27,0.185,23,28,0.821,14,45,18,7,3,14,16,56,103,0.544,16,29,0.552,8,13,0.615,14,57,35,7,9,14,25,97.5,127.6,106.6,0.289,0.278,0.476,44.1,47.4,6.6,4.1,0.418,11.4,24.6,0.237,0.621,11.4,68.9,0.078,2019,-32,-18,-6,-0.15200000000000002,-11,-2,-0.36700000000000005,15,15,0.20599999999999996,0,-12,-17,0,-6,0,-9
6,7,2018-10-30,2,WAS,MEM,2,95,107,32,74,0.432,14,35,0.4,17,20,0.85,5,37,24,9,7,20,22,36,74,0.486,13,28,0.464,22,31,0.71,6,38,28,16,3,15,20,99.5,112.1,95.5,0.27,0.473,0.574,49.3,75.0,9.4,15.2,0.527,19.5,13.5,0.23,0.574,14.6,84.2,0.297,2019,-12,-4,0,-0.05399999999999999,1,7,-0.064,-5,-11,0.14,-1,-1,-4,-7,4,5,2
7,8,2018-11-02,1,WAS,OKC,2,111,134,44,86,0.512,9,30,0.3,14,18,0.778,6,30,27,6,4,18,21,49,86,0.57,15,32,0.469,21,26,0.808,7,38,34,13,5,13,20,108.6,131.1,102.2,0.209,0.349,0.591,44.1,61.4,5.9,7.4,0.564,16.1,16.2,0.163,0.657,11.8,77.4,0.244,2019,-23,-5,0,-0.05799999999999994,-6,-2,-0.16899999999999998,-7,-8,-0.030000000000000027,-1,-8,-7,-7,-1,5,1
8,9,2018-11-04,1,WAS,NYK,1,108,95,36,83,0.434,6,26,0.231,30,39,0.769,15,47,21,12,11,13,18,39,93,0.419,5,27,0.185,12,16,0.75,15,51,19,5,5,18,28,110.3,97.1,97.9,0.47,0.313,0.539,48.0,58.3,12.3,16.7,0.47,11.5,29.4,0.361,0.446,15.2,68.1,0.129,2019,13,-3,-10,0.015000000000000013,1,-1,0.04600000000000001,18,23,0.019000000000000017,0,-4,2,7,6,-5,-10
9,10,2018-11-06,2,WAS,DAL,2,100,119,37,87,0.425,11,35,0.314,15,20,0.75,5,32,27,8,6,10,24,39,82,0.476,15,34,0.441,26,27,0.963,10,50,25,4,6,17,22,101.8,121.2,98.2,0.23,0.402,0.522,39.0,73.0,8.1,12.5,0.489,9.5,11.1,0.172,0.567,15.3,73.0,0.317,2019,-19,-2,5,-0.05099999999999999,-4,1,-0.127,-11,-7,-0.21299999999999997,-5,-18,2,4,0,-7,2
