,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2020-12-23,2,CHO,CLE,2,114,121,45,90,0.5,16,44,0.364,8,15,0.533,8,32,29,10,4,15,17,46,87,0.529,14,30,0.467,15,20,0.75,10,50,34,12,3,18,22,112.3,119.2,101.5,0.167,0.489,0.59,39.0,64.4,9.8,7.0,0.589,13.4,16.7,0.089,0.609,15.8,70.6,0.172,2021,-7,-1,3,-0.029000000000000026,2,14,-0.10300000000000004,-7,-5,-0.21699999999999997,-2,-18,-5,-2,1,-3,-5
1,2,2020-12-26,1,CHO,OKC,2,107,109,37,93,0.398,13,32,0.406,20,32,0.625,13,47,27,11,8,13,22,40,88,0.455,10,36,0.278,19,24,0.792,9,54,25,10,7,16,21,102.8,104.7,104.1,0.344,0.344,0.5,46.5,73.0,10.6,15.4,0.468,10.8,22.4,0.215,0.511,14.0,79.1,0.216,2021,-2,-3,5,-0.056999999999999995,3,-4,0.128,1,8,-0.16700000000000004,4,-7,2,1,1,-3,1
2,3,2020-12-27,1,CHO,BRK,1,106,104,43,96,0.448,10,34,0.294,10,17,0.588,13,52,35,8,3,12,25,35,82,0.427,17,47,0.362,17,25,0.68,6,46,23,4,5,19,17,103.3,101.4,102.6,0.177,0.354,0.512,53.1,81.4,7.8,8.6,0.5,10.4,24.5,0.104,0.53,17.0,86.7,0.207,2021,2,8,14,0.02100000000000002,-7,-13,-0.068,-7,-8,-0.09200000000000008,7,6,12,4,-2,-7,8
3,4,2020-12-30,2,CHO,DAL,1,118,99,43,84,0.512,15,34,0.441,17,21,0.81,12,50,30,6,6,23,28,34,87,0.391,12,42,0.286,19,33,0.576,13,39,24,10,6,14,16,117.2,98.4,100.6,0.25,0.405,0.633,56.2,69.8,6.0,13.3,0.601,19.8,31.6,0.202,0.46,12.1,74.5,0.218,2021,19,9,-3,0.121,3,-8,0.15500000000000003,-2,-12,0.2340000000000001,-1,11,6,-4,0,9,12
4,5,2021-01-01,1,CHO,MEM,2,93,108,35,86,0.407,9,31,0.29,14,21,0.667,10,42,23,9,4,18,15,43,90,0.478,14,39,0.359,8,10,0.8,10,48,34,10,6,15,18,93.9,109.1,99.0,0.244,0.36,0.488,46.7,65.7,9.1,7.8,0.459,15.9,20.8,0.163,0.556,13.7,76.2,0.089,2021,-15,-8,-4,-0.07100000000000001,-5,-8,-0.069,6,11,-0.133,0,-6,-11,-1,-2,3,-3
5,6,2021-01-02,2,CHO,PHI,2,112,127,38,92,0.413,13,35,0.371,23,26,0.885,14,40,34,15,5,12,18,47,79,0.595,16,35,0.457,17,24,0.708,7,45,35,10,7,21,17,111.3,126.3,100.6,0.283,0.38,0.541,47.1,89.5,14.9,11.4,0.484,10.4,26.9,0.25,0.696,19.0,78.8,0.215,2021,-15,-9,13,-0.182,-3,0,-0.08600000000000002,6,2,0.17700000000000005,7,-5,-1,5,-2,-9,1
6,7,2021-01-04,2,CHO,PHI,2,101,118,36,86,0.419,13,39,0.333,16,22,0.727,8,47,30,4,4,16,24,46,95,0.484,11,32,0.344,15,23,0.652,14,55,34,7,5,10,21,99.8,116.6,101.2,0.256,0.453,0.528,46.1,83.3,4.0,6.3,0.494,14.3,16.3,0.186,0.542,8.7,73.6,0.158,2021,-17,-10,-9,-0.065,2,7,-0.010999999999999954,1,-1,0.07499999999999996,-6,-8,-4,-3,-1,6,3
7,8,2021-01-06,2,CHO,ATL,1,102,94,32,85,0.376,11,36,0.306,27,33,0.818,8,49,22,11,7,9,14,36,96,0.375,7,40,0.175,15,18,0.833,12,57,25,6,1,13,25,101.8,93.9,100.2,0.388,0.424,0.512,46.2,68.8,11.0,12.5,0.441,8.3,15.1,0.318,0.411,11.1,77.4,0.156,2021,8,-4,-11,0.0010000000000000009,4,-4,0.131,12,15,-0.015000000000000013,-4,-8,-3,5,6,-4,-11
8,9,2021-01-08,2,CHO,NOP,1,118,110,41,87,0.471,16,42,0.381,20,25,0.8,16,45,33,10,4,14,20,38,77,0.494,15,38,0.395,19,26,0.731,10,36,29,6,4,19,17,125.6,117.1,94.0,0.287,0.483,0.602,55.6,80.5,10.6,10.3,0.563,12.5,38.1,0.23,0.591,17.7,74.4,0.247,2021,8,3,10,-0.02300000000000002,1,4,-0.014000000000000012,1,-1,0.06900000000000006,6,9,4,4,0,-5,3
9,10,2021-01-09,1,CHO,ATL,1,113,105,40,77,0.519,15,33,0.455,18,24,0.75,6,41,27,11,7,15,19,34,89,0.382,14,45,0.311,23,28,0.821,17,47,25,10,4,14,22,119.0,110.5,95.0,0.312,0.429,0.645,46.6,67.5,11.6,15.9,0.617,14.6,16.7,0.234,0.461,12.1,67.3,0.258,2021,8,6,-12,0.137,1,-12,0.14400000000000002,-5,-4,-0.07099999999999995,-11,-6,2,1,3,1,-3
