,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2021-10-21,1,ATL,DAL,1,113,87,45,94,0.479,15,35,0.429,8,9,0.889,6,55,31,8,9,13,16,31,93,0.333,13,43,0.302,12,13,0.923,10,50,16,7,3,15,21,109.9,84.6,102.9,0.096,0.372,0.577,52.4,68.9,7.8,18.0,0.559,11.7,13.0,0.085,0.403,13.2,83.1,0.129,2022,26,14,1,0.14599999999999996,2,-8,0.127,-4,-4,-0.03400000000000003,-4,5,15,1,6,-2,-5
1,2,2021-10-23,2,ATL,CLE,2,95,101,38,99,0.384,10,34,0.294,9,15,0.6,17,54,20,5,3,9,23,37,89,0.416,7,28,0.25,20,27,0.741,12,54,23,6,6,10,16,99.3,105.6,95.7,0.152,0.343,0.45,50.0,52.6,5.2,4.9,0.434,7.9,28.8,0.091,0.455,9.0,75.5,0.225,2022,-6,1,10,-0.03199999999999997,3,6,0.043999999999999984,-11,-12,-0.14100000000000001,5,0,-3,-1,-3,-1,7
2,3,2021-10-25,1,ATL,DET,1,122,104,46,90,0.511,12,32,0.375,18,21,0.857,10,49,24,11,3,13,19,40,91,0.44,9,33,0.273,15,18,0.833,11,36,26,7,6,14,15,123.1,105.0,99.1,0.233,0.356,0.615,57.6,52.2,11.1,5.2,0.578,11.6,28.6,0.2,0.489,12.4,78.0,0.165,2022,18,6,-1,0.07100000000000001,3,-1,0.10199999999999998,3,3,0.02400000000000002,-1,13,-2,4,-3,-1,4
3,4,2021-10-27,2,ATL,NOP,1,102,99,40,96,0.417,8,30,0.267,14,17,0.824,21,55,21,4,4,11,14,40,93,0.43,11,36,0.306,8,9,0.889,9,44,24,5,6,9,19,110.2,107.0,92.5,0.177,0.313,0.493,55.6,52.5,4.3,7.0,0.458,9.6,37.5,0.146,0.489,8.5,79.1,0.086,2022,3,0,3,-0.013000000000000012,-3,-6,-0.03899999999999998,6,8,-0.06500000000000006,12,11,-3,-1,-2,2,-5
4,5,2021-10-28,2,ATL,WAS,2,111,122,48,88,0.545,6,21,0.286,9,14,0.643,6,43,26,4,3,13,16,46,99,0.465,13,34,0.382,17,21,0.81,14,51,26,6,4,6,16,111.9,122.9,99.2,0.159,0.239,0.589,45.7,54.2,4.0,4.6,0.58,12.1,14.0,0.102,0.53,5.3,72.5,0.172,2022,-11,2,-11,0.08000000000000002,-7,-13,-0.09600000000000003,-8,-7,-0.16700000000000004,-8,-8,0,-2,-1,7,0
5,6,2021-10-30,2,ATL,PHI,2,94,122,36,95,0.379,8,22,0.364,14,19,0.737,20,49,24,6,1,19,17,46,86,0.535,12,38,0.316,18,19,0.947,5,37,24,11,6,12,24,95.6,124.1,98.3,0.2,0.232,0.455,57.0,66.7,6.1,2.1,0.421,15.5,38.5,0.147,0.605,11.3,85.3,0.209,2022,-28,-10,9,-0.15600000000000003,-4,-16,0.04799999999999999,-4,0,-0.20999999999999996,15,12,0,-5,-5,7,-7
6,7,2021-11-01,1,ATL,WAS,1,118,111,38,83,0.458,13,34,0.382,29,29,1.0,13,47,24,9,5,11,17,41,86,0.477,13,39,0.333,16,16,1.0,7,36,27,7,4,12,24,126.3,118.8,93.4,0.349,0.41,0.616,56.6,63.2,9.6,10.6,0.536,10.3,31.0,0.349,0.552,11.4,82.9,0.186,2022,7,-3,-3,-0.01899999999999996,0,-5,0.04899999999999999,13,13,0.0,6,11,-3,2,1,-1,-7
7,8,2021-11-03,2,ATL,BRK,2,108,117,41,94,0.436,13,35,0.371,13,15,0.867,12,52,23,8,4,14,16,43,88,0.489,22,48,0.458,9,12,0.75,7,42,34,7,8,14,18,108.5,117.5,99.6,0.16,0.372,0.537,55.3,56.1,8.0,10.0,0.505,12.2,25.5,0.138,0.614,13.0,85.1,0.102,2022,-9,-2,6,-0.05299999999999999,-9,-13,-0.08700000000000002,4,3,0.11699999999999999,5,10,-11,1,-4,0,-2
8,9,2021-11-04,1,ATL,UTA,2,98,116,35,82,0.427,7,28,0.25,21,26,0.808,5,32,18,11,4,9,24,41,81,0.506,17,41,0.415,17,23,0.739,8,46,30,6,4,14,20,103.2,122.1,95.0,0.317,0.341,0.524,41.0,51.4,11.6,10.0,0.47,8.8,11.6,0.256,0.611,13.3,77.1,0.21,2022,-18,-6,1,-0.07900000000000001,-10,-13,-0.16499999999999998,4,3,0.06900000000000006,-3,-14,-12,5,0,-5,4
9,10,2021-11-06,2,ATL,PHO,2,117,121,42,97,0.433,13,33,0.394,20,23,0.87,14,50,18,3,1,12,16,45,88,0.511,14,43,0.326,17,21,0.81,5,42,26,8,6,12,22,114.2,118.1,102.4,0.237,0.34,0.546,54.3,42.9,2.9,2.2,0.5,10.1,27.5,0.206,0.591,11.0,87.8,0.193,2022,-4,-3,9,-0.07800000000000001,-1,-10,0.068,3,2,0.05999999999999994,9,8,-8,-5,-5,0,-6
