,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2022-10-19,1,MIN,OKC,1,115,108,39,94,0.415,10,38,0.263,27,33,0.818,14,55,25,6,5,14,21,38,99,0.384,14,45,0.311,18,22,0.818,16,57,22,6,6,13,26,110.2,103.5,104.3,0.351,0.404,0.53,49.1,64.1,5.7,9.3,0.468,11.4,25.5,0.287,0.455,10.7,71.9,0.182,2023,7,1,-5,0.030999999999999972,-4,-7,-0.04799999999999999,9,11,0.0,-2,-2,3,0,-1,1,-5
1,2,2022-10-21,1,MIN,UTA,2,126,132,49,107,0.458,11,33,0.333,17,23,0.739,21,60,20,5,7,20,22,49,111,0.441,20,50,0.4,14,21,0.667,19,54,39,11,8,13,23,112.7,118.1,101.3,0.215,0.308,0.538,52.6,40.8,4.5,11.5,0.509,14.6,37.5,0.159,0.532,9.8,67.2,0.126,2023,-6,0,-4,0.017000000000000015,-9,-17,-0.067,3,2,0.07199999999999995,2,6,-19,-6,-1,7,-1
2,3,2022-10-23,2,MIN,OKC,1,116,106,46,88,0.523,10,34,0.294,14,22,0.636,12,54,24,9,3,15,17,41,94,0.436,9,41,0.22,15,21,0.714,11,42,24,7,4,11,15,115.5,105.5,100.4,0.25,0.386,0.594,56.3,52.2,9.0,5.7,0.58,13.3,27.9,0.159,0.484,9.6,79.2,0.16,2023,10,5,-6,0.08700000000000002,1,-7,0.07399999999999998,-1,1,-0.07799999999999996,1,12,0,2,-1,4,2
3,4,2022-10-24,1,MIN,SAS,2,106,115,38,86,0.442,8,31,0.258,22,24,0.917,10,50,24,7,5,16,18,48,105,0.457,12,37,0.324,7,13,0.538,14,50,37,11,0,13,21,102.0,110.7,103.9,0.279,0.36,0.549,50.0,63.2,6.7,7.4,0.488,14.2,21.7,0.256,0.514,10.5,74.1,0.067,2023,-9,-10,-19,-0.015000000000000013,-4,-6,-0.066,15,11,0.379,-4,0,-13,-4,5,3,-3
4,5,2022-10-26,1,MIN,SAS,1,134,122,52,80,0.65,20,34,0.588,10,16,0.625,0,30,37,9,6,16,19,43,95,0.453,16,36,0.444,20,22,0.909,14,41,34,6,2,16,18,131.1,119.3,102.2,0.2,0.425,0.77,42.3,71.2,8.8,10.2,0.775,15.5,0.0,0.125,0.537,13.3,68.2,0.211,2023,12,9,-15,0.197,4,-2,0.14399999999999996,-10,-6,-0.28400000000000003,-14,-11,3,3,4,0,1
5,6,2022-10-28,1,MIN,LAL,1,111,102,41,99,0.414,13,40,0.325,16,24,0.667,14,49,27,13,8,10,21,37,89,0.416,9,29,0.31,19,27,0.704,12,55,20,8,5,22,21,105.2,96.7,105.5,0.242,0.404,0.507,47.1,65.9,12.3,13.3,0.48,8.4,24.6,0.162,0.466,17.9,74.5,0.213,2023,9,4,10,-0.0020000000000000018,4,11,0.015000000000000013,-3,-3,-0.03699999999999992,2,-6,7,5,3,-12,0
6,7,2022-10-30,2,MIN,SAS,2,98,107,40,99,0.404,4,29,0.138,14,20,0.7,16,45,21,11,7,11,23,36,86,0.419,16,40,0.4,19,25,0.76,14,52,27,6,7,19,21,99.6,108.7,98.4,0.202,0.293,0.455,46.4,52.5,11.2,15.2,0.424,9.3,29.6,0.141,0.512,16.4,67.4,0.221,2023,-9,4,13,-0.014999999999999958,-12,-11,-0.262,-5,-5,-0.06000000000000005,2,-7,-6,5,0,-8,2
7,8,2022-11-01,2,MIN,PHO,2,107,116,37,87,0.425,13,34,0.382,20,24,0.833,10,42,24,5,4,16,24,41,89,0.461,17,43,0.395,17,22,0.773,7,34,31,9,8,9,20,109.3,118.5,97.9,0.276,0.391,0.548,55.3,64.9,5.1,8.7,0.5,14.1,27.0,0.23,0.556,8.4,82.1,0.191,2023,-9,-4,-2,-0.03600000000000003,-4,-9,-0.013000000000000012,3,2,0.05999999999999994,3,8,-7,-4,-4,7,4
8,9,2022-11-04,1,MIN,MIL,2,102,115,39,92,0.424,11,41,0.268,13,17,0.765,10,47,22,2,4,16,25,41,85,0.482,17,38,0.447,16,28,0.571,7,51,29,7,2,13,22,99.0,111.6,103.0,0.185,0.446,0.513,48.0,56.4,1.9,8.5,0.484,13.9,18.5,0.141,0.582,11.8,84.1,0.188,2023,-13,-2,7,-0.057999999999999996,-6,3,-0.179,-3,-11,0.19400000000000006,3,-4,-7,-5,2,3,3
9,10,2022-11-05,1,MIN,HOU,1,129,117,49,80,0.613,15,33,0.455,16,20,0.8,9,36,38,11,5,24,27,40,84,0.476,16,38,0.421,21,31,0.677,12,33,27,10,0,22,18,125.3,113.6,103.0,0.25,0.413,0.726,52.2,77.6,10.7,10.9,0.706,21.3,30.0,0.2,0.571,18.4,69.2,0.25,2023,12,9,-4,0.137,-1,-5,0.03400000000000003,-5,-11,0.123,-3,3,11,1,5,2,9
