,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1947,PIT,PHW,CLR,WSC,NYK,BOS,CHS,DTF,TRH,PRO,STB,,,,,,,,,,,,,,,,,,,
1948,PHW,WSC,NYK,BOS,CHS,BLB,PRO,STB,,,,,,,,,,,,,,,,,,,,,,
1949,PHW,INJ,ROC,WSC,NYK,BOS,CHS,BLB,PRO,FTW,MNL,STB,,,,,,,,,,,,,,,,,,
1950,INO,PHW,ROC,SHE,WSC,NYK,BOS,CHS,BLB,AND,WAT,TRI,FTW,DNN,MNL,STB,SYR,,,,,,,,,,,,,
1951,INO,PHW,ROC,WSC,NYK,BOS,BLB,TRI,FTW,MNL,SYR,,,,,,,,,,,,,,,,,,,
1952,INO,PHW,ROC,NYK,BOS,BLB,FTW,MLH,MNL,SYR,,,,,,,,,,,,,,,,,,,,
1953,INO,PHW,ROC,NYK,BOS,BLB,FTW,MLH,MNL,SYR,,,,,,,,,,,,,,,,,,,,
1954,PHW,ROC,NYK,BOS,BLB,FTW,MLH,MNL,SYR,,,,,,,,,,,,,,,,,,,,,
1955,PHW,ROC,NYK,BOS,FTW,MLH,MNL,SYR,,,,,,,,,,,,,,,,,,,,,,
1956,PHW,ROC,NYK,BOS,FTW,MNL,STL,SYR,,,,,,,,,,,,,,,,,,,,,,
1957,PHW,ROC,NYK,BOS,FTW,MNL,STL,SYR,,,,,,,,,,,,,,,,,,,,,,
1958,PHW,NYK,BOS,CIN,DET,MNL,STL,SYR,,,,,,,,,,,,,,,,,,,,,,
1959,PHW,NYK,BOS,CIN,DET,MNL,STL,SYR,,,,,,,,,,,,,,,,,,,,,,
1960,PHW,NYK,BOS,CIN,DET,MNL,STL,SYR,,,,,,,,,,,,,,,,,,,,,,
1961,PHW,LAL,NYK,BOS,CIN,DET,STL,SYR,,,,,,,,,,,,,,,,,,,,,,
1962,PHW,LAL,NYK,BOS,CIN,CHP,DET,STL,SYR,,,,,,,,,,,,,,,,,,,,,
1963,LAL,NYK,BOS,CHZ,CIN,DET,SFW,STL,SYR,,,,,,,,,,,,,,,,,,,,,
1964,LAL,NYK,BOS,CIN,DET,BAL,PHI,SFW,STL,,,,,,,,,,,,,,,,,,,,,
1965,LAL,NYK,BOS,CIN,DET,STL,PHI,SFW,BAL,,,,,,,,,,,,,,,,,,,,,
1966,LAL,NYK,BOS,CIN,DET,STL,PHI,SFW,BAL,,,,,,,,,,,,,,,,,,,,,
1967,LAL,NYK,BOS,CHI,CIN,DET,STL,PHI,SFW,BAL,,,,,,,,,,,,,,,,,,,,
1968,SEA,LAL,NYK,BOS,CHI,CIN,DET,SDR,BAL,PHI,SFW,STL,,,,,,,,,,,,,,,,,,
1969,SEA,LAL,NYK,CHI,ATL,BOS,CIN,MIL,DET,SDR,PHO,PHI,SFW,BAL,,,,,,,,,,,,,,,,
1970,SEA,LAL,NYK,CHI,ATL,BOS,CIN,MIL,DET,SDR,PHO,PHI,SFW,BAL,,,,,,,,,,,,,,,,
1971,SEA,LAL,NYK,BOS,CHI,ATL,CIN,CLE,MIL,BUF,DET,POR,SDR,PHO,PHI,SFW,BAL,,,,,,,,,,,,,
1972,PHI,SEA,LAL,NYK,ATL,BOS,CHI,CIN,CLE,MIL,BUF,DET,POR,GSW,PHO,HOU,BAL,,,,,,,,,,,,,
1973,PHI,SEA,KCO,LAL,NYK,ATL,BOS,CHI,CLE,MIL,BUF,DET,POR,GSW,PHO,HOU,BAL,,,,,,,,,,,,,
1974,PHI,SEA,KCO,LAL,NYK,CHI,BOS,ATL,CLE,MIL,BUF,DET,CAP,POR,GSW,PHO,HOU,,,,,,,,,,,,,
1975,PHI,SEA,KCO,LAL,NYK,BOS,ATL,CHI,CLE,MIL,BUF,DET,POR,GSW,WSB,PHO,HOU,NOJ,,,,,,,,,,,,
1976,SEA,LAL,NYK,KCK,ATL,BOS,CHI,CLE,MIL,HOU,DET,POR,GSW,BUF,WSB,PHO,PHI,NOJ,,,,,,,,,,,,
1977,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,NOJ,CLE,NYN,SAS,POR,GSW,PHO,NYK,BOS,CHI,MIL,BUF,IND,,,,,,,,
1978,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,NOJ,CLE,SAS,POR,GSW,PHO,NJN,NYK,BOS,CHI,MIL,BUF,IND,,,,,,,,
1979,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,NOJ,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,IND,,,,,,,,
1980,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,,
1981,KCK,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1982,KCK,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1983,KCK,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1984,KCK,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,SDC,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1985,LAC,KCK,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,,,,,
1986,LAC,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,,,,,
1987,LAC,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,,,,,,,
1988,LAC,DET,HOU,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,,,
1989,MIA,LAC,DET,HOU,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,,,
1990,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1991,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1992,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1993,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1994,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1995,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,BOS,CHI,MIL,UTA,IND,,,
1996,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,WSB,PHI,CHH,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,VAN,NJN,NYK,CHI,BOS,MIL,UTA,IND,
1997,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,WSB,PHI,CHH,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,VAN,NJN,NYK,BOS,CHI,MIL,UTA,IND,
1998,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,PHI,CHH,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,VAN,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS,
1999,MIA,LAC,DET,ORL,LAL,ATL,PHI,CHH,TOR,MIN,CLE,SAC,PHO,NJN,NYK,CHI,BOS,MIL,IND,WAS,,,,,,,,,,
2000,MIA,LAC,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,PHI,CHH,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,VAN,NYK,CHI,BOS,MIL,UTA,IND,WAS,
2001,MIA,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,PHI,CHH,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,VAN,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS,
2002,MIA,LAC,MEM,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,PHI,CHH,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,NJN,NYK,CHI,BOS,MIL,UTA,IND,WAS,
2003,MIA,MEM,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,NOH,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS,
2004,MIA,MEM,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,NOH,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS,
2005,MIA,LAC,MEM,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,CHA,NOH,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS
2006,MIA,LAC,MEM,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,CHA,NJN,NYK,BOS,CHI,MIL,NOK,UTA,IND,WAS
2007,MIA,MEM,LAC,DET,HOU,ORL,SEA,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,CHA,NJN,NYK,BOS,CHI,MIL,NOK,UTA,IND,WAS
2008,MIA,LAC,MEM,DET,HOU,ORL,DAL,SEA,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,CHA,NOH,NJN,NYK,CHI,BOS,MIL,UTA,IND,WAS
2009,MIA,MEM,LAC,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,OKC,CHA,NOH,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS
2010,MIA,LAC,MEM,DET,HOU,ORL,DAL,LAL,ATL,DEN,PHI,TOR,MIN,CLE,SAS,POR,GSW,SAC,PHO,OKC,CHA,NOH,NJN,NYK,BOS,CHI,MIL,UTA,IND,WAS
