,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,STAR,Year
0,Tariq Abdul-Wahad,SG,24.0,SAC,49.0,49.0,24.6,3.6,8.3,0.435,0.1,0.4,0.286,3.5,7.9,0.443,0.442,1.9,2.8,0.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3,False,1999
1,Shareef Abdur-Rahim,SF,22.0,VAN,50.0,50.0,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,False,1999
2,Cory Alexander,PG,25.0,DEN,36.0,4.0,21.6,2.7,7.2,0.373,0.8,2.9,0.286,1.9,4.3,0.432,0.431,1.0,1.2,0.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3,False,1999
3,Ray Allen,SG,23.0,MIL,50.0,50.0,34.4,6.1,13.5,0.45,1.5,4.2,0.356,4.6,9.3,0.492,0.505,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,True,1999
4,Peter Aluma,C,25.0,SAC,2.0,0.0,2.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,False,1999
5,Derek Anderson,SG,24.0,CLE,38.0,13.0,25.7,3.3,8.3,0.398,0.6,1.8,0.304,2.7,6.4,0.424,0.432,3.6,4.3,0.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8,False,1999
6,Kenny Anderson,PG,28.0,BOS,34.0,33.0,29.7,4.7,10.5,0.451,0.2,0.7,0.25,4.6,9.8,0.465,0.459,2.5,3.0,0.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1,False,1999
7,Nick Anderson,SF,31.0,ORL,47.0,39.0,33.6,5.4,13.6,0.395,2.0,5.9,0.347,3.3,7.7,0.433,0.47,2.1,3.4,0.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9,False,1999
8,Shandon Anderson,SG,25.0,UTA,50.0,2.0,21.4,3.2,7.3,0.446,0.3,0.8,0.341,3.0,6.4,0.46,0.466,1.8,2.5,0.712,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5,False,1999
9,Chris Anstey,C,24.0,DAL,41.0,4.0,11.5,1.2,3.4,0.36,0.0,0.2,0.0,1.2,3.2,0.379,0.36,0.8,1.2,0.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3,False,1999
10,Greg Anthony,PG,31.0,POR,50.0,0.0,16.1,2.1,5.0,0.414,1.0,2.5,0.392,1.1,2.5,0.437,0.512,1.2,1.8,0.697,0.3,1.0,1.3,2.0,1.3,0.1,1.1,1.5,6.4,False,1999
11,B.J. Armstrong,PG,31.0,Traded,64.0,2.0,11.2,1.29,2.76,0.45,0.19,0.48,0.4,1.01,2.28,0.46,0.48,0.58,0.68,0.85,0.07,1.18,1.19,1.89,0.38,0.0,0.8,0.99,3.3,False,1999
12,Darrell Armstrong,PG,30.0,ORL,50.0,15.0,30.0,4.6,10.4,0.441,1.4,3.8,0.365,3.2,6.7,0.483,0.507,3.2,3.6,0.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8,False,1999
13,Keith Askins,SF,31.0,MIA,33.0,13.0,12.6,0.6,1.9,0.323,0.2,0.9,0.276,0.4,1.0,0.364,0.387,0.2,0.2,0.625,0.3,1.0,1.3,0.3,0.5,0.1,0.4,1.8,1.6,False,1999
14,Stacey Augmon,SF,30.0,POR,48.0,21.0,18.2,1.6,3.6,0.448,0.0,0.0,0.0,1.6,3.6,0.453,0.448,1.1,1.6,0.684,1.0,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3,False,1999
15,Isaac Austin,C,29.0,ORL,49.0,49.0,25.7,3.8,9.2,0.408,0.0,0.1,0.286,3.7,9.1,0.41,0.411,2.1,3.2,0.669,1.7,3.1,4.8,1.8,1.0,0.7,2.3,2.6,9.7,False,1999
16,Anthony Avent,PF,29.0,UTA,5.0,0.0,8.8,0.8,2.6,0.308,0.0,0.0,,0.8,2.6,0.308,0.308,0.2,0.4,0.5,1.6,0.8,2.4,0.2,0.4,0.0,1.4,1.2,1.8,False,1999
