   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
1  ,Mahmoud Abdul-Rauf   ,PG   ,22.0,DEN,81.0,11.0,19.0,4.4 ,10.4,0.421,0.4,1.2,0.33 ,4.0 ,9.3 ,0.433,0.44 ,1.2,1.3 ,0.87 ,0.3,1.1 ,1.4 ,2.4 ,0.5,0.0,1.4,1.6,10.3
2  ,Mark Acres           ,C    ,29.0,ORL,68.0,6.0 ,13.6,1.1 ,2.2 ,0.517,0.0,0.0,0.333,1.1 ,2.2 ,0.52 ,0.52 ,0.8,1.0 ,0.761,1.4,2.3 ,3.7 ,0.3 ,0.4,0.2,0.5,2.1,3.1
3  ,Michael Adams        ,PG   ,29.0,WSB,78.0,78.0,35.8,6.2 ,15.8,0.393,1.6,4.9,0.324,4.6 ,10.9,0.425,0.444,4.0,4.6 ,0.869,0.7,3.2 ,4.0 ,7.6 ,1.9,0.1,2.7,2.1,18.1
4  ,Rafael Addison       ,SF   ,27.0,NJN,76.0,8.0 ,15.5,2.5 ,5.7 ,0.433,0.2,0.6,0.286,2.3 ,5.0 ,0.452,0.449,0.7,1.0 ,0.737,0.9,1.3 ,2.2 ,0.9 ,0.4,0.4,0.6,1.4,5.8
5  ,Mark Aguirre         ,SF   ,32.0,DET,75.0,12.0,21.1,4.5 ,10.5,0.431,0.2,0.9,0.211,4.3 ,9.5 ,0.453,0.44 ,2.1,3.1 ,0.687,0.9,2.3 ,3.1 ,1.7 ,0.7,0.1,1.4,2.3,11.3
6  ,Danny Ainge          ,SG   ,32.0,POR,81.0,6.0 ,19.7,3.7 ,8.3 ,0.442,1.0,2.8,0.339,2.7 ,5.5 ,0.496,0.5  ,1.3,1.6 ,0.824,0.5,1.3 ,1.8 ,2.5 ,0.9,0.2,0.9,1.8,9.7
7  ,Victor Alexander     ,C    ,22.0,GSW,80.0,28.0,16.9,3.0 ,5.7 ,0.529,0.0,0.0,0.0  ,3.0 ,5.7 ,0.531,0.529,1.3,1.9 ,0.691,1.3,2.9 ,4.2 ,0.4 ,0.6,0.8,1.1,2.2,7.4
8  ,Greg Anderson        ,PF   ,27.0,DEN,82.0,82.0,34.1,4.7 ,10.4,0.456,0.0,0.0,0.0  ,4.7 ,10.4,0.458,0.456,2.0,3.3 ,0.623,4.1,7.4 ,11.5,1.0 ,1.1,0.8,2.5,3.2,11.5
9  ,Kenny Anderson       ,PG   ,21.0,NJN,64.0,13.0,17.0,2.9 ,7.5 ,0.39 ,0.0,0.2,0.231,2.9 ,7.3 ,0.394,0.393,1.1,1.5 ,0.745,0.6,1.4 ,2.0 ,3.2 ,1.0,0.1,1.5,1.1,7.0
10 ,Nick Anderson        ,SG   ,24.0,ORL,60.0,59.0,36.7,8.0 ,17.4,0.463,0.5,1.4,0.353,7.5 ,16.0,0.472,0.477,3.4,5.1 ,0.667,1.6,4.8 ,6.4 ,2.7 ,1.6,0.6,2.1,2.2,19.9
11 ,Ron Anderson         ,SF   ,33.0,PHI,82.0,11.0,29.7,5.7 ,12.3,0.465,0.5,1.5,0.331,5.2 ,10.7,0.485,0.486,1.7,2.0 ,0.877,1.2,2.2 ,3.4 ,1.6 ,1.0,0.1,1.3,1.6,13.7
12 ,Willie Anderson      ,SG   ,25.0,SAS,57.0,55.0,33.1,5.5 ,12.0,0.455,0.2,1.0,0.232,5.2 ,11.0,0.475,0.465,1.9,2.4 ,0.775,1.1,4.2 ,5.3 ,5.3 ,0.9,0.9,2.5,2.6,13.1
16 ,Greg Anthony         ,PG   ,24.0,NYK,82.0,1.0 ,18.4,2.0 ,5.3 ,0.37 ,0.1,0.7,0.145,1.9 ,4.6 ,0.403,0.379,1.4,1.9 ,0.741,0.4,1.3 ,1.7 ,3.8 ,0.7,0.1,1.2,2.1,5.5
17 ,B.J. Armstrong       ,PG   ,24.0,CHI,82.0,3.0 ,22.9,4.1 ,8.5 ,0.481,0.4,1.1,0.402,3.7 ,7.4 ,0.492,0.506,1.3,1.6 ,0.806,0.2,1.5 ,1.8 ,3.2 ,0.6,0.1,1.1,1.1,9.9
18 ,Vincent Askew        ,SG   ,25.0,GSW,80.0,10.0,18.7,2.4 ,4.7 ,0.509,0.0,0.1,0.1  ,2.4 ,4.6 ,0.52 ,0.511,1.4,2.0 ,0.694,1.1,1.8 ,2.9 ,2.4 ,0.6,0.3,1.1,1.6,6.2
19 ,Keith Askins         ,SF   ,24.0,MIA,59.0,4.0 ,14.3,1.4 ,3.5 ,0.41 ,0.4,1.2,0.342,1.0 ,2.2 ,0.447,0.471,0.4,0.6 ,0.703,1.1,1.3 ,2.4 ,0.6 ,0.7,0.3,0.8,1.8,3.7
20 ,Stacey Augmon        ,SG   ,23.0,ATL,82.0,82.0,30.5,5.4 ,11.0,0.489,0.0,0.1,0.167,5.4 ,10.9,0.492,0.49 ,2.6,3.9 ,0.666,2.3,2.8 ,5.1 ,2.5 ,1.5,0.3,2.2,2.0,13.3
24 ,John Bagley          ,PG   ,31.0,BOS,73.0,59.0,23.9,3.1 ,6.9 ,0.441,0.1,0.6,0.238,2.9 ,6.4 ,0.459,0.451,0.9,1.3 ,0.716,0.5,1.7 ,2.2 ,6.6 ,0.8,0.1,2.0,1.7,7.2
25 ,Thurl Bailey         ,PF   ,30.0,TOT,84.0,18.0,25.0,4.4 ,10.0,0.44 ,0.0,0.0,0.0  ,4.4 ,9.9 ,0.441,0.44 ,2.6,3.2 ,0.796,1.5,4.3 ,5.8 ,0.9 ,0.4,1.4,1.3,1.9,11.3
29 ,Charles Barkley*     ,SF   ,28.0,PHI,75.0,75.0,38.4,8.3 ,15.0,0.552,0.4,1.8,0.234,7.9 ,13.2,0.597,0.567,6.1,8.7 ,0.695,3.6,7.5 ,11.1,4.1 ,1.8,0.6,3.1,2.6,23.1
30 ,Dana Barros          ,PG   ,24.0,SEA,75.0,1.0 ,17.7,3.2 ,6.6 ,0.483,1.1,2.5,0.446,2.1 ,4.1 ,0.505,0.567,0.8,1.1 ,0.759,0.2,0.9 ,1.1 ,1.7 ,0.7,0.1,0.7,1.1,8.3
31 ,John Battle          ,SG   ,29.0,CLE,76.0,2.0 ,21.5,4.2 ,8.7 ,0.48 ,0.0,0.2,0.118,4.1 ,8.4 ,0.489,0.481,1.9,2.3 ,0.848,0.3,1.2 ,1.5 ,2.1 ,0.5,0.1,1.2,1.5,10.3
32 ,Kenny Battle         ,SG   ,27.0,TOT,16.0,0.0 ,5.8 ,0.7 ,1.1 ,0.647,0.0,0.1,0.0  ,0.7 ,1.0 ,0.688,0.647,0.6,0.8 ,0.833,0.3,0.8 ,1.0 ,0.3 ,0.1,0.1,0.3,0.6,2.0
35 ,William Bedford      ,C    ,28.0,DET,32.0,8.0 ,11.3,1.6 ,3.8 ,0.413,0.0,0.0,0.0  ,1.6 ,3.8 ,0.417,0.413,0.4,0.7 ,0.636,0.8,1.2 ,2.0 ,0.4 ,0.2,0.6,0.5,1.8,3.6
36 ,Benoit Benjamin      ,C    ,27.0,SEA,63.0,61.0,30.8,5.6 ,11.7,0.478,0.0,0.0,0.0  ,5.6 ,11.7,0.48 ,0.478,2.7,4.0 ,0.687,2.1,6.1 ,8.1 ,1.2 ,0.6,1.9,2.8,2.9,14.0
