   ,Player              ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Tariq Abdul-Wahad   ,SG   ,27.0,TOT,24.0,12.0,18.4,2.3 ,6.1 ,0.374,0.0,0.1,0.5  ,2.3 ,6.0 ,0.372,0.378,1.0,1.4 ,0.727,1.7,1.8,3.5 ,1.0 ,0.8,0.4,1.1,2.3,5.6
3  ,Shareef Abdur-Rahim ,PF   ,25.0,ATL,77.0,77.0,38.7,7.8 ,16.8,0.461,0.3,0.9,0.3  ,7.5 ,15.9,0.47 ,0.469,5.4,6.8 ,0.801,2.6,6.5,9.0 ,3.1 ,1.3,1.1,3.2,2.8,21.2
4  ,Courtney Alexander  ,SG   ,24.0,WAS,56.0,28.0,23.7,4.0 ,8.5 ,0.47 ,0.1,0.3,0.278,3.9 ,8.1 ,0.478,0.476,1.8,2.2 ,0.81 ,0.8,1.9,2.6 ,1.5 ,0.6,0.1,1.1,2.0,9.8
5  ,Victor Alexander    ,C    ,32.0,DET,15.0,0.0 ,6.5 ,1.2 ,3.4 ,0.353,0.0,0.1,0.0  ,1.2 ,3.3 ,0.367,0.353,0.3,0.5 ,0.5  ,0.5,1.5,1.9 ,0.4 ,0.0,0.1,0.3,0.4,2.7
6  ,Malik Allen         ,PF   ,23.0,MIA,12.0,2.0 ,13.4,1.8 ,4.3 ,0.431,0.0,0.1,0.0  ,1.8 ,4.2 ,0.44 ,0.431,0.7,0.8 ,0.8  ,1.3,1.9,3.2 ,0.4 ,0.3,0.7,0.2,1.3,4.3
7  ,Ray Allen*          ,SG   ,26.0,MIL,69.0,67.0,36.6,7.7 ,16.6,0.462,3.3,7.7,0.434,4.4 ,9.0 ,0.485,0.561,3.1,3.6 ,0.873,1.2,3.3,4.5 ,3.9 ,1.3,0.3,2.3,2.3,21.8
8  ,Rafer Alston        ,PG   ,25.0,MIL,50.0,7.0 ,12.0,1.3 ,3.8 ,0.346,0.5,1.4,0.38 ,0.8 ,2.4 ,0.325,0.416,0.4,0.6 ,0.621,0.2,1.2,1.4 ,2.9 ,0.6,0.0,0.8,0.8,3.5
10 ,Chris Andersen      ,C    ,23.0,DEN,24.0,1.0 ,10.9,1.0 ,3.1 ,0.338,0.0,0.2,0.0  ,1.0 ,2.9 ,0.357,0.338,0.9,1.2 ,0.786,1.6,1.6,3.2 ,0.3 ,0.3,1.2,0.5,1.5,3.0
11 ,Derek Anderson      ,SG   ,27.0,POR,70.0,27.0,26.6,3.5 ,8.7 ,0.404,1.2,3.3,0.373,2.3 ,5.5 ,0.422,0.473,2.5,3.0 ,0.856,0.7,2.0,2.7 ,3.1 ,1.0,0.1,1.2,1.6,10.8
12 ,Kenny Anderson      ,PG   ,31.0,BOS,76.0,76.0,32.0,4.1 ,9.4 ,0.436,0.1,0.4,0.273,4.0 ,9.0 ,0.444,0.442,1.3,1.7 ,0.742,0.8,2.9,3.6 ,5.3 ,1.9,0.1,1.6,2.8,9.6
13 ,Nick Anderson       ,SG   ,34.0,MEM,15.0,0.0 ,14.6,1.4 ,5.1 ,0.276,0.9,3.2,0.271,0.5 ,1.9 ,0.286,0.362,0.3,0.6 ,0.556,0.1,2.1,2.2 ,0.9 ,0.4,0.4,0.9,1.1,4.0
14 ,Shandon Anderson    ,SG   ,28.0,NYK,82.0,6.0 ,19.5,1.8 ,4.5 ,0.399,0.5,1.7,0.277,1.3 ,2.8 ,0.474,0.452,0.9,1.3 ,0.692,0.7,2.3,3.0 ,0.9 ,0.6,0.2,1.2,1.6,5.0
15 ,Greg Anthony        ,PG   ,34.0,TOT,60.0,38.0,25.2,3.1 ,7.9 ,0.385,0.8,2.7,0.294,2.3 ,5.2 ,0.433,0.436,1.0,1.5 ,0.659,0.4,1.8,2.2 ,4.7 ,1.3,0.1,1.6,1.9,7.9
18 ,Gilbert Arenas      ,PG   ,20.0,GSW,47.0,30.0,24.6,3.7 ,8.2 ,0.453,0.8,2.4,0.345,2.9 ,5.8 ,0.498,0.504,2.6,3.4 ,0.775,0.9,1.9,2.8 ,3.7 ,1.5,0.2,2.1,2.4,10.9
19 ,Brandon Armstrong   ,SG   ,21.0,NJN,35.0,0.0 ,5.6 ,0.8 ,2.4 ,0.318,0.1,0.5,0.294,0.6 ,1.9 ,0.324,0.347,0.1,0.3 ,0.5  ,0.3,0.2,0.5 ,0.2 ,0.2,0.0,0.2,0.7,1.8
20 ,Darrell Armstrong   ,PG   ,33.0,ORL,82.0,79.0,33.3,4.2 ,10.1,0.419,1.7,4.9,0.349,2.5 ,5.2 ,0.484,0.503,2.2,2.5 ,0.888,1.0,2.9,3.9 ,5.5 ,1.9,0.1,2.1,2.0,12.4
21 ,Carlos Arroyo       ,PG   ,22.0,TOT,37.0,1.0 ,10.0,1.3 ,3.0 ,0.441,0.0,0.1,0.0  ,1.3 ,2.9 ,0.45 ,0.441,0.4,0.5 ,0.722,0.3,0.8,1.1 ,1.9 ,0.3,0.0,0.6,0.8,3.0
24 ,Chucky Atkins       ,PG   ,27.0,DET,79.0,62.0,28.9,4.7 ,10.0,0.466,1.7,4.3,0.411,2.9 ,5.7 ,0.507,0.553,1.1,1.5 ,0.692,0.4,1.6,2.0 ,3.3 ,0.9,0.1,1.6,2.2,12.1
25 ,Stacey Augmon       ,SG   ,33.0,CHH,77.0,3.0 ,17.1,1.8 ,4.3 ,0.427,0.0,0.0,0.0  ,1.8 ,4.2 ,0.431,0.427,1.0,1.3 ,0.762,0.8,2.2,2.9 ,1.3 ,0.7,0.2,0.7,1.5,4.6
