   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Alex Acker           ,SG   ,26.0,TOT,25.0,0.0 ,8.0 ,1.2 ,3.0 ,0.395,0.3,0.8,0.35 ,0.9,2.2 ,0.411,0.441,0.2,0.4 ,0.5  ,0.3,0.6,1.0 ,0.5 ,0.2,0.2,0.3,0.4,2.9
4  ,Arron Afflalo        ,SG   ,23.0,DET,74.0,8.0 ,16.7,1.8 ,4.1 ,0.437,0.6,1.4,0.402,1.2,2.6 ,0.456,0.508,0.8,1.0 ,0.817,0.4,1.4,1.8 ,0.6 ,0.4,0.2,0.6,1.9,4.9
5  ,Maurice Ager         ,SG   ,24.0,NJN,20.0,0.0 ,4.9 ,0.8 ,2.2 ,0.349,0.0,0.3,0.0  ,0.8,1.9 ,0.405,0.349,0.2,0.4 ,0.5  ,0.2,0.4,0.5 ,0.2 ,0.1,0.1,0.2,0.9,1.7
6  ,Blake Ahearn         ,PG   ,24.0,SAS,3.0 ,0.0 ,6.3 ,0.7 ,2.0 ,0.333,0.7,1.3,0.5  ,0.0,0.7 ,0.0  ,0.5  ,0.7,0.7 ,1.0  ,0.0,0.3,0.3 ,0.7 ,0.3,0.0,0.3,1.0,2.7
7  ,Alexis Ajinça        ,PF   ,20.0,CHA,31.0,4.0 ,5.9 ,0.8 ,2.2 ,0.362,0.0,0.1,0.0  ,0.8,2.2 ,0.373,0.362,0.6,0.9 ,0.714,0.3,0.7,1.0 ,0.1 ,0.2,0.2,0.4,1.1,2.3
8  ,LaMarcus Aldridge    ,PF   ,23.0,POR,81.0,81.0,37.1,7.4 ,15.3,0.484,0.1,0.3,0.25 ,7.3,15.0,0.489,0.486,3.2,4.1 ,0.781,2.9,4.6,7.5 ,1.9 ,1.0,1.0,1.5,2.6,18.1
9  ,Joe Alexander        ,SF   ,22.0,MIL,59.0,0.0 ,12.1,1.7 ,4.2 ,0.416,0.3,0.8,0.348,1.5,3.4 ,0.432,0.449,1.0,1.4 ,0.699,0.7,1.2,1.9 ,0.7 ,0.3,0.5,0.9,1.8,4.7
10 ,Malik Allen          ,PF   ,30.0,MIL,49.0,3.0 ,11.8,1.5 ,3.5 ,0.429,0.0,0.0,0.0  ,1.5,3.4 ,0.432,0.429,0.2,0.4 ,0.476,0.7,1.4,2.1 ,0.7 ,0.1,0.2,0.4,1.8,3.2
11 ,Ray Allen*           ,SG   ,33.0,BOS,79.0,79.0,36.4,6.3 ,13.2,0.48 ,2.5,6.2,0.409,3.8,7.0 ,0.542,0.575,3.0,3.2 ,0.952,0.8,2.7,3.5 ,2.8 ,0.9,0.2,1.7,2.0,18.2
12 ,Tony Allen           ,SG   ,27.0,BOS,46.0,2.0 ,19.3,3.0 ,6.2 ,0.482,0.1,0.6,0.222,2.8,5.6 ,0.51 ,0.493,1.7,2.4 ,0.725,0.5,1.8,2.3 ,1.4 ,1.2,0.5,1.7,2.1,7.8
13 ,Morris Almond        ,SG   ,23.0,UTA,25.0,1.0 ,10.2,1.3 ,3.2 ,0.407,0.2,0.7,0.294,1.1,2.6 ,0.438,0.438,0.8,1.0 ,0.808,0.4,1.1,1.4 ,0.3 ,0.2,0.2,0.6,1.2,3.7
14 ,Rafer Alston         ,PG   ,32.0,TOT,77.0,76.0,31.8,4.1 ,10.6,0.385,1.5,4.3,0.338,2.6,6.4 ,0.417,0.454,2.0,2.7 ,0.75 ,0.4,2.5,2.9 ,5.3 ,1.4,0.1,1.8,1.8,11.7
17 ,Lou Amundson         ,PF   ,26.0,PHO,76.0,0.0 ,13.7,1.8 ,3.3 ,0.536,0.0,0.0,0.0  ,1.8,3.3 ,0.538,0.536,0.7,1.6 ,0.442,1.7,1.9,3.6 ,0.4 ,0.4,0.9,0.7,2.0,4.2
18 ,Chris Andersen       ,C    ,30.0,DEN,71.0,1.0 ,20.6,2.3 ,4.1 ,0.548,0.0,0.1,0.2  ,2.2,4.0 ,0.56 ,0.551,1.8,2.5 ,0.718,2.3,3.9,6.2 ,0.4 ,0.6,2.5,1.0,2.5,6.4
19 ,Ryan Anderson        ,PF   ,20.0,NJN,66.0,30.0,19.9,2.4 ,6.2 ,0.393,1.0,2.9,0.365,1.4,3.3 ,0.417,0.478,1.5,1.8 ,0.845,1.6,3.1,4.7 ,0.8 ,0.7,0.3,1.0,2.4,7.4
20 ,Carmelo Anthony      ,SF   ,24.0,DEN,66.0,66.0,34.5,8.1 ,18.3,0.443,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1 ,0.793,1.6,5.2,6.8 ,3.4 ,1.1,0.4,3.0,3.0,22.8
22 ,Gilbert Arenas       ,PG   ,27.0,WAS,2.0 ,2.0 ,31.5,3.0 ,11.5,0.261,1.0,3.5,0.286,2.0,8.0 ,0.25 ,0.304,6.0,8.0 ,0.75 ,0.5,4.0,4.5 ,10.0,0.0,0.5,0.5,2.0,13.0
23 ,Trevor Ariza         ,SF   ,23.0,LAL,82.0,20.0,24.4,3.3 ,7.3 ,0.46 ,0.7,2.3,0.319,2.6,4.9 ,0.526,0.511,1.5,2.1 ,0.71 ,1.4,2.9,4.3 ,1.8 ,1.7,0.3,1.1,2.0,8.9
25 ,Hilton Armstrong     ,C    ,24.0,NOH,70.0,29.0,15.6,2.0 ,3.5 ,0.561,0.0,0.0,0.0  ,2.0,3.5 ,0.566,0.561,0.9,1.4 ,0.633,1.2,1.6,2.8 ,0.4 ,0.4,0.6,1.1,2.6,4.8
26 ,Darrell Arthur       ,PF   ,20.0,MEM,76.0,64.0,19.3,2.5 ,5.7 ,0.438,0.0,0.0,0.0  ,2.5,5.7 ,0.44 ,0.438,0.5,0.8 ,0.667,1.4,3.1,4.6 ,0.6 ,0.7,0.7,0.6,2.7,5.6
27 ,Chucky Atkins        ,PG   ,34.0,TOT,33.0,0.0 ,12.5,1.0 ,3.4 ,0.301,0.5,1.7,0.263,0.6,1.7 ,0.339,0.367,0.5,0.5 ,0.938,0.2,0.6,0.7 ,1.8 ,0.3,0.1,0.7,0.8,3.0
30 ,D.J. Augustin        ,PG   ,21.0,CHA,72.0,12.0,26.5,3.7 ,8.6 ,0.43 ,1.5,3.4,0.439,2.2,5.2 ,0.424,0.517,2.9,3.2 ,0.893,0.2,1.6,1.8 ,3.5 ,0.6,0.0,1.7,1.9,11.8
31 ,Kelenna Azubuike     ,SF   ,25.0,GSW,74.0,51.0,32.1,5.3 ,11.4,0.464,1.3,2.8,0.448,4.0,8.6 ,0.469,0.52 ,2.5,3.1 ,0.808,1.5,3.5,5.0 ,1.6 ,0.8,0.7,1.3,2.5,14.4
32 ,Renaldo Balkman      ,PF   ,24.0,DEN,53.0,10.0,14.7,2.1 ,3.7 ,0.558,0.0,0.1,0.286,2.0,3.6 ,0.568,0.563,0.8,1.2 ,0.646,1.6,2.2,3.8 ,0.6 ,0.9,0.4,0.7,1.8,5.0
