   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
1  ,Arron Afflalo        ,SG   ,25.0,DEN,69.0,69.0,33.7,4.5,9.1 ,0.498,1.5,3.6,0.423,3.0,5.5 ,0.546,0.581,2.0,2.4 ,0.847,0.7,3.0 ,3.6 ,2.4 ,0.5,0.4,1.0,2.2,12.6
3  ,Alexis Ajinça        ,C    ,22.0,TOT,34.0,2.0 ,10.0,1.7,3.9 ,0.444,0.4,1.0,0.353,1.4,2.9 ,0.475,0.489,0.4,0.5 ,0.722,0.5,1.8 ,2.3 ,0.3 ,0.3,0.6,0.5,2.1,4.2
8  ,LaMarcus Aldridge    ,PF   ,25.0,POR,81.0,81.0,39.6,8.7,17.5,0.5  ,0.0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5 ,0.791,3.4,5.3 ,8.8 ,2.1 ,1.0,1.2,1.9,2.7,21.8
10 ,Ray Allen*           ,SG   ,35.0,BOS,80.0,80.0,36.1,6.0,12.2,0.491,2.1,4.7,0.444,3.9,7.5 ,0.52 ,0.577,2.4,2.7 ,0.881,0.6,2.8 ,3.4 ,2.7 ,1.0,0.2,1.5,1.8,16.5
11 ,Tony Allen           ,SG   ,29.0,MEM,72.0,31.0,20.8,3.5,6.8 ,0.51 ,0.1,0.3,0.174,3.4,6.5 ,0.527,0.514,1.9,2.5 ,0.753,1.0,1.7 ,2.7 ,1.4 ,1.8,0.6,1.2,2.2,8.9
12 ,Al-Farouq Aminu      ,SF   ,20.0,LAC,81.0,14.0,17.9,2.0,5.0 ,0.394,0.6,1.8,0.315,1.4,3.2 ,0.437,0.45 ,1.1,1.5 ,0.773,0.9,2.4 ,3.3 ,0.7 ,0.7,0.3,1.3,1.5,5.6
14 ,Chris Andersen       ,C    ,32.0,DEN,45.0,0.0 ,16.3,1.8,3.0 ,0.599,0.0,0.0,0.0  ,1.8,3.0 ,0.603,0.599,1.9,3.0 ,0.637,1.7,3.2 ,4.9 ,0.4 ,0.5,1.3,0.6,1.8,5.6
15 ,David Andersen       ,PF   ,30.0,TOT,40.0,0.0 ,9.3 ,1.4,3.0 ,0.463,0.2,0.6,0.348,1.2,2.5 ,0.49 ,0.496,0.4,0.6 ,0.636,0.5,1.6 ,2.1 ,0.3 ,0.1,0.2,0.6,1.0,3.4
18 ,James Anderson       ,SF   ,21.0,SAS,26.0,2.0 ,11.0,1.2,3.1 ,0.383,0.7,1.8,0.391,0.5,1.3 ,0.371,0.494,0.5,0.7 ,0.778,0.1,0.8 ,0.9 ,0.7 ,0.1,0.2,0.5,0.9,3.6
19 ,Ryan Anderson        ,PF   ,22.0,ORL,64.0,14.0,22.3,3.5,8.2 ,0.43 ,2.1,5.3,0.393,1.4,2.9 ,0.5  ,0.558,1.5,1.8 ,0.812,2.0,3.5 ,5.5 ,0.8 ,0.5,0.6,0.8,2.1,10.6
