   ,Player             ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
1  ,Arron Afflalo      ,SG   ,26.0,DEN,62.0,62.0,33.6,5.3 ,11.3,0.471,1.4,3.6,0.398,3.9,7.7 ,0.504,0.534,3.2,4.0 ,0.798,0.6,2.5 ,3.2 ,2.4 ,0.6,0.2,1.4,2.2,15.2
5  ,LaMarcus Aldridge  ,PF   ,26.0,POR,55.0,55.0,36.3,8.8 ,17.1,0.512,0.0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5.0 ,0.814,2.7,5.3 ,8.0 ,2.4 ,0.9,0.8,2.0,2.8,21.7
7  ,Ray Allen*         ,SG   ,36.0,BOS,46.0,42.0,34.0,4.9 ,10.7,0.458,2.3,5.1,0.453,2.6,5.6 ,0.463,0.566,2.1,2.3 ,0.915,0.3,2.8 ,3.1 ,2.4 ,1.1,0.2,1.5,1.8,14.2
8  ,Tony Allen         ,SG   ,30.0,MEM,58.0,57.0,26.3,3.6 ,7.7 ,0.469,0.1,0.4,0.308,3.5,7.3 ,0.479,0.478,2.4,3.0 ,0.8  ,1.7,2.3 ,4.0 ,1.4 ,1.8,0.6,1.6,2.4,9.8
9  ,Morris Almond      ,SG   ,26.0,WAS,4.0 ,0.0 ,16.8,1.5 ,4.3 ,0.353,0.3,0.8,0.333,1.3,3.5 ,0.357,0.382,0.3,0.8 ,0.333,0.3,1.8 ,2.0 ,0.5 ,1.8,0.0,0.3,1.5,3.5
10 ,Al-Farouq Aminu    ,SF   ,21.0,NOH,66.0,21.0,22.4,2.3 ,5.5 ,0.411,0.2,0.7,0.277,2.1,4.8 ,0.431,0.429,1.3,1.7 ,0.754,1.4,3.2 ,4.7 ,1.0 ,0.9,0.5,1.4,2.1,6.0
13 ,Alan Anderson      ,SF   ,29.0,TOR,17.0,12.0,27.1,3.2 ,8.4 ,0.387,1.4,3.6,0.393,1.8,4.8 ,0.383,0.472,1.7,2.0 ,0.853,0.5,1.5 ,2.0 ,1.5 ,0.3,0.2,1.5,2.1,9.6
14 ,James Anderson     ,SG   ,22.0,SAS,51.0,2.0 ,11.8,1.3 ,3.4 ,0.379,0.4,1.3,0.279,0.9,2.1 ,0.443,0.434,0.8,1.0 ,0.75 ,0.3,1.2 ,1.5 ,0.8 ,0.2,0.0,0.6,0.7,3.7
15 ,Ryan Anderson      ,PF   ,23.0,ORL,61.0,61.0,32.2,5.4 ,12.4,0.439,2.7,6.9,0.393,2.7,5.5 ,0.496,0.548,2.5,2.8 ,0.877,3.7,4.0 ,7.7 ,0.9 ,0.8,0.4,0.9,2.4,16.1
16 ,Carmelo Anthony    ,SF   ,27.0,NYK,55.0,55.0,34.1,8.0 ,18.6,0.43 ,1.2,3.7,0.335,6.8,14.9,0.454,0.463,5.4,6.7 ,0.804,1.6,4.7 ,6.3 ,3.6 ,1.1,0.4,2.6,2.8,22.6
