   ,Player                ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Quincy Acy            ,PF   ,22.0,TOR,29.0,0.0 ,11.8,1.4 ,2.6 ,0.56 ,0.0,0.1,0.5  ,1.4,2.5 ,0.562,0.567,1.1,1.3 ,0.816,1.0,1.6 ,2.7 ,0.4 ,0.4,0.5,0.6,1.8,4.0
1  ,Jeff Adrien           ,PF   ,26.0,CHA,52.0,5.0 ,13.7,1.4 ,3.2 ,0.429,0.0,0.0,0.0  ,1.4,3.2 ,0.434,0.429,1.3,1.9 ,0.65 ,1.3,2.5 ,3.8 ,0.7 ,0.3,0.5,0.6,1.5,4.0
2  ,Arron Afflalo         ,SF   ,27.0,ORL,64.0,64.0,36.0,6.2 ,14.1,0.439,1.1,3.8,0.3  ,5.1,10.4,0.489,0.478,3.0,3.5 ,0.857,0.5,3.3 ,3.7 ,3.2 ,0.6,0.2,2.2,2.1,16.5
7  ,LaMarcus Aldridge     ,PF   ,27.0,POR,74.0,74.0,37.7,8.6 ,17.8,0.484,0.0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7 ,0.81 ,2.4,6.7 ,9.1 ,2.6 ,0.8,1.2,1.9,2.5,21.1
8  ,Lavoy Allen           ,C    ,23.0,PHI,79.0,37.0,21.1,2.6 ,5.7 ,0.454,0.0,0.0,0.0  ,2.6,5.7 ,0.455,0.454,0.5,0.8 ,0.717,2.0,3.0 ,5.0 ,0.9 ,0.3,0.7,0.7,2.3,5.8
9  ,Ray Allen*            ,SG   ,37.0,MIA,79.0,0.0 ,25.8,3.7 ,8.2 ,0.449,1.8,4.2,0.419,1.9,4.0 ,0.48 ,0.555,1.8,2.0 ,0.886,0.5,2.2 ,2.7 ,1.7 ,0.8,0.2,1.3,1.6,10.9
10 ,Tony Allen            ,SG   ,31.0,MEM,79.0,79.0,26.7,3.6 ,8.1 ,0.445,0.0,0.3,0.125,3.6,7.8 ,0.458,0.447,1.7,2.4 ,0.717,1.5,3.1 ,4.6 ,1.2 ,1.5,0.6,1.2,2.7,8.9
11 ,Al-Farouq Aminu       ,SF   ,22.0,NOH,76.0,71.0,27.2,3.0 ,6.2 ,0.475,0.1,0.3,0.211,2.9,6.0 ,0.486,0.479,1.3,1.8 ,0.737,1.8,5.9 ,7.7 ,1.4 ,1.2,0.7,1.5,2.0,7.3
16 ,Chris Andersen        ,C    ,34.0,MIA,42.0,0.0 ,14.9,1.7 ,2.9 ,0.577,0.0,0.1,0.667,1.6,2.9 ,0.575,0.585,1.5,2.2 ,0.677,1.4,2.7 ,4.1 ,0.4 ,0.4,1.0,0.6,2.1,4.9
17 ,Alan Anderson         ,SF   ,30.0,TOR,65.0,2.0 ,23.0,3.6 ,9.5 ,0.383,1.5,4.4,0.333,2.2,5.1 ,0.426,0.46 ,1.9,2.3 ,0.857,0.5,1.8 ,2.3 ,1.6 ,0.7,0.1,1.2,2.0,10.7
