   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Quincy Acy              ,SF   ,23.0,TOT,63.0,0.0 ,13.4,1.0 ,2.2 ,0.468,0.1,0.2,0.267,1.0,2.0 ,0.492,0.482,0.6,0.8,0.66 ,1.1,2.3,3.4 ,0.4 ,0.4,0.4,0.5,1.9,2.7
7  ,Arron Afflalo           ,SG   ,28.0,ORL,73.0,73.0,35.0,6.4 ,13.8,0.459,1.8,4.1,0.427,4.6,9.7 ,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6 ,3.4 ,0.5,0.0,2.0,1.9,18.2
8  ,Alexis Ajinça           ,C    ,25.0,NOP,56.0,30.0,17.0,2.4 ,4.4 ,0.546,0.0,0.0,0.0  ,2.4,4.4 ,0.548,0.546,1.0,1.2,0.836,1.7,3.3,4.9 ,0.7 ,0.4,0.8,1.1,3.3,5.9
10 ,LaMarcus Aldridge       ,PF   ,28.0,POR,69.0,69.0,36.2,9.4 ,20.6,0.458,0.0,0.2,0.2  ,9.4,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6 ,0.9,1.0,1.8,2.1,23.2
11 ,Lavoy Allen             ,PF   ,24.0,TOT,65.0,2.0 ,16.5,2.1 ,4.6 ,0.447,0.0,0.2,0.154,2.0,4.4 ,0.46 ,0.45 ,0.5,0.8,0.66 ,1.8,3.0,4.8 ,1.1 ,0.4,0.5,0.7,1.9,4.7
14 ,Ray Allen*              ,SG   ,38.0,MIA,73.0,9.0 ,26.5,3.3 ,7.4 ,0.442,1.6,4.2,0.375,1.7,3.2 ,0.53 ,0.549,1.4,1.6,0.905,0.3,2.5,2.8 ,2.0 ,0.7,0.1,1.2,1.6,9.6
15 ,Tony Allen              ,SG   ,32.0,MEM,55.0,28.0,23.2,3.7 ,7.5 ,0.494,0.2,0.9,0.234,3.5,6.7 ,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8 ,1.7 ,1.6,0.3,1.6,2.2,9.0
16 ,Al-Farouq Aminu         ,SF   ,23.0,NOP,80.0,65.0,25.6,2.9 ,6.2 ,0.474,0.2,0.6,0.271,2.8,5.6 ,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2 ,1.4 ,1.0,0.5,1.1,1.8,7.2
20 ,Chris Andersen          ,C    ,35.0,MIA,72.0,0.0 ,19.4,2.5 ,3.8 ,0.644,0.0,0.2,0.25 ,2.4,3.7 ,0.662,0.649,1.7,2.3,0.71 ,1.8,3.5,5.3 ,0.3 ,0.4,1.3,0.7,2.3,6.6
21 ,Alan Anderson           ,SF   ,31.0,BRK,78.0,26.0,22.7,2.5 ,6.2 ,0.4  ,1.1,3.2,0.339,1.4,3.0 ,0.464,0.487,1.2,1.5,0.78 ,0.5,1.7,2.2 ,1.0 ,0.6,0.1,0.8,1.9,7.2
22 ,James Anderson          ,SG   ,24.0,PHI,80.0,62.0,28.9,3.9 ,9.0 ,0.431,1.4,4.4,0.328,2.4,4.6 ,0.53 ,0.511,1.0,1.3,0.726,0.7,3.0,3.8 ,1.9 ,0.9,0.4,1.3,1.9,10.1
23 ,Ryan Anderson           ,PF   ,25.0,NOP,22.0,14.0,36.1,7.0 ,16.1,0.438,3.0,7.5,0.409,4.0,8.6 ,0.463,0.532,2.7,2.8,0.952,3.0,3.5,6.5 ,0.8 ,0.5,0.3,0.9,2.1,19.8
24 ,Giannis Antetokounmpo   ,SF   ,19.0,MIL,77.0,23.0,24.6,2.2 ,5.4 ,0.414,0.5,1.5,0.347,1.7,3.9 ,0.44 ,0.463,1.8,2.6,0.683,1.0,3.4,4.4 ,1.9 ,0.8,0.8,1.6,2.2,6.8
25 ,Carmelo Anthony         ,PF   ,29.0,NYK,77.0,77.0,38.7,9.6 ,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1 ,3.1 ,1.2,0.7,2.6,2.9,27.4
29 ,Pero Antić              ,C    ,31.0,ATL,50.0,26.0,18.5,2.5 ,5.9 ,0.418,1.1,3.4,0.327,1.3,2.5 ,0.545,0.514,1.0,1.3,0.758,1.1,3.0,4.2 ,1.2 ,0.4,0.2,1.1,2.5,7.0
31 ,Trevor Ariza            ,SF   ,28.0,WAS,77.0,77.0,35.4,5.1 ,11.1,0.456,2.3,5.7,0.407,2.7,5.3 ,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2 ,2.5 ,1.6,0.3,1.7,2.3,14.4
33 ,Darrell Arthur          ,SF   ,25.0,DEN,68.0,1.0 ,17.1,2.4 ,6.0 ,0.395,0.4,0.9,0.375,2.0,5.1 ,0.399,0.424,0.8,0.9,0.855,0.8,2.3,3.1 ,0.9 ,0.6,0.7,0.9,2.7,5.9
35 ,D.J. Augustin           ,PG   ,26.0,TOT,71.0,9.0 ,27.3,4.2 ,10.1,0.415,1.9,4.7,0.401,2.3,5.4 ,0.427,0.508,2.8,3.2,0.885,0.2,1.6,1.8 ,4.4 ,0.7,0.0,1.8,2.1,13.1
41 ,Luke Babbitt            ,PF   ,24.0,NOP,27.0,2.0 ,17.5,2.2 ,5.7 ,0.39 ,1.3,3.5,0.379,0.9,2.2 ,0.407,0.506,0.5,0.7,0.778,0.7,2.6,3.3 ,1.1 ,0.3,0.4,0.6,1.9,6.3
42 ,Leandro Barbosa         ,PG   ,31.0,PHO,20.0,0.0 ,18.4,2.8 ,6.6 ,0.427,0.4,1.3,0.28 ,2.5,5.3 ,0.462,0.454,1.6,2.0,0.795,0.3,1.6,1.9 ,1.6 ,0.4,0.2,1.0,1.5,7.5
43 ,J.J. Barea              ,PG   ,29.0,MIN,79.0,1.0 ,18.6,3.2 ,8.3 ,0.387,0.9,2.9,0.316,2.3,5.4 ,0.426,0.443,1.0,1.3,0.79 ,0.2,1.7,1.9 ,3.8 ,0.3,0.0,1.6,1.6,8.4
44 ,Andrea Bargnani         ,C    ,28.0,NYK,42.0,39.0,29.9,5.3 ,12.0,0.442,0.7,2.6,0.278,4.6,9.4 ,0.487,0.472,2.0,2.4,0.824,1.6,3.6,5.3 ,1.1 ,0.3,1.2,1.4,2.4,13.3
45 ,Harrison Barnes         ,SF   ,21.0,GSW,78.0,24.0,28.3,3.5 ,8.7 ,0.399,0.8,2.4,0.347,2.6,6.3 ,0.419,0.448,1.7,2.3,0.718,0.8,3.1,4.0 ,1.5 ,0.8,0.3,1.1,2.0,9.5
46 ,Matt Barnes             ,SF   ,33.0,LAC,63.0,40.0,27.5,3.7 ,8.4 ,0.438,1.5,4.5,0.343,2.1,3.9 ,0.549,0.53 ,1.0,1.4,0.733,1.0,3.7,4.6 ,2.0 ,0.9,0.4,1.3,2.9,9.9
47 ,Will Barton             ,SG   ,23.0,POR,41.0,0.0 ,9.4 ,1.6 ,3.8 ,0.417,0.2,0.8,0.303,1.3,3.0 ,0.447,0.449,0.6,0.8,0.813,0.4,1.4,1.8 ,0.8 ,0.2,0.2,0.4,0.8,4.0
48 ,Brandon Bass            ,PF   ,28.0,BOS,82.0,73.0,27.6,4.3 ,8.8 ,0.486,0.0,0.1,0.333,4.3,8.8 ,0.487,0.487,2.5,2.9,0.858,2.0,3.8,5.7 ,1.1 ,0.4,0.9,1.2,2.3,11.1
49 ,Shane Battier           ,SF   ,35.0,MIA,73.0,56.0,20.1,1.4 ,3.8 ,0.382,1.0,2.9,0.348,0.4,0.9 ,0.492,0.515,0.2,0.3,0.652,0.5,1.4,1.9 ,0.9 ,0.7,0.5,0.3,1.7,4.1
50 ,Nicolas Batum           ,SF   ,25.0,POR,82.0,82.0,36.0,4.6 ,10.0,0.465,1.8,4.9,0.361,2.9,5.1 ,0.566,0.554,2.0,2.5,0.803,1.4,6.0,7.5 ,5.1 ,0.9,0.7,2.5,1.9,13.0
51 ,Jerryd Bayless          ,PG   ,25.0,TOT,72.0,19.0,23.4,3.4 ,8.6 ,0.402,1.1,2.9,0.358,2.4,5.6 ,0.425,0.464,1.3,1.6,0.797,0.3,1.7,2.0 ,2.7 ,0.8,0.1,1.1,2.2,9.3
56 ,Kent Bazemore           ,SG   ,24.0,TOT,67.0,15.0,13.6,2.2 ,5.1 ,0.429,0.6,1.9,0.336,1.6,3.2 ,0.484,0.491,1.0,1.6,0.606,0.1,1.6,1.7 ,1.4 ,0.6,0.2,1.2,1.5,6.0
59 ,Bradley Beal            ,SG   ,20.0,WAS,73.0,73.0,34.7,6.6 ,15.7,0.419,1.9,4.7,0.402,4.7,11.0,0.426,0.479,2.0,2.6,0.788,0.7,3.0,3.7 ,3.3 ,1.0,0.2,1.8,2.1,17.1
60 ,Michael Beasley         ,SF   ,25.0,MIA,55.0,2.0 ,15.1,3.2 ,6.5 ,0.499,0.4,1.0,0.389,2.8,5.5 ,0.518,0.528,1.1,1.4,0.772,0.6,2.6,3.1 ,0.8 ,0.4,0.4,1.0,1.7,7.9
61 ,Marco Belinelli         ,SF   ,27.0,SAS,80.0,25.0,25.2,4.2 ,8.7 ,0.485,1.6,3.7,0.43 ,2.6,5.0 ,0.525,0.576,1.4,1.6,0.847,0.2,2.6,2.8 ,2.2 ,0.6,0.1,1.2,1.6,11.4
62 ,Anthony Bennett         ,PF   ,20.0,CLE,52.0,0.0 ,12.8,1.5 ,4.3 ,0.356,0.3,1.0,0.245,1.3,3.3 ,0.39 ,0.384,0.8,1.3,0.638,0.9,2.0,3.0 ,0.3 ,0.4,0.2,0.9,1.8,4.2
63 ,Patrick Beverley        ,PG   ,25.0,HOU,56.0,55.0,31.3,3.6 ,8.6 ,0.414,1.6,4.6,0.361,1.9,4.0 ,0.473,0.509,1.5,1.8,0.814,1.3,2.2,3.5 ,2.7 ,1.4,0.4,1.2,3.1,10.2
65 ,Chauncey Billups        ,SG   ,37.0,DET,19.0,7.0 ,16.3,1.3 ,4.2 ,0.304,0.7,2.5,0.292,0.5,1.6 ,0.323,0.392,0.5,0.6,0.833,0.2,1.3,1.5 ,2.2 ,0.4,0.1,1.3,1.3,3.8
67 ,DeJuan Blair            ,PF   ,24.0,DAL,78.0,13.0,15.6,2.7 ,5.0 ,0.534,0.0,0.0,0.0  ,2.7,5.0 ,0.537,0.534,1.0,1.6,0.636,1.8,2.9,4.7 ,0.9 ,0.8,0.3,1.0,2.5,6.4
68 ,Steve Blake             ,PG   ,33.0,TOT,55.0,28.0,27.2,2.4 ,6.4 ,0.377,1.4,3.8,0.376,1.0,2.6 ,0.378,0.489,0.6,0.8,0.767,0.2,2.7,2.9 ,5.6 ,1.0,0.1,1.9,1.5,6.9
71 ,Andray Blatche          ,PF   ,27.0,BRK,73.0,7.0 ,22.2,4.4 ,9.2 ,0.476,0.2,0.7,0.278,4.2,8.5 ,0.494,0.487,2.2,3.0,0.742,1.6,3.7,5.3 ,1.5 ,1.0,0.5,1.5,2.3,11.2
72 ,Eric Bledsoe            ,PG   ,24.0,PHO,43.0,40.0,32.9,6.2 ,12.9,0.477,1.2,3.3,0.357,5.0,9.7 ,0.517,0.522,4.3,5.5,0.772,0.6,4.1,4.7 ,5.5 ,1.6,0.3,3.3,2.3,17.7
73 ,Vander Blue             ,SG   ,21.0,BOS,3.0 ,0.0 ,5.0 ,0.7 ,1.3 ,0.5  ,0.0,0.3,0.0  ,0.7,1.0 ,0.667,0.5  ,0.3,1.7,0.2  ,0.0,1.0,1.0 ,0.3 ,0.0,0.0,0.7,0.3,1.7
76 ,Matt Bonner             ,PF   ,33.0,SAS,61.0,0.0 ,11.3,1.2 ,2.7 ,0.445,0.7,1.6,0.429,0.5,1.1 ,0.47 ,0.573,0.1,0.2,0.75 ,0.3,1.9,2.1 ,0.5 ,0.2,0.2,0.3,0.8,3.2
77 ,Trevor Booker           ,PF   ,26.0,WAS,72.0,45.0,21.6,3.1 ,5.6 ,0.551,0.0,0.0,0.0  ,3.1,5.6 ,0.554,0.551,0.7,1.1,0.618,2.1,3.2,5.3 ,0.9 ,0.6,0.6,0.8,1.8,6.8
78 ,Carlos Boozer           ,PF   ,32.0,CHI,76.0,76.0,28.2,5.9 ,12.9,0.456,0.0,0.0,0.0  ,5.9,12.9,0.457,0.456,1.9,2.5,0.767,1.8,6.5,8.3 ,1.6 ,0.7,0.3,2.0,2.8,13.7
79 ,Chris Bosh*             ,C    ,29.0,MIA,79.0,79.0,32.0,6.2 ,12.1,0.516,0.9,2.8,0.339,5.3,9.3 ,0.569,0.555,2.8,3.4,0.82 ,1.2,5.4,6.6 ,1.1 ,1.0,1.0,1.6,2.4,16.2
81 ,Avery Bradley           ,SG   ,23.0,BOS,60.0,58.0,30.9,6.0 ,13.8,0.438,1.3,3.3,0.395,4.7,10.4,0.451,0.485,1.5,1.9,0.804,0.8,3.0,3.8 ,1.4 ,1.1,0.2,1.6,2.4,14.9
82 ,Elton Brand             ,C    ,34.0,ATL,73.0,15.0,19.4,2.5 ,4.5 ,0.539,0.0,0.0,0.0  ,2.5,4.5 ,0.542,0.539,0.8,1.3,0.649,1.3,3.6,4.9 ,1.0 ,0.5,1.2,0.8,2.6,5.7
83 ,Corey Brewer            ,SF   ,27.0,MIN,81.0,81.0,32.2,4.8 ,10.0,0.481,0.7,2.6,0.28 ,4.1,7.4 ,0.552,0.517,2.0,2.8,0.718,0.8,1.8,2.6 ,1.7 ,1.9,0.4,1.3,2.6,12.3
