   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Quincy Acy              ,PF   ,24.0,NYK,68.0,22.0,18.9,2.2,4.9 ,0.459,0.3,0.9,0.3  ,2.0,4.0 ,0.494,0.486,1.1,1.4 ,0.784,1.2,3.3 ,4.4 ,1.0 ,0.4,0.3,0.9,2.2,5.9
1  ,Jordan Adams            ,SG   ,20.0,MEM,30.0,0.0 ,8.3 ,1.2,2.9 ,0.407,0.3,0.8,0.4  ,0.8,2.0 ,0.41 ,0.465,0.5,0.8 ,0.609,0.3,0.6 ,0.9 ,0.5 ,0.5,0.2,0.5,0.8,3.1
2  ,Steven Adams            ,C    ,21.0,OKC,70.0,67.0,25.3,3.1,5.7 ,0.544,0.0,0.0,0.0  ,3.1,5.7 ,0.547,0.544,1.5,2.9 ,0.502,2.8,4.6 ,7.5 ,0.9 ,0.5,1.2,1.4,3.2,7.7
4  ,Arron Afflalo           ,SG   ,29.0,TOT,78.0,72.0,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1 ,0.466,0.491,2.1,2.5 ,0.843,0.3,2.8 ,3.2 ,1.7 ,0.5,0.1,1.5,2.1,13.3
8  ,Furkan Aldemir          ,PF   ,23.0,PHI,41.0,9.0 ,13.2,1.0,1.9 ,0.513,0.0,0.1,0.0  ,1.0,1.8 ,0.548,0.513,0.3,0.7 ,0.481,1.9,2.4 ,4.3 ,0.7 ,0.4,0.4,0.4,2.3,2.3
10 ,LaMarcus Aldridge       ,PF   ,29.0,POR,71.0,71.0,35.4,9.3,19.9,0.466,0.5,1.5,0.352,8.8,18.5,0.475,0.479,4.3,5.1 ,0.845,2.5,7.7 ,10.2,1.7 ,0.7,1.0,1.7,1.8,23.4
12 ,Tony Allen              ,SG   ,33.0,MEM,63.0,41.0,26.2,3.6,7.2 ,0.495,0.2,0.5,0.345,3.4,6.8 ,0.505,0.505,1.3,2.0 ,0.627,1.6,2.8 ,4.4 ,1.4 ,2.0,0.5,1.4,2.6,8.6
13 ,Al-Farouq Aminu         ,SF   ,24.0,DAL,74.0,3.0 ,18.5,2.0,4.8 ,0.412,0.5,1.7,0.274,1.5,3.1 ,0.485,0.459,1.1,1.6 ,0.712,1.5,3.1 ,4.6 ,0.8 ,0.9,0.8,0.7,1.9,5.6
14 ,Lou Amundson            ,PF   ,32.0,TOT,53.0,35.0,17.7,2.1,4.8 ,0.427,0.0,0.0,0.0  ,2.1,4.8 ,0.429,0.427,0.8,1.6 ,0.471,1.8,3.3 ,5.1 ,1.3 ,0.4,1.0,1.2,2.4,4.9
17 ,Chris Andersen          ,C    ,36.0,MIA,60.0,20.0,18.9,2.0,3.5 ,0.58 ,0.1,0.2,0.308,1.9,3.2 ,0.598,0.589,1.3,1.9 ,0.667,1.3,3.7 ,5.0 ,0.7 ,0.4,1.0,0.7,1.5,5.3
18 ,Alan Anderson           ,SG   ,32.0,BRK,74.0,19.0,23.6,2.6,5.9 ,0.443,1.0,2.8,0.348,1.6,3.1 ,0.53 ,0.526,1.1,1.4 ,0.812,0.4,2.3 ,2.8 ,1.1 ,0.8,0.1,0.8,2.0,7.4
19 ,Kyle Anderson           ,SF   ,21.0,SAS,33.0,8.0 ,10.8,0.9,2.7 ,0.348,0.1,0.3,0.273,0.8,2.4 ,0.359,0.365,0.3,0.4 ,0.643,0.2,2.0 ,2.2 ,0.8 ,0.5,0.2,0.3,0.8,2.2
20 ,Ryan Anderson           ,PF   ,26.0,NOP,61.0,5.0 ,27.5,4.8,12.0,0.399,2.0,5.9,0.34 ,2.8,6.1 ,0.457,0.483,2.1,2.5 ,0.854,1.8,3.1 ,4.8 ,0.9 ,0.5,0.3,1.0,1.9,13.7
21 ,Giannis Antetokounmpo   ,SG   ,20.0,MIL,81.0,71.0,31.4,4.7,9.6 ,0.491,0.1,0.5,0.159,4.6,9.1 ,0.511,0.496,3.2,4.3 ,0.741,1.2,5.5 ,6.7 ,2.6 ,0.9,1.0,2.1,3.1,12.7
22 ,Carmelo Anthony         ,SF   ,30.0,NYK,40.0,40.0,35.7,9.0,20.2,0.444,1.5,4.5,0.341,7.4,15.7,0.474,0.482,4.7,5.9 ,0.797,1.8,4.8 ,6.6 ,3.1 ,1.0,0.4,2.2,2.2,24.2
25 ,Pero Antić              ,C    ,32.0,ATL,63.0,3.0 ,16.5,1.7,4.7 ,0.365,0.8,2.7,0.301,0.9,2.0 ,0.455,0.453,1.4,2.0 ,0.715,0.9,2.1 ,3.0 ,0.8 ,0.3,0.2,0.8,2.1,5.7
26 ,Trevor Ariza            ,SF   ,29.0,HOU,82.0,82.0,35.7,4.5,11.1,0.402,2.4,6.8,0.35 ,2.1,4.3 ,0.485,0.509,1.5,1.7 ,0.853,0.9,4.7 ,5.6 ,2.5 ,1.9,0.2,1.7,2.3,12.8
