   ,Player                  ,Pos ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA ,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Álex Abrines            ,SG  ,23.0,OKC,68.0,6.0 ,15.5,2.0 ,5.0 ,0.393,1.4,3.6 ,0.381,0.6,1.4 ,0.426,0.531,0.6,0.7 ,0.898,0.3,1.0 ,1.3 ,0.6 ,0.5,0.1,0.5,1.7,6.0
1  ,Quincy Acy              ,PF  ,26.0,TOT,38.0,1.0 ,14.7,1.8 ,4.5 ,0.412,1.0,2.4 ,0.411,0.9,2.1 ,0.413,0.521,1.2,1.6 ,0.75 ,0.5,2.5 ,3.0 ,0.5 ,0.4,0.4,0.6,1.8,5.8
4  ,Steven Adams            ,C   ,23.0,OKC,80.0,80.0,29.9,4.7 ,8.2 ,0.571,0.0,0.0 ,0.0  ,4.7,8.2 ,0.572,0.571,2.0,3.2 ,0.611,3.5,4.2 ,7.7 ,1.1 ,1.1,1.0,1.8,2.4,11.3
5  ,Arron Afflalo           ,SG  ,31.0,SAC,61.0,45.0,25.9,3.0 ,6.9 ,0.44 ,1.0,2.5 ,0.411,2.0,4.4 ,0.457,0.514,1.4,1.5 ,0.892,0.1,1.9 ,2.0 ,1.3 ,0.3,0.1,0.7,1.7,8.4
6  ,Alexis Ajinça           ,C   ,28.0,NOP,39.0,15.0,15.0,2.3 ,4.6 ,0.5  ,0.0,0.1 ,0.0  ,2.3,4.5 ,0.511,0.5  ,0.7,1.0 ,0.725,1.2,3.4 ,4.5 ,0.3 ,0.5,0.6,0.8,2.0,5.3
8  ,LaMarcus Aldridge       ,PF  ,31.0,SAS,72.0,72.0,32.4,6.9 ,14.6,0.477,0.3,0.8 ,0.411,6.6,13.8,0.48 ,0.488,3.1,3.8 ,0.812,2.4,4.9 ,7.3 ,1.9 ,0.6,1.2,1.4,2.2,17.3
9  ,Lavoy Allen             ,PF  ,27.0,IND,61.0,5.0 ,14.3,1.3 ,2.8 ,0.458,0.0,0.0 ,0.0  ,1.3,2.7 ,0.461,0.458,0.4,0.5 ,0.697,1.7,1.9 ,3.6 ,0.9 ,0.3,0.4,0.5,1.3,2.9
10 ,Tony Allen              ,SG  ,35.0,MEM,71.0,66.0,27.0,3.9 ,8.4 ,0.461,0.2,0.8 ,0.278,3.6,7.6 ,0.479,0.473,1.1,1.8 ,0.615,2.3,3.2 ,5.5 ,1.4 ,1.6,0.4,1.4,2.5,9.1
11 ,Al-Farouq Aminu         ,PF  ,26.0,POR,61.0,25.0,29.1,3.0 ,7.6 ,0.393,1.1,3.5 ,0.33 ,1.9,4.2 ,0.445,0.468,1.6,2.2 ,0.706,1.3,6.1 ,7.4 ,1.6 ,1.0,0.7,1.5,1.7,8.7
12 ,Chris Andersen          ,C   ,38.0,CLE,12.0,0.0 ,9.5 ,0.8 ,1.8 ,0.409,0.0,0.3 ,0.0  ,0.8,1.6 ,0.474,0.409,0.8,1.2 ,0.714,0.8,1.8 ,2.6 ,0.4 ,0.4,0.6,0.4,1.7,2.3
13 ,Alan Anderson           ,SF  ,34.0,LAC,30.0,0.0 ,10.3,1.0 ,2.7 ,0.375,0.5,1.5 ,0.318,0.5,1.2 ,0.444,0.463,0.4,0.5 ,0.75 ,0.1,0.7 ,0.8 ,0.4 ,0.1,0.0,0.2,1.2,2.9
14 ,Justin Anderson         ,SF  ,23.0,TOT,75.0,10.0,16.4,2.5 ,5.9 ,0.424,0.8,2.6 ,0.299,1.7,3.3 ,0.522,0.49 ,1.4,1.7 ,0.791,0.9,2.3 ,3.3 ,0.9 ,0.5,0.3,0.9,1.5,7.1
17 ,Kyle Anderson           ,SF  ,23.0,SAS,72.0,14.0,14.2,1.3 ,2.9 ,0.445,0.2,0.6 ,0.375,1.1,2.3 ,0.462,0.481,0.6,0.8 ,0.789,0.5,2.4 ,2.9 ,1.3 ,0.7,0.4,0.5,0.9,3.4
18 ,Ryan Anderson           ,PF  ,28.0,HOU,72.0,72.0,29.4,4.5 ,10.7,0.418,2.8,7.0 ,0.403,1.7,3.7 ,0.446,0.55 ,1.8,2.1 ,0.86 ,1.6,3.0 ,4.6 ,0.9 ,0.4,0.2,0.8,2.0,13.6
19 ,Giannis Antetokounmpo   ,SF  ,22.0,MIL,80.0,80.0,35.6,8.2 ,15.7,0.521,0.6,2.3 ,0.272,7.6,13.5,0.563,0.541,5.9,7.7 ,0.77 ,1.8,7.0 ,8.8 ,5.4 ,1.6,1.9,2.9,3.1,22.9
20 ,Carmelo Anthony         ,SF  ,32.0,NYK,74.0,74.0,34.3,8.1 ,18.8,0.433,2.0,5.7 ,0.359,6.1,13.1,0.466,0.488,4.1,4.9 ,0.833,0.8,5.1 ,5.9 ,2.9 ,0.8,0.5,2.1,2.7,22.4
22 ,Trevor Ariza            ,SF  ,31.0,HOU,80.0,80.0,34.7,4.1 ,10.0,0.409,2.4,6.9 ,0.344,1.7,3.0 ,0.556,0.528,1.2,1.6 ,0.738,0.7,5.1 ,5.7 ,2.2 ,1.8,0.3,0.9,1.7,11.7
23 ,Darrell Arthur          ,PF  ,28.0,DEN,41.0,7.0 ,15.6,2.3 ,5.2 ,0.442,1.3,2.9 ,0.453,1.0,2.4 ,0.429,0.565,0.5,0.5 ,0.864,0.6,2.1 ,2.7 ,1.0 ,0.5,0.5,0.9,1.9,6.4
26 ,D.J. Augustin           ,PG  ,29.0,ORL,78.0,20.0,19.7,2.5 ,6.6 ,0.377,1.2,3.5 ,0.347,1.3,3.1 ,0.412,0.469,1.7,2.1 ,0.814,0.2,1.3 ,1.5 ,2.7 ,0.4,0.0,1.2,1.3,7.9
27 ,Luke Babbitt            ,SF  ,27.0,MIA,68.0,55.0,15.7,1.7 ,4.1 ,0.402,1.3,3.1 ,0.414,0.4,1.0 ,0.366,0.557,0.2,0.2 ,0.733,0.2,1.9 ,2.1 ,0.5 ,0.3,0.2,0.4,1.7,4.8
