   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA ,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Precious Achiuwa        ,PF   ,21.0,MIA,61.0,4.0 ,12.1,2.0 ,3.7 ,0.544,0.0,0.0 ,0.0  ,2.0 ,3.7 ,0.546,0.544,0.9,1.8 ,0.509,1.2,2.2 ,3.4 ,0.5 ,0.3,0.5,0.7,1.5,5.0
2  ,Steven Adams            ,C    ,27.0,NOP,58.0,58.0,27.7,3.3 ,5.3 ,0.614,0.0,0.1 ,0.0  ,3.3 ,5.3 ,0.62 ,0.614,1.0,2.3 ,0.444,3.7,5.2 ,8.9 ,1.9 ,0.9,0.7,1.3,1.9,7.6
3  ,Bam Adebayo             ,C    ,23.0,MIA,64.0,64.0,33.5,7.1 ,12.5,0.57 ,0.0,0.1 ,0.25 ,7.1 ,12.4,0.573,0.571,4.4,5.5 ,0.799,2.2,6.7 ,9.0 ,5.4 ,1.2,1.0,2.6,2.3,18.7
4  ,LaMarcus Aldridge       ,C    ,35.0,TOT,26.0,23.0,25.9,5.4 ,11.4,0.473,1.2,3.1 ,0.388,4.2 ,8.3 ,0.505,0.525,1.6,1.8 ,0.872,0.7,3.8 ,4.5 ,1.9 ,0.4,1.1,1.0,1.8,13.5
7  ,Ty-Shon Alexander       ,SG   ,22.0,PHO,15.0,0.0 ,3.1 ,0.2 ,0.8 ,0.25 ,0.1,0.6 ,0.222,0.1 ,0.2 ,0.333,0.333,0.1,0.1 ,0.5  ,0.1,0.5 ,0.7 ,0.4 ,0.0,0.1,0.2,0.1,0.6
8  ,Nickeil Alexander-Walker,SG   ,22.0,NOP,46.0,13.0,21.9,4.2 ,10.0,0.419,1.7,4.8 ,0.347,2.5 ,5.2 ,0.485,0.502,1.0,1.4 ,0.727,0.3,2.8 ,3.1 ,2.2 ,1.0,0.5,1.5,1.9,11.0
9  ,Grayson Allen           ,SG   ,25.0,MEM,50.0,38.0,25.2,3.5 ,8.3 ,0.418,2.1,5.5 ,0.391,1.3 ,2.8 ,0.471,0.547,1.6,1.8 ,0.868,0.4,2.8 ,3.2 ,2.2 ,0.9,0.2,1.0,1.4,10.6
10 ,Jarrett Allen           ,C    ,22.0,TOT,63.0,45.0,29.6,4.7 ,7.7 ,0.618,0.1,0.3 ,0.316,4.6 ,7.3 ,0.631,0.624,3.2,4.6 ,0.703,3.1,6.9 ,10.0,1.7 ,0.5,1.4,1.6,1.5,12.8
13 ,Al-Farouq Aminu         ,PF   ,30.0,TOT,23.0,14.0,18.9,1.7 ,4.3 ,0.384,0.3,1.6 ,0.216,1.3 ,2.7 ,0.484,0.424,0.8,1.0 ,0.818,1.0,3.8 ,4.8 ,1.3 ,0.8,0.4,1.2,1.3,4.4
16 ,Kyle Anderson           ,PF   ,27.0,MEM,69.0,69.0,27.3,4.5 ,9.5 ,0.468,1.4,3.8 ,0.36 ,3.1 ,5.8 ,0.539,0.54 ,2.1,2.7 ,0.783,0.8,5.0 ,5.7 ,3.6 ,1.2,0.8,1.2,1.7,12.4
