,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,C,22.0,TOR,27.0,17.0,24.4,3.3,8.2,0.403,0.3,1.2,0.281,3.0,7.0,0.423,0.423,1.1,1.9,0.569,2.3,5.2,7.5,1.5,0.6,0.6,1.1,2.2,8.0
2,Bam Adebayo,C,24.0,MIA,18.0,18.0,32.9,7.0,13.5,0.519,0.0,0.1,0.0,7.0,13.4,0.521,0.519,4.7,6.2,0.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
3,Santi Aldama,PF,21.0,MEM,21.0,0.0,11.3,1.5,4.0,0.381,0.2,1.6,0.118,1.3,2.4,0.56,0.405,0.5,0.9,0.579,1.0,1.8,2.8,0.6,0.1,0.3,0.4,1.1,3.8
4,LaMarcus Aldridge,C,36.0,BRK,29.0,10.0,22.9,5.7,10.1,0.565,0.4,1.2,0.343,5.3,8.9,0.595,0.586,1.5,1.8,0.846,1.5,4.1,5.6,0.8,0.4,1.1,0.9,1.7,13.3
5,Nickeil Alexander-Walker,SG,23.0,NOP,36.0,18.0,27.4,5.0,13.7,0.367,2.1,6.8,0.311,2.9,6.9,0.422,0.444,1.2,1.7,0.717,0.9,2.7,3.6,2.6,0.9,0.3,1.6,1.8,13.4
6,Grayson Allen,SG,26.0,MIL,36.0,35.0,28.4,4.1,9.9,0.414,2.7,7.0,0.389,1.4,2.9,0.476,0.552,1.0,1.1,0.854,0.4,2.9,3.4,1.3,0.8,0.4,0.6,1.4,11.9
7,Jarrett Allen,C,23.0,CLE,32.0,32.0,32.8,6.9,9.8,0.705,0.0,0.2,0.143,6.9,9.6,0.718,0.706,3.1,4.4,0.707,3.3,7.5,10.8,1.9,0.9,1.4,1.9,1.9,17.0
8,Jose Alvarado,PG,23.0,NOP,12.0,0.0,6.3,0.4,1.9,0.217,0.2,0.9,0.182,0.3,1.0,0.25,0.261,0.6,0.9,0.636,0.2,0.4,0.6,0.9,0.5,0.0,0.2,0.7,1.6
9,Justin Anderson,SF,28.0,TOT,6.0,0.0,12.8,1.0,3.2,0.316,0.5,2.5,0.2,0.5,0.7,0.75,0.395,1.0,1.2,0.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
12,Kyle Anderson,PF,28.0,MEM,33.0,5.0,22.4,3.2,7.3,0.432,0.7,2.1,0.353,2.4,5.2,0.462,0.481,1.1,1.6,0.66,0.8,4.4,5.3,2.5,1.0,0.5,1.0,1.5,8.1
13,Giannis Antetokounmpo,PF,27.0,MIL,33.0,33.0,32.4,10.0,18.5,0.54,1.1,3.9,0.287,8.8,14.5,0.608,0.571,7.4,10.6,0.702,1.9,9.5,11.4,5.9,1.1,1.5,3.3,3.2,28.5
