,Player,Year,All Star,All Star Starter
0,Scottie Pippen,1994,True,True
1,Shaquille O'Neal,1994,True,True
2,B.J. Armstrong,1994,True,True
3,Derrick Coleman,1994,True,True
4,Kenny Anderson,1994,True,True
5,Patrick Ewing,1994,True,False
6,Mark Price,1994,True,False
7,John Starks,1994,True,False
8,Dominique Wilkins,1994,True,False
9,Horace Grant,1994,True,False
10,Mookie Blaylock,1994,True,False
11,Charles Oakley,1994,True,False
12,Hakeem Olajuwon,1994,True,True
13,Mitch Richmond,1994,True,True
14,Shawn Kemp,1994,True,True
15,Karl Malone,1994,True,True
16,Clyde Drexler,1994,True,True
17,John Stockton,1994,True,False
18,David Robinson,1994,True,False
19,Clifford Robinson,1994,True,False
20,Danny Manning,1994,True,False
21,Gary Payton,1994,True,False
22,Latrell Sprewell,1994,True,False
23,Kevin Johnson,1994,True,False
