,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Kareem Abdul-Jabbar*,C,35,LAL,79,79,32.3,9.1,15.5,.588,0.0,0.0,.000,9.1,15.5,.589,.588,3.5,4.7,.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,23.6,.619,.002,.302,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,8.0,2.9,10.9,.205,4.0,0.5,4.5,4.2,1983
1,Alvan Adams,C,28,PHO,80,75,30.6,6.0,12.3,.486,0.0,0.0,.333,6.0,12.2,.487,.487,2.3,2.7,.829,2.0,4.8,6.9,4.7,1.4,0.9,3.0,3.6,14.2,16.8,.527,.003,.221,7.6,16.7,12.4,21.8,2.2,1.7,18.4,22.0,2.0,4.5,6.5,.128,0.8,1.7,2.5,2.8,1983
2,Mark Aguirre,SF,23,DAL,81,75,34.4,9.5,19.6,.483,0.2,0.9,.211,9.3,18.7,.496,.488,5.3,7.3,.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,3.0,24.4,20.5,.535,.048,.371,7.3,12.5,9.8,18.2,1.3,0.5,12.4,30.0,5.9,1.0,6.9,.118,3.6,-1.9,1.7,2.6,1983
3,Danny Ainge,SG,23,BOS,80,76,25.6,4.5,9.0,.496,0.1,0.4,.172,4.4,8.6,.509,.499,0.9,1.2,.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9,13.2,.519,.040,.135,4.4,6.8,5.6,16.1,2.5,0.2,11.4,16.5,2.8,2.4,5.2,.121,-1.0,1.2,0.2,1.2,1983
4,Dwight Anderson,PG,22,DEN,5,0,6.6,1.4,2.8,.500,0.0,0.0,0,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2,10.6,.571,.000,.714,0.0,6.1,3.1,11.5,1.3,0.0,21.4,26.2,0.0,0.0,0.0,.001,-4.3,-0.5,-4.8,0.0,1983
5,J.J. Anderson,SF,22,TOT,65,2,18.5,2.9,5.8,.501,0.0,0.1,.000,2.9,5.8,.507,.501,1.5,2.7,.571,1.8,2.7,4.5,1.0,1.0,0.3,1.2,2.4,7.4,13.7,.526,.011,.462,10.4,14.4,12.5,7.6,2.3,0.9,14.8,17.4,0.9,1.4,2.3,.094,-1.0,0.0,-0.9,0.3,1983
6,Richard Anderson,C,22,SDC,78,5,16.3,2.2,5.5,.404,0.1,0.2,.368,2.1,5.3,.405,.412,0.6,0.9,.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2,10.4,.437,.044,.160,9.2,15.6,12.2,12.1,2.1,1.2,16.8,16.9,-0.3,0.8,0.5,.017,-2.1,-0.5,-2.6,-0.2,1983
7,Tiny Archibald*,PG,34,BOS,66,19,27.4,3.6,8.4,.425,0.1,0.4,.208,3.5,8.0,.435,.429,3.3,4.5,.743,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5,12.3,.509,.043,.535,1.5,3.9,2.7,28.0,1.0,0.1,19.3,18.3,1.7,1.2,2.9,.077,0.0,-2.0,-2.0,0.0,1983
8,John Bagley,PG,22,CLE,68,3,14.6,2.4,5.5,.432,0.0,0.2,.000,2.4,5.3,.448,.432,0.9,1.2,.762,0.3,1.2,1.4,2.5,0.8,0.1,1.7,1.1,5.7,11.7,.471,.038,.225,1.9,9.3,5.5,25.5,2.7,0.3,22.4,22.4,-1.1,0.8,-0.2,-0.011,-2.3,-0.4,-2.7,-0.2,1983
9,James Bailey,PF,25,TOT,75,39,23.5,5.1,10.3,.497,0.0,0.0,.000,5.1,10.3,.498,.497,3.0,4.3,.702,2.3,4.0,6.3,0.9,0.6,0.8,2.6,3.6,13.3,15.6,.544,.001,.416,9.8,19.6,14.4,6.0,1.1,1.9,17.6,25.2,0.6,1.4,2.0,.055,-1.4,-1.2,-2.6,-0.3,1983
