,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Alaa Abdelnaby,PF,22,POR,5,0,2.6,0.4,1.2,.333,0.0,0.0,0,0.4,1.2,.333,.333,0.0,0.0,0,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,6.3,.333,.000,.000,8.8,18.9,13.7,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,-0.035,-2.6,-4.6,-7.3,0.0,1991
1,Mark Aguirre,SF,31,DET,15,2,26.5,6.0,11.9,.506,0.8,2.2,.364,5.2,9.7,.538,.539,2.8,3.4,.824,1.1,2.9,4.1,1.9,0.8,0.1,1.3,2.7,15.6,19.4,.584,.185,.287,4.5,12.8,8.5,12.8,1.6,0.2,9.1,24.2,1.0,0.3,1.3,.157,3.9,1.1,5.0,0.7,1991
2,Danny Ainge,SG,31,POR,16,0,17.3,2.9,6.6,.448,0.7,2.3,.306,2.3,4.3,.522,.500,1.4,1.8,.821,0.1,1.7,1.8,1.9,0.8,0.3,1.5,2.1,8.0,12.4,.546,.343,.267,0.4,12.0,6.0,17.5,2.2,1.0,17.0,21.9,0.0,0.3,0.4,.065,-0.6,0.9,0.3,0.2,1991
3,Ron Anderson,SF,32,PHI,8,0,27.9,4.4,11.0,.398,0.1,0.6,.200,4.3,10.4,.410,.403,2.1,2.4,.895,1.1,1.5,2.6,2.4,0.8,0.0,1.5,3.0,11.0,9.2,.457,.057,.216,5.2,6.5,5.9,14.5,1.4,0.0,11.1,23.0,-0.2,0.1,-0.1,-0.017,-2.8,-2.5,-5.3,-0.2,1991
4,Willie Anderson,SG,24,SAS,4,4,39.8,8.3,17.0,.485,0.5,2.5,.200,7.8,14.5,.534,.500,2.0,3.3,.615,0.5,4.3,4.8,4.8,1.5,0.5,3.3,4.0,19.0,11.8,.515,.147,.191,1.5,12.9,7.1,18.8,1.8,0.8,15.0,22.6,-0.1,0.1,0.0,.007,-1.9,0.3,-1.6,0.0,1991
5,B.J. Armstrong,PG,23,CHI,17,0,16.1,2.1,4.1,.500,0.2,0.3,.600,1.9,3.8,.492,.521,1.2,1.5,.800,0.3,1.3,1.6,2.5,1.1,0.1,0.8,0.8,5.5,17.2,.574,.071,.357,2.4,9.9,6.3,21.9,3.8,0.3,13.8,16.0,0.5,0.5,1.0,.176,1.8,2.6,4.5,0.4,1991
6,Vincent Askew,SG,24,GSW,6,0,6.8,1.0,2.5,.400,0.0,0.0,0,1.0,2.5,.400,.400,0.5,1.0,.500,0.8,1.0,1.8,0.3,0.3,0.0,0.0,1.0,2.5,12.9,.425,.000,.400,14.0,17.3,15.7,6.5,2.3,0.0,0.0,18.5,0.0,0.0,0.1,.064,-1.7,-2.2,-3.9,0.0,1991
7,Thurl Bailey,PF,29,UTA,9,0,25.3,2.6,7.1,.359,0.0,0.0,0,2.6,7.1,.359,.359,2.4,2.8,.880,1.2,2.3,3.6,1.0,0.3,0.7,1.3,3.0,7.6,6.2,.453,.000,.391,5.9,10.0,8.0,5.6,0.7,1.7,13.8,16.8,-0.2,0.3,0.1,.017,-3.6,-0.4,-3.9,-0.1,1991
8,Charles Barkley*,SF,27,PHI,8,8,40.8,9.3,15.6,.592,0.3,2.5,.100,9.0,13.1,.686,.600,6.1,9.4,.653,3.9,6.6,10.5,6.0,1.9,0.4,3.1,2.9,24.9,26.8,.630,.160,.600,12.2,19.5,16.0,28.4,2.5,0.6,13.7,26.6,1.1,0.4,1.5,.217,7.8,1.1,8.9,0.9,1991
9,Dana Barros,PG,23,SEA,3,0,8.3,3.0,4.3,.692,0.7,1.7,.400,2.3,2.7,.875,.769,1.0,1.3,.750,0.3,1.0,1.3,1.7,1.0,0.0,1.0,0.3,7.7,39.5,.779,.385,.308,4.8,14.5,9.6,46.8,6.0,0.0,16.9,30.4,0.1,0.0,0.2,.366,14.1,6.1,20.2,0.1,1991
10,John Battle,SG,28,ATL,5,0,21.4,3.2,8.8,.364,0.4,1.0,.400,2.8,7.8,.359,.386,4.8,5.0,.960,0.8,1.2,2.0,2.2,0.2,0.0,1.8,2.2,11.6,13.3,.527,.114,.568,3.9,5.7,4.8,19.1,0.5,0.0,14.1,26.3,0.1,0.0,0.1,.042,1.6,-2.1,-0.5,0.0,1991
11,William Bedford,C,27,DET,8,3,8.1,0.6,3.0,.208,0.0,0.3,.000,0.6,2.8,.227,.208,1.1,1.8,.643,1.1,1.6,2.8,0.5,0.3,0.5,0.5,1.8,2.4,7.4,.315,.083,.583,14.6,23.2,18.7,8.6,1.6,4.0,11.7,22.9,-0.2,0.1,-0.1,-0.050,-6.1,0.2,-5.9,-0.1,1991
12,Benoit Benjamin,C,26,SEA,5,5,32.6,4.0,8.2,.488,0.0,0.0,0,4.0,8.2,.488,.488,5.8,6.4,.906,1.4,5.2,6.6,0.2,0.6,2.6,2.2,3.4,13.8,15.0,.626,.000,.780,5.1,19.3,12.2,0.9,0.9,5.5,16.6,17.3,0.2,0.2,0.4,.125,0.2,1.4,1.6,0.1,1991
13,Larry Bird*,SF,34,BOS,10,10,39.6,6.2,15.2,.408,0.3,2.1,.143,5.9,13.1,.450,.418,4.4,5.1,.863,0.8,6.4,7.2,6.5,1.3,0.3,1.9,2.8,17.1,15.8,.490,.138,.336,2.4,17.6,10.4,23.7,1.7,0.5,9.8,21.4,0.3,0.4,0.6,.078,1.4,0.2,1.6,0.4,1991
