,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,26,DEN,57,53,35.6,7.3,16.8,.434,2.1,5.4,.392,5.1,11.3,.454,.497,2.6,2.8,.930,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2
1,Michael Adams,PG,33,CHH,21,3,15.7,1.8,4.0,.446,0.7,2.0,.341,1.1,2.0,.548,.530,1.2,1.7,.743,0.2,0.8,1.0,3.2,1.0,0.2,1.2,1.2,5.4
2,Rafael Addison,SF,31,CHH,53,0,9.7,1.5,3.1,.467,0.0,0.2,.000,1.5,2.9,.494,.467,0.3,0.4,.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2
3,Cory Alexander,PG,22,SAS,60,0,9.3,1.1,2.6,.406,0.4,1.1,.394,0.6,1.5,.416,.490,0.3,0.4,.640,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8
4,Jerome Allen,SG,23,MIN,41,0,8.8,0.9,2.6,.343,0.2,0.8,.303,0.6,1.8,.361,.390,0.6,0.9,.722,0.1,0.5,0.6,1.2,0.5,0.1,0.8,1.0,2.6
5,Derrick Alston,C,23,PHI,73,41,22.1,2.7,5.3,.512,0.0,0.0,.333,2.7,5.3,.513,.513,0.8,1.5,.491,1.7,2.4,4.1,0.8,0.8,0.7,0.8,2.6,6.2
6,John Amaechi,PF,25,CLE,28,3,12.8,1.0,2.5,.414,0.0,0.0,,1.0,2.5,.414,.414,0.7,1.2,.576,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8
7,Ashraf Amaya,PF,24,VAN,54,34,20.4,2.2,4.7,.480,0.0,0.0,.000,2.2,4.6,.482,.480,1.8,2.8,.651,2.1,3.5,5.6,0.6,0.4,0.2,1.1,2.8,6.3
8,Greg Anderson,PF,31,SAS,46,7,7.5,0.5,1.0,.511,0.0,0.0,.000,0.5,1.0,.522,.511,0.1,0.5,.240,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2
9,Kenny Anderson,PG,25,TOT,69,64,34.0,5.1,12.1,.418,1.3,3.7,.359,3.7,8.4,.445,.474,3.8,4.9,.769,0.9,2.0,2.9,8.3,1.6,0.2,2.1,2.6,15.2
10,Kenny Anderson,PG,25,NJN,31,28,33.6,4.6,12.3,.376,1.2,3.2,.364,3.5,9.1,.381,.424,4.9,6.1,.803,1.2,2.1,3.3,8.0,1.7,0.3,1.9,2.4,15.3
11,Kenny Anderson,PG,25,CHH,38,36,34.3,5.4,11.9,.454,1.5,4.1,.357,3.9,7.8,.505,.515,2.9,3.9,.727,0.7,2.0,2.7,8.6,1.6,0.2,2.3,2.8,15.2
12,Nick Anderson,SG,28,ORL,77,77,35.3,5.2,11.7,.442,2.2,5.6,.391,3.0,6.2,.489,.535,2.2,3.1,.692,1.2,4.2,5.4,3.6,1.6,0.6,1.8,1.8,14.7
13,Willie Anderson,SG,29,TOT,76,44,27.1,3.8,8.7,.436,0.4,1.6,.283,3.3,7.1,.470,.462,1.7,2.1,.810,0.6,2.6,3.2,2.6,1.0,0.8,1.9,3.0,9.8
14,Willie Anderson,SG,29,TOR,49,42,31.9,4.7,10.8,.440,0.6,1.9,.305,4.1,8.8,.470,.468,2.3,2.7,.856,0.7,3.1,3.8,3.0,1.2,1.0,2.4,3.5,12.4
15,Willie Anderson,SG,29,NYK,27,2,18.4,2.1,4.9,.421,0.2,0.9,.200,1.9,4.0,.472,.440,0.7,1.1,.613,0.5,1.7,2.2,1.8,0.6,0.3,0.9,2.2,5.0
