,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics,32,243.1,43.7,90.4,0.483,16.1,42.9,0.374,27.6,47.5,0.581,17.4,21.6,0.805,11.1,36.2,47.3,25.8,6.7,6.3,13.1,17.3,120.8,28.4,26.0,6.0,10.5,0.28,10.78,121.8,111.2,10.6,97.9,0.239,0.475,0.604,2024
1,Denver Nuggets,35,240.0,44.1,89.9,0.49,12.1,31.9,0.378,32.0,58.0,0.552,15.0,20.2,0.74,11.1,33.5,44.6,29.7,7.1,5.5,12.3,18.8,115.1,26.9,24.0,11.0,5.37,0.07,5.44,118.3,112.8,5.5,97.3,0.225,0.355,0.583,2024
2,Minnesota Timberwolves,32,240.8,40.8,84.1,0.486,12.1,31.5,0.383,28.8,52.6,0.547,19.3,24.3,0.795,9.3,34.8,44.1,25.7,7.6,6.1,15.6,19.6,113.0,27.4,24.0,8.0,5.5,0.44,5.94,114.2,108.6,5.6,98.7,0.288,0.375,0.596,2024
3,Milwaukee Bucks,33,241.5,44.7,89.5,0.5,14.3,37.8,0.38,30.4,51.8,0.587,20.8,26.6,0.782,9.8,34.8,44.5,26.3,6.7,5.6,13.4,20.2,124.6,29.9,24.0,9.0,5.58,-1.06,4.52,121.5,116.0,5.5,102.0,0.297,0.422,0.616,2024
4,Oklahoma City Thunder,31,241.6,44.4,89.1,0.499,13.0,33.2,0.391,31.4,55.9,0.562,19.5,22.8,0.852,8.2,32.9,41.0,26.2,8.3,6.6,12.6,20.1,121.3,23.1,22.0,9.0,8.55,0.51,9.06,120.0,111.5,8.5,100.4,0.256,0.373,0.612,2024
5,Philadelphia 76ers,32,240.8,43.0,89.4,0.481,12.2,32.6,0.374,30.8,56.8,0.542,22.8,27.0,0.846,11.2,33.1,44.2,25.4,9.1,6.0,12.5,20.6,121.0,28.5,22.0,10.0,10.06,-0.51,9.56,121.6,111.5,10.1,99.2,0.302,0.364,0.597,2024
6,Los Angeles Clippers,32,240.8,42.7,87.5,0.488,12.5,32.9,0.38,30.2,54.6,0.553,18.8,23.3,0.805,10.4,33.3,43.8,25.4,8.1,5.2,13.4,20.1,116.7,30.6,20.0,12.0,4.81,-0.78,4.03,118.5,113.6,4.9,98.2,0.266,0.376,0.597,2024
7,Dallas Mavericks,34,240.0,42.8,91.2,0.469,15.3,41.9,0.365,27.5,49.2,0.558,17.4,23.1,0.754,10.3,31.8,42.1,25.3,6.6,4.3,12.1,18.4,118.3,26.3,19.0,15.0,0.26,-0.71,-0.45,117.5,117.3,0.2,100.7,0.253,0.46,0.584,2024
8,Sacramento Kings,31,241.6,42.8,90.2,0.475,15.2,41.3,0.367,27.7,48.9,0.566,16.7,22.7,0.736,10.2,33.2,43.4,28.5,7.0,4.1,13.3,20.6,117.5,26.5,19.0,12.0,0.77,0.66,1.43,116.9,116.1,0.8,99.9,0.252,0.458,0.587,2024
9,Orlando Magic,32,240.0,41.1,86.8,0.473,10.0,30.0,0.332,31.1,56.7,0.548,20.8,27.0,0.769,10.9,32.8,43.7,24.9,8.1,5.6,14.8,21.1,112.8,23.9,19.0,13.0,2.19,0.07,2.25,113.0,110.8,2.2,99.9,0.311,0.346,0.572,2024
