,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Syracuse Nationals*,64,,29.2,82.4,0.354,,,,29.2,82.4,0.354,26.4,37.4,0.706,,,,23.0,,,,28.6,84.8,,51.0,13.0,8.14,-1.7,6.48,,,,,0.454,,0.429,1950.0
1,Minneapolis Lakers*,68,,31.5,85.8,0.367,,,,31.5,85.8,0.367,21.2,28.6,0.741,,,,20.7,,,,24.6,84.1,,51.0,17.0,8.34,-0.09,8.25,,,,,0.333,,0.427,1950.0
2,Rochester Royals*,68,,28.8,77.2,0.373,,,,28.8,77.2,0.373,24.9,34.1,0.729,,,,20.3,,,,23.3,82.4,,51.0,17.0,7.76,-0.05,7.72,,,,,0.442,,0.447,1950.0
3,New York Knicks*,68,,27.8,78.7,0.353,,,,27.8,78.7,0.353,25.1,35.4,0.711,,,,19.2,,,,25.3,80.7,,40.0,28.0,2.12,0.41,2.53,,,,,0.449,,0.428,1950.0
4,Fort Wayne Pistons*,68,,27.6,86.8,0.318,,,,27.6,86.8,0.318,24.0,34.3,0.701,,,,20.1,,,,30.4,79.3,,40.0,28.0,1.37,0.47,1.84,,,,,0.395,,0.389,1950.0
5,Chicago Stags*,68,,29.5,86.6,0.34,,,,29.5,86.6,0.34,19.8,28.4,0.696,,,,20.1,,,,29.1,78.7,,40.0,28.0,1.6,0.45,2.06,,,,,0.328,,0.397,1950.0
6,Indianapolis Olympians*,64,,31.0,82.5,0.375,,,,31.0,82.5,0.375,23.9,33.5,0.713,,,,21.0,,,,26.2,85.8,,39.0,25.0,3.7,-1.15,2.59,,,,,0.406,,0.441,1950.0
7,Anderson Packers*,64,,30.4,97.7,0.311,,,,30.4,97.7,0.311,26.6,36.6,0.727,,,,19.4,,,,28.2,87.3,,37.0,27.0,3.8,-1.38,2.42,,,,,0.375,,0.384,1950.0
8,Washington Capitols*,68,,26.7,80.8,0.33,,,,26.7,80.8,0.33,23.2,31.0,0.746,,,,15.5,,,,27.0,76.5,,32.0,36.0,-0.94,0.66,-0.28,,,,,0.384,,0.405,1950.0
9,Tri-Cities Blackhawks*,64,,28.4,86.2,0.33,,,,28.4,86.2,0.33,26.2,36.1,0.727,,,,20.8,,,,32.1,83.0,,29.0,35.0,-0.59,-0.84,-1.43,,,,,0.418,,0.407,1950.0
10,Philadelphia Warriors*,68,,26.2,84.0,0.312,,,,26.2,84.0,0.312,21.0,30.0,0.7,,,,16.8,,,,26.0,73.3,,26.0,42.0,-3.1,0.84,-2.27,,,,,0.357,,0.377,1950.0
11,St. Louis Bombers,68,,25.6,74.8,0.342,,,,25.6,74.8,0.342,22.5,31.6,0.711,,,,18.9,,,,23.5,73.7,,26.0,42.0,-2.82,0.81,-2.01,,,,,0.423,,0.415,1950.0
12,Baltimore Bullets,68,,25.2,81.1,0.31,,,,25.2,81.1,0.31,22.8,31.2,0.73,,,,17.5,,,,26.4,73.1,,25.0,43.0,-5.59,1.04,-4.55,,,,,0.385,,0.385,1950.0
13,Sheboygan Red Skins*,62,,27.9,81.0,0.344,,,,27.9,81.0,0.344,26.7,37.7,0.707,,,,20.6,,,,28.5,82.4,,22.0,40.0,-5.4,-0.44,-5.85,,,,,0.466,,0.422,1950.0
14,Boston Celtics,68,,28.6,84.6,0.338,,,,28.6,84.6,0.338,22.5,31.8,0.707,,,,21.7,,,,24.2,79.7,,22.0,46.0,-2.5,0.79,-1.73,,,,,0.376,,0.404,1950.0
15,Waterloo Hawks,62,,28.2,79.1,0.356,,,,28.2,79.1,0.356,23.0,32.3,0.714,,,,21.4,,,,28.7,79.4,,19.0,43.0,-5.53,-0.43,-5.96,,,,,0.408,,0.425,1950.0
16,Denver Nuggets,62,,27.9,83.6,0.334,,,,27.9,83.6,0.334,21.9,32.2,0.678,,,,16.8,,,,27.3,77.7,,11.0,51.0,-11.5,0.18,-11.31,,,,,0.386,,0.397,1950.0
17,League Average 1950,66,,28.2,83.1,0.34,,,,28.2,83.1,0.34,23.6,33.0,0.714,,,,19.6,,,,27.0,80.0,,,,0.0,0.0,0.0,,,,,0.397,,0.41,1950.0
0,Minneapolis Lakers*,68,,30.6,82.2,0.373,,,,30.6,82.2,0.373,21.5,29.3,0.736,,,50.1,20.7,,,,26.5,82.8,,44.0,24.0,5.41,-0.63,4.79,86.4,80.7,5.7,94.8,0.356,,0.436,1951.0
1,Rochester Royals*,68,,29.9,79.1,0.378,,,,29.9,79.1,0.378,24.9,33.1,0.753,,,44.3,20.1,,,,22.6,84.6,,41.0,27.0,2.99,-0.44,2.54,89.3,86.2,3.1,92.3,0.418,,0.452,1951.0
2,Philadelphia Warriors*,66,,30.1,85.8,0.35,,,,30.1,85.8,0.35,25.2,33.0,0.763,,,54.3,21.7,,,,25.9,85.4,,40.0,26.0,3.76,-0.36,3.4,84.8,81.0,3.8,99.3,0.385,,0.425,1951.0
3,Boston Celtics*,69,,29.9,81.3,0.368,,,,29.9,81.3,0.368,25.4,35.0,0.725,,,50.7,22.9,,,,27.3,85.2,,39.0,30.0,-0.26,-0.15,-0.41,87.3,87.6,-0.3,95.9,0.431,,0.441,1951.0
4,New York Knicks*,66,,30.9,81.5,0.379,,,,30.9,81.5,0.379,24.1,33.8,0.714,,,51.8,23.5,,,,27.4,85.8,,36.0,30.0,0.41,0.07,0.49,88.0,87.6,0.4,94.8,0.415,,0.445,1951.0
5,Syracuse Nationals*,66,,28.5,81.3,0.351,,,,28.5,81.3,0.351,29.0,39.9,0.726,,,49.4,22.6,,,,30.2,86.1,,32.0,34.0,0.53,0.09,0.62,86.4,85.9,0.5,98.1,0.491,,0.435,1951.0
6,Fort Wayne Pistons*,68,,29.4,87.2,0.338,,,,29.4,87.2,0.338,25.3,35.1,0.72,,,54.8,16.8,,,,28.8,84.1,,32.0,36.0,-1.87,0.07,-1.81,82.0,83.8,-1.8,102.4,0.403,,0.41,1951.0
7,Indianapolis Olympians*,68,,30.8,85.0,0.363,,,,30.8,85.0,0.363,20.0,28.0,0.717,,,40.9,21.4,,,,23.1,81.7,,31.0,37.0,-2.37,0.37,-2.0,83.6,86.0,-2.4,96.4,0.329,,0.42,1951.0
8,Tri-Cities Blackhawks,68,,29.2,88.8,0.329,,,,29.2,88.8,0.329,25.8,35.7,0.723,,,54.6,21.7,,,,30.8,84.3,,25.0,43.0,-3.79,0.56,-3.22,80.8,84.4,-3.6,103.9,0.401,,0.403,1951.0
9,Baltimore Bullets,66,,29.6,84.0,0.353,,,,29.6,84.0,0.353,22.8,30.6,0.745,,,46.1,20.4,,,,26.3,82.0,,24.0,42.0,-2.29,0.35,-1.94,83.9,86.3,-2.4,96.8,0.364,,0.421,1951.0
10,Washington Capitols,35,,27.6,82.7,0.334,,,,27.6,82.7,0.334,26.1,34.1,0.765,,,44.8,16.7,,,,30.0,81.3,,10.0,25.0,-4.77,0.14,-4.63,83.2,88.1,-4.9,97.1,0.413,,0.416,1951.0
11,League Average 1951,64,,29.8,83.6,0.357,,,,29.8,83.6,0.357,24.5,33.4,0.733,,,49.5,21.0,,,,27.0,84.1,,,,0.0,0.0,0.0,85.1,85.1,,97.4,0.399,,0.428,1951.0
0,Rochester Royals*,66,,30.5,78.4,0.389,,,,30.5,78.4,0.389,25.2,32.6,0.773,,,51.1,24.1,,,,27.3,86.2,29.0,41.0,25.0,3.35,-0.43,2.92,91.6,88.1,3.5,92.7,0.416,,0.465,1952.0
1,Syracuse Nationals*,66,,28.7,78.9,0.364,,,,28.7,78.9,0.364,29.3,39.2,0.747,,,54.6,20.8,,,,29.8,86.7,25.8,40.0,26.0,4.45,-0.52,3.94,89.2,84.6,4.6,96.1,0.497,,0.451,1952.0
2,Minneapolis Lakers*,66,,31.9,86.9,0.367,,,,31.9,86.9,0.367,21.8,29.1,0.748,,,53.7,21.0,,,,26.7,85.6,25.9,40.0,26.0,6.03,-0.75,5.28,85.3,79.3,6.0,97.2,0.335,,0.429,1952.0
3,Boston Celtics*,66,,32.3,83.5,0.387,,,,32.3,83.5,0.387,26.7,36.5,0.734,,,56.8,24.3,,,,26.3,91.3,24.9,39.0,27.0,4.08,-0.47,3.6,90.4,86.4,4.0,100.0,0.437,,0.459,1952.0
