,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVP_Rank,MVP_First,MVP_Pts Won,MVP_Pts Max,MVP_Share
0,2007,Shareef Abdur-Rahim,C,30,SAC,80,45,25.2,3.9,8.2,0.474,0.0,0.3,0.15,3.8,7.9,0.484,0.476,2.1,2.9,0.726,1.5,3.5,5.0,1.4,0.7,0.5,1.5,3.0,9.9,13.1,0.524,0.031,0.358,7.0,16.4,11.6,9.2,1.3,1.5,13.3,19.5,1.1,1.7,2.8,0.067,-2.0,-0.5,-2.5,-0.2,,,,,
1,2007,Hassan Adams,SG,22,NJN,61,8,8.1,1.2,2.2,0.556,0.0,0.0,0.0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,13.0,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1.0,0.095,-1.3,-0.2,-1.5,0.1,,,,,
2,2007,Maurice Ager,SG,22,DAL,32,1,6.7,0.7,2.2,0.314,0.2,0.5,0.333,0.5,1.7,0.309,0.35,0.6,1.0,0.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2,2.9,0.408,0.214,0.471,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,-0.5,0.2,-0.3,-0.06,-7.4,-1.3,-8.7,-0.4,,,,,
3,2007,LaMarcus Aldridge,C,21,POR,63,22,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,2.5,1.0,3.4,0.118,-0.4,-1.0,-1.4,0.2,,,,,
4,2007,Malik Allen,PF,28,CHI,60,1,10.6,1.8,4.3,0.415,0.0,0.0,0.0,1.8,4.3,0.416,0.415,0.5,0.6,0.824,0.7,1.3,2.0,0.3,0.3,0.3,0.4,1.4,4.0,10.4,0.443,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,-0.2,1.1,1.0,0.073,-3.9,0.5,-3.4,-0.2,,,,,
5,2007,Ray Allen,SG,31,SEA,55,55,40.3,9.2,21.0,0.438,3.0,8.1,0.372,6.2,12.9,0.479,0.51,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,21.6,0.564,0.384,0.268,3.1,10.4,6.7,19.0,1.9,0.4,10.7,29.5,5.4,0.9,6.3,0.136,5.0,-1.3,3.7,3.2,,,,,
6,2007,Tony Allen,SG,25,BOS,33,18,24.4,4.0,7.8,0.514,0.2,1.0,0.242,3.8,6.8,0.553,0.529,3.2,4.1,0.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,11.5,17.0,0.596,0.127,0.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,0.8,1.1,1.9,0.111,-0.2,1.2,1.0,0.6,,,,,
7,2007,Rafer Alston,PG,30,HOU,82,82,37.1,4.7,12.4,0.375,2.3,6.5,0.363,2.3,6.0,0.389,0.47,1.6,2.2,0.734,0.4,3.1,3.4,5.4,1.6,0.1,2.1,2.4,13.3,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,1.7,4.9,6.6,0.104,-0.7,1.3,0.6,2.0,,,,,
8,2007,Alan Anderson,SG,24,CHA,17,0,15.1,2.2,4.8,0.457,0.3,1.2,0.25,1.9,3.6,0.525,0.488,1.1,1.4,0.826,0.6,1.2,1.9,1.2,0.4,0.0,1.3,1.9,5.8,10.1,0.538,0.247,0.284,4.9,10.0,7.4,13.8,1.4,0.0,19.4,20.1,0.0,0.1,0.1,0.024,-3.4,-1.1,-4.5,-0.2,,,,,
9,2007,Derek Anderson,SF,32,CHA,50,32,23.8,2.5,5.9,0.429,1.1,3.0,0.355,1.4,2.8,0.507,0.52,1.9,2.1,0.877,0.6,1.7,2.3,2.7,1.0,0.1,1.1,2.3,8.0,13.7,0.586,0.517,0.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,2.0,0.9,2.9,0.117,-0.3,0.6,0.4,0.7,,,,,
10,2007,Carmelo Anthony,SF,22,DEN,65,65,38.2,10.6,22.4,0.476,0.6,2.3,0.268,10.0,20.1,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,22.1,0.552,0.103,0.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,5.2,2.1,7.3,0.14,3.2,-1.3,1.9,2.5,15.0,0.0,1.0,1290.0,0.001
