,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
0,CHI,1979-80,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107,-2.7,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.291,0.5,15.7,68,0.251,Chicago Stadium,,18508
1,CHI,1980-81,26.5,45,37,46,36,1.98,0.37,2.34,107.8,105.8,2,100.6,0.371,0.026,0.556,0.504,17.2,36.9,0.288,0.493,15.5,68.4,0.232,Chicago Stadium,391118,
2,CHI,1981-82,26.5,34,48,36,46,-2.02,0.45,-1.57,106.6,108.6,-2,99,0.378,0.032,0.557,0.505,17.3,33.6,0.29,0.499,13.2,69,0.207,Chicago Stadium,372613,
3,CHI,1982-83,24.5,28,54,29,53,-4.89,0.48,-4.41,103.4,108,-4.6,106.1,0.365,0.028,0.532,0.483,16.9,34,0.269,0.498,14.3,67.9,0.237,Chicago Stadium,296411,
4,CHI,1983-84,24.4,27,55,28,54,-5.18,0.5,-4.69,102.4,107.5,-5.1,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.497,15.6,67.2,0.266,Chicago Stadium,256430,
5,CHI,1984-85,25.2,38,44,39,43,-0.84,0.34,-0.5,108.7,109.6,-0.9,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,Chicago Stadium,487297,
6,CHI,1985-86,26.6,30,52,31,51,-3.8,0.69,-3.12,108.6,112.4,-3.8,99.7,0.346,0.044,0.538,0.487,14.7,35.1,0.266,0.509,13.5,67.4,0.28,Chicago Stadium,469226,11445
7,CHI,1986-87,25.4,40,42,43,39,0.89,0.37,1.26,108.6,107.6,1,95.8,0.315,0.042,0.528,0.478,13.4,35,0.245,0.491,13.8,70,0.251,Chicago Stadium,650818,
8,CHI,1987-88,25.5,50,32,50,32,3.4,0.35,3.76,109,105.5,3.5,95.5,0.317,0.035,0.539,0.494,13.6,34,0.24,0.478,13.5,70.6,0.24,Chicago Stadium,740411,
9,CHI,1988-89,26.4,47,35,45,37,1.44,0.69,2.13,109.1,107.7,1.4,97,0.302,0.076,0.553,0.507,14.4,30.7,0.238,0.487,13.5,69.5,0.239,Chicago Stadium,736962,
