Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,MIA,NBA,PG,61,56,34.9,6.1,13.1,.465,0.3,0.9,.302,5.8,12.2,.477,.475,3.8,5.1,.747,1.4,2.7,4.0,4.5,1.4,0.6,3.2,2.3,16.2
2004-05,23,MIA,NBA,SG,77,77,38.6,8.2,17.1,.478,0.2,0.6,.289,8.0,16.5,.485,.483,7.5,9.9,.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1
2005-06,24,MIA,NBA,SG,75,75,38.6,9.3,18.8,.495,0.2,1.0,.171,9.1,17.8,.513,.499,8.4,10.7,.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2
2006-07,25,MIA,NBA,SG,51,50,37.9,9.3,18.9,.491,0.4,1.5,.266,8.8,17.3,.511,.502,8.5,10.5,.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4
2007-08,26,MIA,NBA,SG,51,49,38.3,8.6,18.4,.469,0.4,1.5,.286,8.2,16.9,.485,.480,6.9,9.2,.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6
2008-09,27,MIA,NBA,SG,79,79,38.6,10.8,22.0,.491,1.1,3.5,.317,9.7,18.5,.524,.516,7.5,9.8,.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2
2009-10,28,MIA,NBA,SG,77,77,36.3,9.3,19.6,.476,0.9,3.2,.300,8.4,16.5,.509,.500,6.9,9.1,.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6
2010-11,29,MIA,NBA,SG,76,76,37.1,9.1,18.2,.500,0.8,2.7,.306,8.3,15.5,.534,.523,6.5,8.6,.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5
2011-12,30,MIA,NBA,SG,49,49,33.2,8.5,17.1,.497,0.3,1.1,.268,8.2,15.9,.513,.506,4.8,6.1,.791,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1
2012-13,31,MIA,NBA,SG,69,69,34.7,8.2,15.8,.521,0.2,1.0,.258,8.0,14.9,.537,.528,4.5,6.2,.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2
2013-14,32,MIA,NBA,SG,54,53,32.9,7.7,14.1,.545,0.2,0.6,.281,7.5,13.5,.557,.551,3.5,4.8,.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0
2014-15,33,MIA,NBA,SG,62,62,31.8,8.2,17.5,.470,0.5,1.6,.284,7.7,15.8,.489,.483,4.6,6.0,.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5
2015-16,34,MIA,NBA,SG,74,73,30.5,7.3,16.0,.456,0.1,0.6,.159,7.2,15.4,.468,.459,4.4,5.5,.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0
2016-17,35,CHI,NBA,SG,60,59,29.9,6.9,15.9,.434,0.8,2.4,.310,6.2,13.5,.456,.457,3.7,4.7,.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3
2017-18,36,TOT,NBA,SG,67,3,22.9,4.5,10.2,.438,0.5,1.7,.288,4.0,8.5,.468,.462,2.0,2.8,.714,0.7,3.0,3.8,3.4,0.9,0.7,2.1,1.9,11.4
2017-18,36,CLE,NBA,SG,46,3,23.2,4.3,9.5,.455,0.5,1.5,.329,3.8,7.9,.479,.482,2.0,2.9,.701,0.8,3.1,3.9,3.5,0.9,0.7,2.0,1.8,11.2
2017-18,36,MIA,NBA,SG,21,0,22.2,4.8,11.8,.409,0.4,2.0,.220,4.4,9.8,.447,.427,2.0,2.6,.745,0.5,2.9,3.4,3.1,0.9,0.7,2.3,1.9,12.0
2018-19,37,MIA,NBA,SG,72,2,26.2,5.8,13.3,.433,1.2,3.6,.330,4.6,9.7,.472,.478,2.3,3.2,.708,1.0,3.0,4.0,4.2,0.8,0.5,2.3,1.6,15.0
