Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,PHO,NBA,PG,65,2,10.5,1.1,2.7,.423,0.4,0.8,.418,0.8,1.8,.425,.489,0.6,0.8,.824,0.2,0.7,1.0,2.1,0.3,0.0,1.0,1.4,3.3
1997-98,23,PHO,NBA,PG,76,9,21.9,3.5,7.7,.459,1.1,2.6,.415,2.5,5.1,.481,.528,1.0,1.1,.860,0.4,1.7,2.1,3.4,0.8,0.1,1.3,1.9,9.1
1998-99,24,DAL,NBA,PG,40,40,31.7,2.9,7.9,.363,1.2,3.3,.374,1.6,4.6,.355,.441,1.0,1.2,.826,0.8,2.1,2.9,5.5,0.9,0.1,2.1,2.5,7.9
1999-00,25,DAL,NBA,PG,56,27,27.4,3.1,6.5,.477,1.1,2.7,.403,2.0,3.8,.528,.559,1.3,1.5,.882,0.6,1.6,2.2,4.9,0.7,0.1,1.8,2.2,8.6
2000-01,26,DAL,NBA,PG,70,70,34.1,5.5,11.3,.487,1.3,3.1,.406,4.2,8.2,.518,.544,3.3,3.7,.895,0.7,2.5,3.2,7.3,1.0,0.1,2.9,2.3,15.6
2001-02,27,DAL,NBA,PG,82,82,34.6,6.4,13.3,.483,1.9,4.2,.455,4.5,9.1,.495,.554,3.2,3.6,.887,0.6,2.5,3.1,7.7,0.6,0.0,2.8,2.0,17.9
2002-03,28,DAL,NBA,PG,82,82,33.1,6.3,13.6,.465,1.4,3.3,.413,5.0,10.3,.482,.515,3.8,4.1,.909,0.8,2.1,2.9,7.3,1.0,0.1,2.3,1.6,17.7
2003-04,29,DAL,NBA,PG,78,78,33.5,5.1,10.8,.470,1.3,3.3,.405,3.8,7.5,.498,.531,2.9,3.2,.916,0.8,2.2,3.0,8.8,0.9,0.1,2.7,1.8,14.5
2004-05,30,PHO,NBA,PG,75,75,34.3,5.7,11.4,.502,1.3,2.9,.431,4.5,8.5,.526,.557,2.8,3.2,.887,0.8,2.6,3.3,11.5,1.0,0.1,3.3,1.8,15.5
2005-06,31,PHO,NBA,PG,79,79,35.4,6.8,13.4,.512,1.9,4.3,.439,4.9,9.0,.548,.583,3.3,3.5,.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8
2006-07,32,PHO,NBA,PG,76,76,35.3,6.8,12.8,.532,2.1,4.5,.455,4.8,8.3,.575,.613,2.9,3.3,.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6
2007-08,33,PHO,NBA,PG,81,81,34.3,6.0,11.9,.504,2.2,4.7,.470,3.8,7.2,.527,.597,2.7,3.0,.906,0.3,3.1,3.5,11.1,0.7,0.1,3.6,1.4,16.9
2008-09,34,PHO,NBA,PG,74,74,33.6,5.8,11.5,.503,1.5,3.3,.439,4.3,8.2,.529,.566,2.6,2.8,.933,0.3,2.8,3.0,9.7,0.7,0.1,3.4,1.5,15.7
2009-10,35,PHO,NBA,PG,81,81,32.8,6.2,12.2,.507,1.5,3.6,.426,4.6,8.6,.540,.570,2.6,2.8,.938,0.4,2.9,3.3,11.0,0.5,0.1,3.6,1.3,16.5
2010-11,36,PHO,NBA,PG,75,75,33.3,5.3,10.8,.492,1.1,2.7,.395,4.2,8.1,.525,.542,3.0,3.3,.912,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2,14.7
2011-12,37,PHO,NBA,PG,62,62,31.6,4.8,9.0,.532,0.9,2.3,.390,3.9,6.7,.580,.581,2.0,2.3,.894,0.4,2.6,3.0,10.7,0.6,0.1,3.7,0.9,12.5
2012-13,38,LAL,NBA,PG,50,50,32.5,4.7,9.5,.497,1.1,2.6,.438,3.6,6.9,.519,.557,2.1,2.3,.922,0.5,2.3,2.8,6.7,0.6,0.1,2.5,1.4,12.7
2013-14,39,LAL,NBA,PG,15,10,20.9,2.4,6.3,.383,0.5,1.6,.333,1.9,4.7,.400,.426,1.5,1.6,.917,0.3,1.7,1.9,5.7,0.5,0.1,2.1,1.2,6.8
