Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,21,SAS,NBA,PF,82,82,39.1,8.6,15.7,.549,0.0,0.1,.000,8.6,15.6,.553,.549,3.9,5.9,.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1
1998-99,22,SAS,NBA,PF,50,50,39.3,8.4,16.9,.495,0.0,0.1,.143,8.3,16.8,.498,.495,4.9,7.2,.690,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7
1999-00,23,SAS,NBA,PF,74,74,38.9,8.5,17.3,.490,0.0,0.1,.091,8.5,17.2,.494,.491,6.2,8.1,.761,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2
2000-01,24,SAS,NBA,PF,82,82,38.7,8.6,17.1,.499,0.1,0.3,.259,8.5,16.8,.504,.502,5.0,8.1,.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2
2001-02,25,SAS,NBA,PF,82,82,40.6,9.3,18.3,.508,0.0,0.1,.100,9.3,18.2,.511,.508,6.8,8.5,.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5
2002-03,26,SAS,NBA,PF,81,81,39.3,8.8,17.2,.513,0.1,0.3,.273,8.7,16.9,.517,.515,5.6,7.8,.710,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3
2003-04,27,SAS,NBA,PF,69,68,36.6,8.6,17.1,.501,0.0,0.2,.167,8.6,16.9,.505,.502,5.1,8.5,.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3
2004-05,28,SAS,NBA,PF,66,66,33.4,7.8,15.8,.496,0.0,0.1,.333,7.8,15.7,.498,.498,4.6,6.9,.670,3.1,8.0,11.1,2.7,0.7,2.6,1.9,2.2,20.3
2005-06,29,SAS,NBA,PF,80,80,34.8,7.2,14.8,.484,0.0,0.1,.400,7.2,14.8,.485,.485,4.2,6.7,.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6
2006-07,30,SAS,NBA,C,80,80,34.1,7.7,14.1,.546,0.0,0.1,.111,7.7,14.0,.550,.547,4.5,7.1,.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0
2007-08,31,SAS,NBA,C,78,78,34.0,7.5,15.1,.497,0.0,0.1,.000,7.5,15.1,.498,.497,4.3,5.9,.730,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3
2008-09,32,SAS,NBA,C,75,75,33.7,7.4,14.8,.504,0.0,0.0,.000,7.4,14.7,.505,.504,4.5,6.4,.692,2.7,8.0,10.7,3.5,0.5,1.7,2.2,2.3,19.3
2009-10,33,SAS,NBA,C,78,77,31.3,7.2,13.9,.518,0.0,0.1,.182,7.2,13.7,.522,.519,3.5,4.8,.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9
2010-11,34,SAS,NBA,C,76,76,28.4,5.5,11.0,.500,0.0,0.1,.000,5.5,11.0,.502,.500,2.4,3.4,.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4
2011-12,35,SAS,NBA,C,58,58,28.2,6.2,12.6,.492,0.0,0.1,.000,6.2,12.6,.495,.492,3.0,4.3,.695,1.9,7.1,9.0,2.3,0.7,1.5,1.7,1.7,15.4
2012-13,36,SAS,NBA,C,69,69,30.1,7.1,14.1,.502,0.0,0.1,.286,7.1,14.0,.504,.503,3.6,4.3,.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8
2013-14,37,SAS,NBA,C,74,74,29.2,6.0,12.2,.490,0.0,0.1,.000,6.0,12.2,.493,.490,3.1,4.3,.731,2.1,7.6,9.7,3.0,0.6,1.9,2.1,1.8,15.1
2014-15,38,SAS,NBA,C,77,77,28.9,5.4,10.6,.512,0.0,0.1,.286,5.4,10.5,.514,.513,3.0,4.0,.740,2.2,6.9,9.1,3.0,0.8,2.0,1.7,2.1,13.9
2015-16,39,SAS,NBA,C,61,60,25.2,3.5,7.2,.488,0.0,0.0,.000,3.5,7.2,.490,.488,1.5,2.1,.702,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6
