,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
23,CHI,2002,25.2,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,0.3,0.14800000000000002,0.512,0.47100000000000003,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,804309.0,19617.0
63,LAL,2002,28.1,50,32,48,34,2.33,0.38,2.71,107.2,104.7,2.5,92.5,0.311,0.19899999999999998,0.528,0.486,13.3,30.2,0.228,0.47700000000000004,13.4,72.7,0.24100000000000002,STAPLES Center,777888.0,18973.0
103,BOS,2002,26.9,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,-0.4,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.22699999999999998,0.47100000000000003,15.1,72.5,0.242,FleetCenter,709049.0,17294.0
143,SEA,2002,26.9,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,-0.2,88.0,0.27,0.196,0.512,0.47200000000000003,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194.0,15541.0
172,UTA,2002,30.9,47,35,48,34,2.39,0.37,2.76,105.5,102.8,2.7,89.3,0.38,0.10400000000000001,0.537,0.486,16.0,32.5,0.28300000000000003,0.46799999999999997,15.2,70.2,0.256,Delta Center,786034.0,19172.0
203,MIA,2002,26.5,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,-5.7,87.8,0.259,0.16899999999999998,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242.0,15323.0
243,PHI,2002,28.3,48,34,48,34,2.3,-0.55,1.76,105.0,102.5,2.5,91.4,0.33899999999999997,0.11900000000000001,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,First Union Center,807097.0,19685.0
283,SAS,2002,28.4,60,22,57,25,5.41,0.23,5.65,105.6,99.7,5.9,90.0,0.348,0.20199999999999999,0.541,0.49700000000000005,15.1,28.8,0.253,0.45299999999999996,14.2,71.3,0.19899999999999998,SBC Center,735970.0,17950.0
323,WAS,2002,28.4,37,45,38,44,-1.01,-0.46,-1.47,103.0,104.1,-1.1,88.2,0.325,0.127,0.513,0.46,13.0,27.3,0.253,0.47700000000000004,13.8,71.6,0.212,MCI Center,827093.0,20173.0
363,POR,2002,29.2,50,32,49,33,2.61,0.36,2.97,105.5,102.6,2.9,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.19399999999999998,Rose Garden Arena,796258.0,19421.0
397,SAC,2002,28.3,59,23,59,23,6.5,0.18,6.68,105.9,99.1,6.8,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997.0,17317.0
437,HOU,2002,25.9,43,39,46,36,1.48,0.42,1.89,104.3,102.6,1.7,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166.0,13785.0
471,TOR,2002,27.6,24,58,24,58,-5.87,-0.23,-6.1,100.5,107.0,-6.5,89.9,0.282,0.179,0.49700000000000005,0.45799999999999996,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507.0,18964.0
495,MEM,2002,24.9,28,54,32,50,-3.23,0.63,-2.6,103.9,107.3,-3.4,92.7,0.287,0.19,0.526,0.48700000000000004,14.2,27.0,0.212,0.491,13.4,68.7,0.19699999999999998,Pyramid Arena,611322.0,14910.0
535,GSW,2002,24.4,38,44,38,44,-1.13,0.54,-0.6,108.3,109.5,-1.2,94.2,0.34299999999999997,0.17800000000000002,0.526,0.47200000000000003,13.9,35.0,0.267,0.48200000000000004,12.2,67.9,0.22,The Arena in Oakland,634935.0,15486.0
575,DEN,2002,24.1,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,-9.1,91.0,0.28300000000000003,0.126,0.469,0.428,17.1,31.3,0.198,0.47700000000000004,16.5,73.3,0.29,Pepsi Center,607813.0,14825.0
615,ATL,2002,27.2,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,-3.8,91.0,0.313,0.177,0.527,0.47600000000000003,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655.0,12894.0
664,ORL,2002,26.9,42,40,41,41,0.13,-0.53,-0.39,105.2,105.0,0.2,93.1,0.307,0.235,0.526,0.478,13.3,27.0,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,605901.0,14778.0
704,CLE,2002,23.5,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,-10.2,94.0,0.298,0.133,0.491,0.444,16.4,31.0,0.223,0.484,13.0,73.2,0.252,Gund Arena,471374.0,11497.0
721,NOH,2002,29.1,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,2.3,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.21899999999999997,0.46399999999999997,14.0,73.1,0.226,New Orleans Arena,641683.0,15651.0
758,NYK,2002,30.2,37,45,37,45,-1.35,-0.26,-1.61,104.7,106.2,-1.5,90.7,0.24100000000000002,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,Madison Square Garden (IV),779479.0,19012.0
798,IND,2002,25.9,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,3.8,91.6,0.344,0.16899999999999998,0.522,0.469,13.7,29.0,0.263,0.45799999999999996,14.3,72.3,0.228,Conseco Fieldhouse,670461.0,16353.0
838,MIL,2002,29.3,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,0.2,90.4,0.287,0.22899999999999998,0.5429999999999999,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966.0,16243.0
873,LAC,2002,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.48100000000000004,13.1,70.2,0.222,STAPLES Center,706471.0,17231.0
912,DAL,2002,28.1,60,22,62,20,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.257,0.239,0.5429999999999999,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429.0,19913.0
952,PHO,2002,25.2,44,38,44,38,1.13,0.43,1.57,103.7,102.5,1.2,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.21100000000000002,0.47,14.8,70.3,0.222,America West Arena,666559.0,16258.0
992,DET,2002,29.0,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,4.2,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74.0,0.225,The Palace of Auburn Hills,839278.0,20470.0
1022,MIN,2002,28.2,51,31,47,35,2.07,0.39,2.46,106.1,103.8,2.3,91.9,0.268,0.11800000000000001,0.528,0.488,12.9,28.2,0.20600000000000002,0.47200000000000003,12.7,72.9,0.203,Target Center,643684.0,15700.0
1062,NJN,2002,27.3,49,33,56,26,5.22,-0.8,4.42,103.8,98.1,5.7,91.6,0.33299999999999996,0.158,0.518,0.46799999999999997,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574.0,15185.0
