pred_rank,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,pred
1,Nikola Jokić,28,52,56,32.64,9.29,15.55,0.62,0.8,2.7,0.41,8.2,12.03,0.67,0.65,5.06,6.12,0.8,2.21,8.1,9.93,9.46,1.33,0.7,3.66,2.48,24.47,29.84,0.68,0.16,0.44,7.8,30.31,18.76,44.67,1.78,1.5,16.22,28.47,9.25,3.04,11.14,0.28,7.84,4.01,12.2,7.77,0.55
2,Luka Dončić,24,62,64,36.14,11.37,21.96,0.49,2.79,7.82,0.34,8.2,13.76,0.58,0.55,8.68,11.21,0.73,0.96,7.8,8.55,8.22,1.53,0.57,3.55,2.59,33.38,28.7,0.61,0.37,0.46,2.99,24.92,13.51,40.38,1.97,1.32,11.88,37.82,8.43,2.46,11.21,0.22,7.62,1.28,9.26,6.19,0.48
3,Shai Gilgeous-Alexander,25,71,73,35.3,10.68,20.28,0.51,0.91,2.34,0.37,9.28,17.61,0.52,0.54,9.76,10.84,0.9,0.98,4.1,4.99,5.79,1.59,0.82,2.85,2.75,31.32,27.12,0.62,0.12,0.52,2.8,12.82,7.63,23.07,2.22,2.06,11.01,32.97,9.29,3.7,13.33,0.23,5.77,1.7,7.79,6.04,0.36
4,Joel Embiid,29,59,57,32.79,10.38,18.7,0.54,1.1,3.29,0.29,9.48,16.19,0.59,0.57,8.92,10.64,0.84,1.56,7.36,9.52,4.75,1.05,1.7,3.27,2.99,30.84,30.62,0.65,0.16,0.56,6.22,27.89,17.5,23.12,1.38,4.5,12.74,33.34,6.66,3.37,10.57,0.24,5.57,2.23,8.54,5.53,0.29
5,Giannis Antetokounmpo,29,56,50,30.29,10.87,20.15,0.54,0.8,2.99,0.28,10.1,17.11,0.59,0.57,7.57,11.98,0.62,2.13,8.94,12.14,5.91,0.78,0.76,3.85,3,30,27.78,0.6,0.15,0.6,7.88,31.12,20.38,31.66,1.25,2.11,13.58,37.78,4.1,3.58,7.49,0.18,4.77,2.41,6.92,4.29,0.25
6,Jimmy Butler,34,65,64,33.14,7.31,13.72,0.55,0.76,1.95,0.39,6.7,12.15,0.55,0.57,6.94,8.12,0.85,2.01,3.88,5.96,5.18,1.73,0.3,1.56,1.4,22,26.18,0.65,0.14,0.58,7.03,13.56,10.3,26.48,2.51,0.88,8.58,25.36,8.83,3.19,12.24,0.26,6,1.61,8.09,5.58,0.08
7,Damian Lillard,33,78,58,29.9,7.41,15.94,0.46,3.83,9.78,0.41,4.56,6.84,0.53,0.58,7.21,7.91,0.9,0.88,3.57,4.26,5.56,0.98,0.22,2.83,1.87,26.15,23.89,0.65,0.55,0.46,2.57,13.91,8,28.68,1.6,0.82,13.99,29.83,8.91,1.74,10.07,0.2,5.98,-0.01,6.41,4.83,0.04
8,Jayson Tatum,25,53,54,36.81,9.75,21.29,0.46,2.95,8.85,0.35,6.49,11.68,0.53,0.52,7.16,8.74,0.86,0.88,7.39,8.37,4.72,1.09,0.71,3.01,2.14,30.02,23.45,0.6,0.44,0.4,2.76,22.09,12.7,20.18,1.4,1.64,10.28,33.58,4.76,3,8.52,0.17,4.51,0.57,5.32,3.43,0.04
9,Domantas Sabonis,27,76,82,33.68,6.89,12.35,0.6,0.6,1.76,0.38,6.43,10.36,0.62,0.63,4.08,4.91,0.74,2.85,8.32,11.55,7.29,0.84,0.65,2.69,3.31,18.42,21.75,0.66,0.12,0.51,10.29,29.27,19.89,30.68,1.18,1.48,16.37,22.15,9.88,3.56,12.02,0.21,3.98,1.53,5.43,5.41,0.04
10,Anthony Davis,30,70,71,32.3,8.94,16.15,0.55,0.41,1.6,0.32,8.05,14.18,0.58,0.56,5.75,7.39,0.79,3.49,9.14,12.5,2.41,0.99,1.68,2.21,2.52,24.1,26.22,0.6,0.1,0.45,11.48,28,19.2,13.38,1.34,4.5,9.99,26.98,6.11,4.31,10.37,0.22,3.74,1.37,5.39,4.46,0.03
11,Ja Morant,24,61,59,31.73,9.24,19.54,0.45,1.57,4.93,0.3,7.48,14.48,0.5,0.49,6.39,8.31,0.75,0.94,4.88,5.85,8.28,1.14,0.35,3.33,1.76,26.02,22.72,0.55,0.26,0.4,2.97,16.6,9.58,40.09,1.59,0.77,13.16,34.94,2.7,2.65,6.21,0.14,4.77,0.23,5.61,3.1,0.02
12,Tyrese Haliburton,23,47,44,30.6,7.76,15.62,0.47,2.87,7.23,0.38,5.11,8.93,0.55,0.56,3.43,4.21,0.85,0.54,2.98,3.7,9.83,1.66,0.33,2.53,1.24,22.01,24.25,0.6,0.48,0.25,1.87,10.36,6.02,45.23,2.26,0.9,12.62,25.65,7.42,1.2,7.75,0.19,7.25,0.13,7.57,3.56,0.02
13,Stephen Curry,35,50,41,32.92,9.11,18.27,0.49,4.2,10.74,0.42,4.65,8.11,0.59,0.6,4.48,4.71,0.9,0.72,5.38,6.17,6.14,0.7,0.36,3.1,2.15,26.83,21.68,0.65,0.59,0.26,2.58,17.27,10.12,35.8,1.12,1,12.41,30.11,4.16,1.22,5.89,0.15,5.81,-0.24,5.66,3.83,0.02
14,Trae Young,25,50,52,32.92,7.82,18.37,0.42,1.8,6.16,0.32,5.84,12.68,0.45,0.46,7.67,8.8,0.89,0.8,2.17,3,9.88,1.13,0.16,4.02,1.37,25.86,20.63,0.56,0.33,0.43,2.38,7.34,4.92,39.42,1.52,0.39,14.44,32.92,4.25,1.87,4.16,0.12,4.83,-1.84,2.78,1.67,0.01
