,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Kareem Abdul-Jabbar*,C,32,LAL,15,0,41.2,13.2,23.1,0.572,0.0,0.0,0.0,13.2,23.1,0.572,0.572,5.5,7.0,0.79,3.4,8.7,12.1,3.1,1.1,3.9,3.7,3.4,31.9,27.9,0.611,0.0,0.303,9.0,22.2,15.7,12.3,1.3,5.3,12.3,28.5,2.2,1.0,3.3,0.253,7.4,1.5,8.9,1.7,1980
1,Alvan Adams,C,25,PHO,8,0,31.4,7.0,12.4,0.566,0.0,0.0,0.0,7.0,12.4,0.566,0.566,2.1,2.4,0.895,2.3,7.4,9.6,5.8,0.9,1.3,3.0,3.0,16.1,21.9,0.601,0.0,0.192,7.9,25.5,16.8,26.4,1.3,2.2,18.3,21.6,0.5,0.3,0.8,0.157,4.2,2.1,6.2,0.5,1980
2,Tiny Archibald*,PG,31,BOS,9,0,36.9,5.0,9.9,0.506,0.1,0.2,0.5,4.9,9.7,0.506,0.511,4.1,4.7,0.881,0.3,0.9,1.2,7.9,1.1,0.0,4.2,3.1,14.2,13.2,0.595,0.022,0.472,1.0,2.8,1.9,29.5,1.5,0.0,26.1,18.6,0.4,0.4,0.7,0.105,1.9,-1.8,0.1,0.2,1980
3,James Bailey,PF,22,SEA,12,0,11.5,1.8,3.7,0.477,0.0,0.0,0.0,1.8,3.7,0.477,0.477,1.1,1.7,0.65,0.7,1.4,2.1,0.4,0.8,0.8,0.8,1.8,4.6,14.1,0.521,0.0,0.455,6.3,13.7,9.9,5.3,3.2,3.7,14.6,18.4,0.1,0.2,0.3,0.113,-1.1,2.3,1.2,0.1,1980
4,Greg Ballard,SF,25,WSB,2,0,36.5,4.5,14.0,0.321,0.0,0.0,0.0,4.5,14.0,0.321,0.321,2.0,3.5,0.571,1.0,6.0,7.0,3.5,0.5,0.5,4.0,4.0,11.0,3.4,0.354,0.0,0.25,2.9,18.1,10.3,13.3,0.7,0.8,20.5,21.9,-0.3,0.0,-0.3,-0.17,-7.4,-1.7,-9.1,-0.1,1980
5,Rick Barry*,SF,35,HOU,6,0,13.2,2.0,5.5,0.364,0.5,2.0,0.25,1.5,3.5,0.429,0.409,1.0,1.0,1.0,0.0,1.0,1.0,2.5,0.2,0.2,1.7,1.8,5.5,8.3,0.463,0.364,0.182,0.0,8.8,4.4,26.9,0.6,0.7,21.9,24.2,-0.1,0.0,-0.1,-0.067,-2.9,-1.2,-4.1,0.0,1980
6,Tim Bassett,PF,28,SAS,3,0,6.3,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,2.3,0.7,-4.4,0.5,0.0,0.0,5.5,0.0,2.9,0.0,0.0,0.0,33.3,6.7,0.0,0.0,0.0,-0.095,-13.1,-2.2,-15.3,-0.1,1980
7,Billy Ray Bates,SG,23,POR,3,0,34.7,10.3,19.7,0.525,0.7,2.3,0.286,9.7,17.3,0.558,0.542,3.7,4.7,0.786,0.7,2.7,3.3,4.0,1.7,0.3,5.0,4.3,25.0,21.8,0.576,0.119,0.237,2.1,9.0,5.5,21.1,2.5,0.6,18.7,33.1,0.2,0.1,0.2,0.105,3.3,0.8,4.1,0.2,1980
8,Ron Behagen,PF,29,WSB,2,0,7.0,1.0,3.5,0.286,0.0,0.0,0.0,1.0,3.5,0.286,0.286,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.0,0.5,2.0,2.0,1.8,0.286,0.0,0.0,7.5,7.9,7.7,30.6,0.0,0.0,12.5,23.4,0.0,0.0,-0.1,-0.174,-8.5,-0.9,-9.5,0.0,1980
9,Henry Bibby,PG,30,PHI,18,0,22.2,2.5,6.9,0.363,0.3,0.7,0.385,2.2,6.2,0.36,0.383,2.2,2.8,0.8,0.8,1.6,2.4,2.9,0.4,0.0,1.5,1.9,7.5,9.2,0.462,0.105,0.403,4.3,7.6,6.0,18.2,0.8,0.0,15.6,18.3,0.0,0.3,0.3,0.034,-0.8,-2.4,-3.2,-0.1,1980
