,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
17,League Average 1950,66.0,,28.2,83.1,0.34,,,,28.2,83.1,0.34,23.6,33.0,0.714,,,,19.6,,,,27.0,80.0,,,,0.0,0.0,0.0,,,,,0.397,,0.41,1950
29,League Average 1951,64.0,,29.8,83.6,0.357,,,,29.8,83.6,0.357,24.5,33.4,0.733,,,49.5,21.0,,,,27.0,84.1,,,,0.0,0.0,0.0,85.1,85.1,,97.4,0.399,,0.428,1951
40,League Average 1952,66.0,,29.6,80.8,0.367,,,,29.6,80.8,0.367,24.4,33.2,0.735,,,54.5,21.9,,,,26.9,83.7,26.3,,,0.0,0.0,-0.01,86.9,86.9,,95.1,0.411,,0.438,1952
51,League Average 1953,70.0,,28.5,77.1,0.37,,,,28.5,77.1,0.37,25.7,35.9,0.716,,,51.5,21.0,,,,28.8,82.7,26.5,,,0.29,0.01,0.01,88.0,87.7,,92.4,0.465,,0.445,1953
61,League Average 1954,72.0,,28.1,75.4,0.372,,,,28.1,75.4,0.372,23.4,33.0,0.709,,,50.9,20.3,,,,25.4,79.5,26.3,,,0.0,0.01,0.01,87.5,87.5,,90.0,0.438,,0.442,1954
71,League Average 1955,72.0,,33.3,86.4,0.385,,,,33.3,86.4,0.385,26.5,35.9,0.738,,,56.1,23.6,,,,24.8,93.1,26.7,,,0.01,0.0,0.0,89.8,89.8,,102.9,0.416,,0.455,1955
80,League Average 1956,72.0,,35.3,91.4,0.387,,,,35.3,91.4,0.387,28.4,38.0,0.745,,,60.1,24.3,,,,26.4,99.0,26.3,,,0.0,0.0,0.0,90.3,90.3,,108.8,0.416,,0.458,1956
89,League Average 1957,72.0,,35.9,94.6,0.38,,,,35.9,94.6,0.38,27.7,36.9,0.751,,,62.4,18.9,,,,25.1,99.6,26.2,,,0.0,-0.01,-0.01,88.9,88.9,,111.1,0.391,,0.449,1957
98,League Average 1958,72.0,,39.0,101.9,0.383,,,,39.0,101.9,0.383,28.6,38.3,0.746,,,71.7,19.6,,,,25.5,106.6,26.7,,,0.0,0.0,0.0,88.8,88.8,,119.7,0.376,,0.449,1958
107,League Average 1959,72.0,,40.4,102.3,0.395,,,,40.4,102.3,0.395,27.4,36.3,0.756,,,70.0,19.6,,,,26.0,108.2,26.4,,,0.0,0.0,0.0,90.2,90.2,,118.9,0.355,,0.457,1959
