,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,Pos_playoffs,Age_playoffs,Tm_playoffs,G_playoffs,GS_playoffs,MP_playoffs,FG_playoffs,FGA_playoffs,FG%_playoffs,3P_playoffs,3PA_playoffs,3P%_playoffs,2P_playoffs,2PA_playoffs,2P%_playoffs,eFG%_playoffs,FT_playoffs,FTA_playoffs,FT%_playoffs,ORB_playoffs,DRB_playoffs,TRB_playoffs,AST_playoffs,STL_playoffs,BLK_playoffs,TOV_playoffs,PF_playoffs,PTS_playoffs,PER_playoffs,TS%_playoffs,3PAr_playoffs,FTr_playoffs,ORB%_playoffs,DRB%_playoffs,TRB%_playoffs,AST%_playoffs,STL%_playoffs,BLK%_playoffs,TOV%_playoffs,USG%_playoffs,OWS_playoffs,DWS_playoffs,WS_playoffs,WS/48_playoffs,OBPM_playoffs,DBPM_playoffs,BPM_playoffs,VORP_playoffs
1749,Reggie Miller,SG,24,IND,82,82,38.9,8.1,15.7,0.514,1.8,4.4,0.414,6.2,11.3,0.552,0.572,6.6,7.6,0.868,1.2,2.4,3.6,3.8,1.3,0.2,2.7,2.1,24.6,20.8,0.645,0.281,0.487,3.7,7.0,5.4,15.1,1.7,0.3,12.4,24.2,10.8,1.3,12.1,0.182,4.9,-0.9,4.0,4.8,1990,SG,24,IND,3,3,41.7,6.7,11.7,0.571,1.0,2.3,0.429,5.7,9.3,0.607,0.614,6.3,7.0,0.905,0.3,3.7,4.0,2.0,1.0,0.0,1.0,2.0,20.7,20.0,0.701,0.2,0.6,1.0,10.6,6.0,8.4,1.3,0.0,6.4,17.9,0.5,0.0,0.5,0.199,5.7,0.4,6.1,0.3
1931,Reggie Miller,SG,25,IND,82,82,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1.0,2.4,3.4,4.0,1.3,0.2,2.0,2.0,22.6,21.2,0.65,0.277,0.515,3.2,7.4,5.4,16.6,1.8,0.3,10.2,22.5,11.7,0.8,12.5,0.202,5.3,-1.1,4.2,4.6,1991,SG,25,IND,5,5,38.6,6.8,14.0,0.486,1.6,3.8,0.421,5.2,10.2,0.51,0.543,6.4,7.4,0.865,1.0,2.2,3.2,2.8,1.6,0.4,2.4,2.8,21.6,16.7,0.626,0.271,0.529,3.1,7.2,5.1,10.4,2.0,0.6,12.2,21.2,0.4,0.0,0.5,0.114,3.4,-1.1,2.2,0.2
2124,Reggie Miller,SG,26,IND,82,82,38.0,6.9,13.7,0.501,1.6,4.2,0.378,5.3,9.5,0.555,0.559,5.4,6.3,0.858,1.0,2.9,3.9,3.8,1.3,0.3,1.9,2.6,20.7,17.6,0.629,0.304,0.459,3.1,7.9,5.6,14.5,1.6,0.5,10.4,20.2,9.3,1.7,11.0,0.169,3.3,-0.7,2.6,3.6,1992,SG,26,IND,3,3,43.3,8.3,14.3,0.581,2.3,3.7,0.636,6.0,10.7,0.563,0.663,8.0,10.0,0.8,1.3,1.0,2.3,4.7,1.3,0.0,1.3,4.0,27.0,22.4,0.721,0.256,0.698,3.6,2.6,3.1,19.5,1.6,0.0,6.6,21.1,0.6,0.0,0.6,0.217,7.3,-0.1,7.2,0.3
2316,Reggie Miller,SG,27,IND,82,82,36.0,7.0,14.5,0.479,2.0,5.1,0.399,4.9,9.4,0.522,0.549,5.2,5.9,0.88,0.8,2.3,3.1,3.2,1.5,0.3,1.8,2.2,21.2,19.4,0.617,0.351,0.407,2.5,7.0,4.8,13.4,2.0,0.6,9.3,22.2,9.6,1.7,11.3,0.183,4.5,-0.2,4.3,4.7,1993,SG,27,IND,4,4,43.8,10.0,18.8,0.533,2.5,4.8,0.526,7.5,14.0,0.536,0.6,9.0,9.5,0.947,1.0,2.0,3.0,2.8,0.8,0.0,2.5,2.8,31.5,23.4,0.687,0.253,0.507,2.9,5.3,4.1,12.0,0.9,0.0,9.8,27.4,0.8,0.0,0.8,0.229,7.4,-1.4,6.0,0.3
2499,Reggie Miller,SG,28,IND,79,79,33.4,6.6,13.2,0.503,1.6,3.7,0.421,5.1,9.5,0.535,0.562,5.1,5.6,0.908,0.4,2.3,2.7,3.1,1.5,0.3,2.2,2.4,19.9,20.2,0.636,0.28,0.426,1.4,7.7,4.7,15.6,2.3,0.6,12.4,23.5,8.8,2.9,11.7,0.212,4.1,0.6,4.7,4.5,1994,SG,28,IND,16,16,36.0,7.6,16.9,0.448,2.2,5.2,0.422,5.4,11.7,0.46,0.513,5.9,7.0,0.839,0.7,2.3,3.0,2.9,1.3,0.3,2.0,2.1,23.2,21.9,0.581,0.307,0.415,2.4,7.5,5.0,16.5,2.0,0.5,9.1,27.9,2.1,0.7,2.8,0.236,6.8,0.7,7.5,1.4
2679,Reggie Miller,SG,29,IND,81,81,32.9,6.2,13.5,0.462,2.4,5.8,0.415,3.8,7.7,0.498,0.552,4.7,5.3,0.897,0.4,2.2,2.6,3.0,1.2,0.2,1.9,1.9,19.6,20.1,0.62,0.43,0.391,1.4,8.0,4.8,16.1,2.0,0.5,10.6,24.6,8.5,2.8,11.4,0.204,5.0,0.2,5.2,4.9,1995,SG,29,IND,17,17,37.7,8.1,17.1,0.476,3.2,7.5,0.422,4.9,9.5,0.519,0.569,6.1,7.1,0.86,0.5,3.1,3.6,2.1,0.9,0.2,2.3,2.1,25.5,21.8,0.632,0.441,0.417,1.8,10.2,6.0,11.5,1.3,0.6,10.2,27.7,2.2,0.5,2.6,0.197,6.9,0.1,6.9,1.4
2864,Reggie Miller,SG,30,IND,76,76,34.5,6.6,14.0,0.473,2.2,5.4,0.41,4.4,8.6,0.512,0.552,5.7,6.6,0.863,0.5,2.3,2.8,3.3,1.0,0.2,2.5,2.3,21.1,20.1,0.625,0.385,0.467,1.9,8.1,5.1,17.2,1.6,0.4,12.8,25.8,8.3,2.0,10.3,0.188,5.1,-0.4,4.7,4.5,1996,SG,30,IND,1,1,31.0,7.0,17.0,0.412,2.0,6.0,0.333,5.0,11.0,0.455,0.471,13.0,15.0,0.867,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,29.0,35.8,0.614,0.353,0.882,4.3,0.0,2.0,7.4,1.9,0.0,0.0,36.2,0.3,0.0,0.3,0.474,15.0,3.2,18.2,0.2
3245,Reggie Miller,SG,32,IND,81,81,34.5,6.4,13.3,0.477,2.0,4.7,0.429,4.3,8.6,0.504,0.553,4.7,5.4,0.868,0.6,2.3,2.9,2.1,1.0,0.1,1.6,1.8,19.5,19.8,0.619,0.353,0.407,2.1,7.6,5.0,11.1,1.5,0.3,9.1,23.9,9.2,2.8,12.0,0.206,4.8,0.1,4.8,4.8,1998,SG,32,IND,16,16,39.3,6.1,14.4,0.426,2.4,5.9,0.4,3.8,8.4,0.444,0.509,5.3,5.9,0.904,0.3,1.4,1.8,2.0,1.2,0.2,1.7,1.6,19.9,17.4,0.588,0.413,0.409,1.1,4.6,2.9,10.1,1.7,0.4,9.0,23.6,1.6,0.4,2.0,0.151,4.7,-0.6,4.1,1.0
3438,Reggie Miller,SG,33,IND,50,50,35.7,5.9,13.4,0.438,2.1,5.5,0.385,3.8,7.9,0.475,0.517,4.5,4.9,0.915,0.5,2.2,2.7,2.2,0.7,0.2,1.5,2.0,18.4,18.7,0.59,0.41,0.368,1.7,7.2,4.5,11.4,1.2,0.4,8.9,22.9,6.0,0.4,6.4,0.172,4.3,-1.2,3.2,2.3,1999,SG,33,IND,13,13,37.0,6.1,15.3,0.397,2.2,6.5,0.333,3.9,8.8,0.443,0.467,5.9,6.6,0.895,1.0,2.9,3.9,2.6,0.7,0.2,1.6,2.0,20.2,20.1,0.555,0.422,0.432,3.4,9.2,6.4,13.8,1.0,0.5,8.1,25.4,1.7,0.2,1.9,0.188,5.3,-1.2,4.1,0.7
3618,Reggie Miller,SG,34,IND,81,81,36.9,5.8,12.9,0.448,2.0,5.0,0.408,3.7,7.9,0.473,0.527,4.6,5.0,0.919,0.6,2.3,3.0,2.3,1.0,0.3,1.6,1.6,18.1,17.3,0.603,0.388,0.39,2.0,6.8,4.5,10.2,1.5,0.6,9.6,20.5,8.0,2.0,10.1,0.162,3.0,-0.3,2.7,3.6,2000,SG,34,IND,22,22,40.5,7.9,17.5,0.452,2.6,6.7,0.395,5.3,10.8,0.487,0.527,5.5,5.9,0.938,0.4,2.0,2.4,2.7,1.0,0.5,1.3,1.7,24.0,21.8,0.596,0.382,0.335,1.2,5.7,3.5,12.7,1.4,0.8,6.0,25.0,3.3,0.3,3.6,0.195,5.5,0.1,5.7,1.7
